Date,Open,High,Low,Close,Spread
2004-05-31,78.37,78.37,78.37,78.37,0.060000000000002274
2004-06-01,78.37,78.37,78.28,78.28,0.05000000000000426
2004-06-02,78.28,78.28,76.52,76.52,0.05000000000000426
2004-06-03,76.52,76.52,76.3,76.3,0.054999999999999716
2004-06-04,76.3,77.35,76.3,77.35,0.09999999999999432
2004-06-07,77.35,77.48,77.35,77.48,0.09499999999999886
2004-06-08,77.48,77.48,76.87,76.87,0.04500000000000881
2004-06-09,76.87,76.87,76.22,76.22,0.045000000000001705
2004-06-10,76.22,76.23,76.22,76.23,0.0449999999999946
2004-06-11,76.23,76.23,76.21,76.21,0.09999999999999432
2004-06-14,76.21,76.36,76.21,76.36,0.09499999999999886
2004-06-15,76.36,76.42,76.36,76.42,0.045000000000001705
2004-06-16,76.42,76.42,75.92,75.92,0.04999999999999716
2004-06-17,75.92,75.92,74.81,74.81,0.045000000000001705
2004-06-18,74.81,75.07,74.81,75.07,0.09499999999999886
2004-06-21,75.07,75.19,75.07,75.19,0.09499999999999176
2004-06-22,75.19,75.19,75.17,75.17,0.03999999999999915
2004-06-23,75.17,75.17,74.67,74.67,0.035000000000003695
2004-06-24,74.67,75.0,74.67,75.0,0.035000000000003695
2004-06-25,75.0,75.43,75.0,75.43,0.09500000000000597
2004-06-28,75.43,75.53,75.43,75.53,0.09500000000000597
2004-06-29,75.53,75.53,74.72,74.72,0.03999999999999915
2004-06-30,74.72,76.08,74.72,76.08,0.0449999999999946
2004-07-01,76.08,76.44,76.08,76.44,0.0449999999999946
2004-07-02,76.44,77.34,76.44,77.34,0.09499999999999886
2004-07-05,77.34,77.64,77.34,77.64,0.10000000000000142
2004-07-06,77.64,78.09,77.64,78.09,0.03999999999999915
2004-07-07,78.09,78.58,78.09,78.58,0.03499999999999659
2004-07-08,78.58,78.58,78.49,78.49,0.03499999999999659
2004-07-09,78.49,78.49,78.18,78.18,0.09000000000000341
2004-07-12,78.18,78.77,78.18,78.77,0.09000000000000341
2004-07-13,78.77,78.79,78.77,78.79,0.030000000000001137
2004-07-14,78.79,79.02,78.79,79.02,0.03499999999999659
2004-07-15,79.02,79.35,79.02,79.35,0.03499999999999659
2004-07-16,79.35,79.64,79.35,79.64,0.09000000000000341
2004-07-19,79.64,79.64,79.26,79.26,0.09500000000000597
2004-07-20,79.26,79.26,79.11,79.11,0.04000000000000625
2004-07-21,79.11,79.11,78.56,78.56,0.04000000000000625
2004-07-22,78.56,78.56,78.5,78.5,0.04000000000000625
2004-07-23,78.5,78.5,78.22,78.22,0.09500000000000597
2004-07-26,78.22,78.22,78.02,78.02,0.09499999999999886
2004-07-27,78.02,78.02,77.6,77.6,0.03999999999999204
2004-07-28,77.6,78.16,77.6,78.16,0.03999999999999204
2004-07-29,78.16,78.37,78.16,78.37,0.03999999999999915
2004-07-30,78.37,78.37,78.32,78.32,0.09499999999999886
2004-08-02,78.32,78.32,77.9,77.9,0.09499999999999886
2004-08-03,77.9,78.2,77.9,78.2,0.04000000000000625
2004-08-04,78.2,78.24,78.2,78.24,0.035000000000003695
2004-08-05,78.24,78.69,78.24,78.69,0.030000000000001137
2004-08-06,78.69,78.92,78.69,78.92,0.09000000000000341
2004-08-09,78.92,79.16,78.92,79.16,0.09499999999999886
2004-08-10,79.16,79.41,79.16,79.41,0.03999999999999204
2004-08-11,79.41,79.41,79.36,79.36,0.03999999999999915
2004-08-12,79.36,79.36,79.28,79.28,0.035000000000003695
2004-08-13,79.28,79.45,79.28,79.45,0.09000000000000341
2004-08-16,79.45,79.45,79.36,79.36,0.09500000000000597
2004-08-17,79.36,79.36,78.78,78.78,0.04000000000000625
2004-08-18,78.78,78.78,78.29,78.29,0.04000000000000625
2004-08-19,78.29,79.28,78.29,79.28,0.04000000000000625
2004-08-20,79.28,79.28,79.06,79.06,0.09500000000000597
2004-08-23,79.06,79.06,78.39,78.39,0.09500000000000597
2004-08-24,78.39,78.39,77.27,77.27,0.03999999999999915
2004-08-25,77.27,77.8,77.27,77.8,0.03999999999999204
2004-08-26,77.8,77.8,77.19,77.19,0.03999999999999204
2004-08-27,77.19,77.19,77.14,77.14,0.09499999999999886
2004-08-30,77.14,77.14,76.91,76.91,0.09499999999999886
2004-08-31,76.91,76.91,76.9,76.9,0.03999999999999915
2004-09-01,76.9,77.05,76.9,77.05,0.03999999999999915
2004-09-02,77.05,77.05,76.38,76.38,0.03999999999999204
2004-09-03,76.38,76.45,76.38,76.45,0.09499999999999886
2004-09-06,76.45,76.45,76.29,76.29,0.09500000000000597
2004-09-07,76.29,76.29,75.98,75.98,0.04000000000000625
2004-09-08,75.98,76.18,75.98,76.18,0.04000000000000625
2004-09-09,76.18,76.18,75.53,75.53,0.04000000000000625
2004-09-10,75.53,76.34,75.53,76.34,0.09500000000000597
2004-09-13,76.34,76.64,76.34,76.64,0.09500000000000597
2004-09-14,76.64,76.99,76.64,76.99,0.03999999999999915
2004-09-15,76.99,76.99,76.54,76.54,0.03999999999999915
2004-09-16,76.54,76.61,76.54,76.61,0.035000000000003695
2004-09-17,76.61,76.72,76.61,76.72,0.09000000000000341
2004-09-20,76.72,77.06,76.72,77.06,0.09500000000000597
2004-09-21,77.06,77.16,77.06,77.16,0.03999999999999915
2004-09-22,77.16,78.17,77.16,78.17,0.03999999999999915
2004-09-23,78.17,79.07,78.17,79.07,0.03999999999999915
2004-09-24,79.07,79.11,79.07,79.11,0.09499999999999886
2004-09-27,79.11,79.44,79.11,79.44,0.09499999999999886
2004-09-28,79.44,79.98,79.44,79.98,0.03999999999999915
2004-09-29,79.98,79.98,79.51,79.51,0.035000000000003695
2004-09-30,79.51,80.08,79.51,80.08,0.030000000000001137
2004-10-01,80.08,80.32,80.08,80.32,0.0899999999999963
2004-10-04,80.32,80.32,80.09,80.09,0.0899999999999963
2004-10-05,80.09,80.53,80.09,80.53,0.035000000000003695
2004-10-06,80.53,80.65,80.53,80.65,0.04000000000000625
2004-10-07,80.65,81.0,80.65,81.0,0.035000000000003695
2004-10-08,81.0,81.0,80.55,80.55,0.0899999999999963
2004-10-11,80.55,80.55,80.17,80.17,0.09499999999999886
2004-10-12,80.17,80.17,80.16,80.16,0.035000000000003695
2004-10-13,80.16,80.16,79.72,79.72,0.030000000000001137
2004-10-14,79.72,79.91,79.72,79.91,0.030000000000001137
2004-10-15,79.91,80.02,79.91,80.02,0.0899999999999963
2004-10-18,80.02,80.02,79.27,79.27,0.09499999999999176
