Date,Open,High,Low,Close,Spread
2004-05-31,1.1312,1.1321,1.1312,1.1321,0.0019000000000000128
2004-06-01,1.1321,1.1321,1.1261,1.1261,0.0012000000000000899
2004-06-02,1.1261,1.1261,1.1204,1.1204,0.0012000000000000899
2004-06-03,1.1204,1.1204,1.1154,1.1154,0.0012499999999999734
2004-06-04,1.1154,1.1193,1.1154,1.1193,0.0018499999999999073
2004-06-07,1.1193,1.1193,1.1164,1.1164,0.0018000000000000238
2004-06-08,1.1164,1.1173,1.1164,1.1173,0.0011499999999999844
2004-06-09,1.1173,1.1179,1.1173,1.1179,0.0011999999999998678
2004-06-10,1.1179,1.1179,1.1008,1.1008,0.0010999999999998789
2004-06-11,1.1008,1.1017,1.1008,1.1017,0.0017499999999999183
2004-06-14,1.1017,1.1017,1.1017,1.1017,0.0017999999999999128
2004-06-15,1.1017,1.1017,1.0938,1.0938,0.0011499999999999844
2004-06-16,1.0938,1.0962,1.0938,1.0962,0.0012000000000000899
2004-06-17,1.0962,1.097,1.0962,1.097,0.0011999999999999789
2004-06-18,1.097,1.1001,1.097,1.1001,0.0018500000000000183
2004-06-21,1.1001,1.1001,1.0986,1.0986,0.0018000000000001348
2004-06-22,1.0986,1.0986,1.0956,1.0956,0.0011499999999999844
2004-06-23,1.0956,1.1021,1.0956,1.1021,0.0010999999999999899
2004-06-24,1.1021,1.1029,1.1021,1.1029,0.001100000000000101
2004-06-25,1.1029,1.1032,1.1029,1.1032,0.0018500000000000183
2004-06-28,1.1032,1.1032,1.0917,1.0917,0.0017499999999999183
2004-06-29,1.0917,1.0947,1.0917,1.0947,0.0010999999999999899
2004-06-30,1.0947,1.0993,1.0947,1.0993,0.0011999999999999789
2004-07-01,1.0993,1.1006,1.0993,1.1006,0.0010999999999999899
2004-07-02,1.1006,1.1033,1.1006,1.1033,0.0017500000000000293
2004-07-05,1.1033,1.1033,1.1003,1.1003,0.0019000000000000128
2004-07-06,1.1003,1.1003,1.0985,1.0985,0.0011500000000000954
2004-07-07,1.0985,1.1016,1.0985,1.1016,0.0010999999999999899
2004-07-08,1.1016,1.1016,1.0982,1.0982,0.0011499999999999844
2004-07-09,1.0982,1.1004,1.0982,1.1004,0.0018000000000000238
2004-07-12,1.1004,1.101,1.1004,1.101,0.0017499999999999183
2004-07-13,1.101,1.104,1.101,1.104,0.0010499999999999954
2004-07-14,1.104,1.1096,1.104,1.1096,0.0011499999999999844
2004-07-15,1.1096,1.1113,1.1096,1.1113,0.0011999999999998678
2004-07-16,1.1113,1.1122,1.1113,1.1122,0.0018500000000000183
2004-07-19,1.1122,1.1169,1.1122,1.1169,0.0018500000000001293
2004-07-20,1.1169,1.1169,1.1129,1.1129,0.0012000000000000899
2004-07-21,1.1129,1.1174,1.1129,1.1174,0.0011999999999999789
2004-07-22,1.1174,1.1174,1.1144,1.1144,0.0011999999999999789
2004-07-23,1.1144,1.1177,1.1144,1.1177,0.0018500000000000183
2004-07-26,1.1177,1.1177,1.1155,1.1155,0.0018499999999999073
2004-07-27,1.1155,1.1155,1.1151,1.1151,0.0011999999999999789
2004-07-28,1.1151,1.1151,1.1127,1.1127,0.0012000000000000899
2004-07-29,1.1127,1.1127,1.1046,1.1046,0.0012000000000000899
2004-07-30,1.1046,1.1048,1.1046,1.1048,0.0018500000000000183
2004-08-02,1.1048,1.1048,1.0997,1.0997,0.0018499999999999073
2004-08-03,1.0997,1.0997,1.0935,1.0935,0.0011999999999998678
2004-08-04,1.0935,1.0935,1.0911,1.0911,0.0011999999999998678
2004-08-05,1.0911,1.0928,1.0911,1.0928,0.0010999999999998789
2004-08-06,1.0928,1.0952,1.0928,1.0952,0.0017499999999999183
2004-08-09,1.0952,1.0965,1.0952,1.0965,0.0018500000000000183
2004-08-10,1.0965,1.0965,1.0933,1.0933,0.0011999999999999789
2004-08-11,1.0933,1.0933,1.0921,1.0921,0.0011999999999999789
2004-08-12,1.0921,1.0921,1.0855,1.0855,0.0011499999999999844
2004-08-13,1.0855,1.0855,1.0773,1.0773,0.0017999999999999128
2004-08-16,1.0773,1.0807,1.0773,1.0807,0.0018500000000000183
2004-08-17,1.0807,1.0807,1.0784,1.0784,0.0012000000000000899
2004-08-18,1.0784,1.0784,1.0781,1.0781,0.0011500000000000954
2004-08-19,1.0781,1.0791,1.0781,1.0791,0.0010999999999999899
2004-08-20,1.0791,1.0791,1.0779,1.0779,0.0018000000000000238
2004-08-23,1.0779,1.0779,1.0778,1.0778,0.0018500000000001293
2004-08-24,1.0778,1.0887,1.0778,1.0887,0.0012000000000000899
2004-08-25,1.0887,1.0887,1.0874,1.0874,0.0011999999999999789
2004-08-26,1.0874,1.0874,1.0806,1.0806,0.0011999999999999789
2004-08-27,1.0806,1.0806,1.0775,1.0775,0.0018500000000000183
2004-08-30,1.0775,1.0775,1.0762,1.0762,0.0017500000000000293
2004-08-31,1.0762,1.0762,1.0751,1.0751,0.0010000000000000009
2004-09-01,1.0751,1.0751,1.0731,1.0731,0.0010999999999998789
2004-09-02,1.0731,1.0759,1.0731,1.0759,0.0011999999999999789
2004-09-03,1.0759,1.0759,1.0715,1.0715,0.0018500000000000183
2004-09-06,1.0715,1.0715,1.0667,1.0667,0.0018500000000000183
2004-09-07,1.0667,1.0733,1.0667,1.0733,0.0011999999999999789
2004-09-08,1.0733,1.0733,1.0727,1.0727,0.0011999999999999789
2004-09-09,1.0727,1.0727,1.0554,1.0554,0.0011999999999999789
2004-09-10,1.0554,1.0635,1.0554,1.0635,0.0018499999999999073
2004-09-13,1.0635,1.0635,1.0606,1.0606,0.0018500000000000183
2004-09-14,1.0606,1.0612,1.0606,1.0612,0.0011499999999999844
2004-09-15,1.0612,1.0612,1.0588,1.0588,0.0011499999999998733
2004-09-16,1.0588,1.0592,1.0588,1.0592,0.0011999999999998678
2004-09-17,1.0592,1.0592,1.0582,1.0582,0.0018499999999999073
2004-09-20,1.0582,1.0608,1.0582,1.0608,0.0017999999999999128
2004-09-21,1.0608,1.0608,1.0605,1.0605,0.0010499999999998844
2004-09-22,1.0605,1.0666,1.0605,1.0666,0.0010999999999999899
2004-09-23,1.0666,1.0717,1.0666,1.0717,0.0011500000000000954
2004-09-24,1.0717,1.0717,1.0697,1.0697,0.0018000000000001348
2004-09-27,1.0697,1.0722,1.0697,1.0722,0.0018000000000001348
2004-09-28,1.0722,1.0728,1.0722,1.0728,0.0011499999999999844
2004-09-29,1.0728,1.0728,1.0705,1.0705,0.0011999999999999789
2004-09-30,1.0705,1.0737,1.0705,1.0737,0.001100000000000101
2004-10-01,1.0737,1.0776,1.0737,1.0776,0.0017500000000000293
2004-10-04,1.0776,1.0782,1.0776,1.0782,0.0018000000000000238
2004-10-05,1.0782,1.0782,1.0748,1.0748,0.0010999999999999899
2004-10-06,1.0748,1.0748,1.0724,1.0724,0.0011499999999999844
2004-10-07,1.0724,1.0766,1.0724,1.0766,0.0011500000000000954
2004-10-08,1.0766,1.0766,1.0736,1.0736,0.0018000000000001348
2004-10-11,1.0736,1.0762,1.0736,1.0762,0.0018500000000001293
2004-10-12,1.0762,1.0769,1.0762,1.0769,0.0010999999999999899
2004-10-13,1.0769,1.0769,1.0734,1.0734,0.0010499999999998844
2004-10-14,1.0734,1.0734,1.0709,1.0709,0.0010999999999998789
2004-10-15,1.0709,1.0709,1.0654,1.0654,0.0017999999999999128
2004-10-18,1.0654,1.0654,1.0597,1.0597,0.0018500000000000183
2004-10-19,1.0597,1.0613,1.0597,1.0613,0.0010999999999999899
2004-10-20,1.0613,1.0642,1.0613,1.0642,0.0010499999999999954
2004-10-21,1.0642,1.0643,1.0642,1.0643,0.0011500000000000954
2004-10-25,1.0643,1.0666,1.0643,1.0666,0.0012000000000000899
2004-10-26,1.0666,1.0709,1.0666,1.0709,0.0011999999999999789
2004-10-27,1.0709,1.0836,1.0709,1.0836,0.0012499999999998623
2004-10-28,1.0836,1.0932,1.0836,1.0932,0.0011999999999998678
2004-10-29,1.0932,1.0956,1.0932,1.0956,0.0017999999999999128
2004-11-01,1.0956,1.0956,1.0925,1.0925,0.0017500000000000293
2004-11-02,1.0925,1.0925,1.09,1.09,0.0010500000000001064
2004-11-03,1.09,1.0958,1.09,1.0958,0.0011500000000000954
2004-11-04,1.0958,1.0967,1.0958,1.0967,0.0011500000000000954
2004-11-05,1.0967,1.0992,1.0967,1.0992,0.0018000000000000238
2004-11-08,1.0992,1.0992,1.0959,1.0959,0.0018500000000000183
2004-11-09,1.0959,1.1042,1.0959,1.1042,0.0011500000000000954
2004-11-10,1.1042,1.1119,1.1042,1.1119,0.0010500000000001064
2004-11-11,1.1119,1.1122,1.1119,1.1122,0.001000000000000112
2004-11-12,1.1122,1.1122,1.111,1.111,0.0017500000000000293
2004-11-15,1.111,1.111,1.1046,1.1046,0.0017500000000000293
2004-11-16,1.1046,1.1048,1.1046,1.1048,0.001000000000000112
2004-11-17,1.1048,1.1048,1.1048,1.1048,0.001000000000000112
2004-11-18,1.1048,1.1048,1.1023,1.1023,0.0010500000000001064
2004-11-19,1.1023,1.1069,1.1023,1.1069,0.0018000000000000238
2004-11-22,1.1069,1.1069,1.1034,1.1034,0.0017499999999999183
2004-11-23,1.1034,1.1042,1.1034,1.1042,0.0010000000000000009
2004-11-24,1.1042,1.1095,1.1042,1.1095,0.0010499999999999954
2004-11-25,1.1095,1.1095,1.1059,1.1059,0.0011499999999999844
2004-11-26,1.1059,1.1059,1.1042,1.1042,0.0018500000000001293
2004-11-29,1.1042,1.1042,1.0964,1.0964,0.0017500000000001403
2004-11-30,1.0964,1.0964,1.0805,1.0805,0.001000000000000112
2004-12-01,1.0805,1.0831,1.0805,1.0831,0.0010000000000000009
2004-12-02,1.0831,1.0831,1.0823,1.0823,0.0010000000000000009
2004-12-03,1.0823,1.0854,1.0823,1.0854,0.0017500000000000293
2004-12-06,1.0854,1.0854,1.0749,1.0749,0.0017499999999999183
2004-12-07,1.0749,1.0801,1.0749,1.0801,0.0010000000000000009
2004-12-08,1.0801,1.0801,1.0602,1.0602,0.001000000000000112
2004-12-09,1.0602,1.0627,1.0602,1.0627,0.0010999999999999899
2004-12-10,1.0627,1.0676,1.0627,1.0676,0.0018500000000000183
2004-12-13,1.0676,1.0693,1.0676,1.0693,0.0019000000000000128
2004-12-14,1.0693,1.0693,1.0673,1.0673,0.0013499999999998513
2004-12-15,1.0673,1.0673,1.0636,1.0636,0.0011999999999999789
2004-12-16,1.0636,1.0658,1.0636,1.0658,0.0011500000000000954
2004-12-17,1.0658,1.0713,1.0658,1.0713,0.0019000000000000128
2004-12-20,1.0713,1.0713,1.0661,1.0661,0.0019000000000000128
2004-12-21,1.0661,1.0777,1.0661,1.0777,0.0014000000000000679
2004-12-22,1.0777,1.0777,1.0724,1.0724,0.0015000000000000568
2004-12-23,1.0724,1.0767,1.0724,1.0767,0.0014500000000000624
