Date,Open,High,Low,Close,Spread
2004-05-31,0.92115,0.92115,0.92115,0.92115,0.0005100000000000104
2004-06-01,0.92115,0.92115,0.911,0.911,0.0004250000000000087
2004-06-02,0.911,0.91844,0.911,0.91844,0.00038000000000004697
2004-06-03,0.91844,0.91844,0.91735,0.91735,0.00038000000000004697
2004-06-04,0.91735,0.91768,0.91735,0.91768,0.0005900000000000349
2004-06-07,0.91768,0.9187,0.91768,0.9187,0.0006349999999999967
2004-06-08,0.9187,0.9187,0.91752,0.91752,0.0003849999999999687
2004-06-09,0.91752,0.92268,0.91752,0.92268,0.00033999999999995145
2004-06-10,0.92268,0.92268,0.91575,0.91575,0.00037999999999993594
2004-06-11,0.91575,0.92413,0.91575,0.92413,0.0006349999999999967
2004-06-14,0.92413,0.92413,0.91383,0.91383,0.0005950000000000122
2004-06-15,0.91383,0.91383,0.91324,0.91324,0.0003350000000000297
2004-06-16,0.91324,0.92259,0.91324,0.92259,0.0003350000000000297
2004-06-17,0.92259,0.92259,0.91366,0.91366,0.00037999999999999146
2004-06-18,0.91366,0.91374,0.91366,0.91374,0.0006249999999999867
2004-06-21,0.91374,0.91374,0.91291,0.91291,0.0005800000000000249
2004-06-22,0.91291,0.92056,0.91291,0.92056,0.0003350000000000297
2004-06-23,0.92056,0.92149,0.92056,0.92149,0.00034000000000000696
2004-06-24,0.92149,0.92558,0.92149,0.92558,0.00034000000000000696
2004-06-25,0.92558,0.92558,0.92413,0.92413,0.0005950000000000122
2004-06-28,0.92413,0.92661,0.92413,0.92661,0.0005950000000000122
2004-06-29,0.92661,0.94189,0.92661,0.94189,0.0003949999999999787
2004-06-30,0.94189,0.94189,0.93703,0.93703,0.0004449999999999732
2004-07-01,0.93703,0.93747,0.93703,0.93747,0.0003950000000000342
2004-07-02,0.93747,0.93747,0.93197,0.93197,0.0006099999999999994
2004-07-05,0.93197,0.9324,0.93197,0.9324,0.0006949999999999457
2004-07-06,0.9324,0.9324,0.93153,0.93153,0.00042999999999998595
2004-07-07,0.93153,0.93153,0.92937,0.92937,0.0003450000000000397
2004-07-08,0.92937,0.92989,0.92937,0.92989,0.00035000000000001696
2004-07-09,0.92989,0.92989,0.92825,0.92825,0.0006049999999999667
2004-07-12,0.92825,0.9298,0.92825,0.9298,0.0006049999999999667
2004-07-13,0.9298,0.93765,0.9298,0.93765,0.0003549999999999942
2004-07-14,0.93765,0.93765,0.92997,0.92997,0.0003949999999999787
2004-07-15,0.92997,0.93458,0.92997,0.93458,0.0004749999999999477
2004-07-16,0.93458,0.93467,0.93458,0.93467,0.0006999999999999784
2004-07-19,0.93467,0.93906,0.93467,0.93906,0.0006200000000000094
2004-07-20,0.93906,0.94733,0.93906,0.94733,0.00036000000000002697
2004-07-21,0.94733,0.94733,0.94607,0.94607,0.0003549999999999942
2004-07-22,0.94607,0.94805,0.94607,0.94805,0.00039999999999995595
2004-07-23,0.94805,0.95979,0.94805,0.95979,0.0006899999999999684
2004-07-26,0.95979,0.95979,0.94895,0.94895,0.0006449999999999512
2004-07-27,0.94895,0.95822,0.94895,0.95822,0.0004549999999999277
2004-07-28,0.95822,0.96006,0.95822,0.96006,0.00045999999999996044
2004-07-29,0.96006,0.96674,0.96006,0.96674,0.0004149999999999987
2004-07-30,0.96674,0.96674,0.9633,0.9633,0.0006950000000000567
2004-08-02,0.9633,0.9633,0.96043,0.96043,0.0007400000000000739
2004-08-03,0.96043,0.97031,0.96043,0.97031,0.0005600000000000049
2004-08-04,0.97031,0.97031,0.97012,0.97012,0.0005199999999999649
2004-08-05,0.97012,0.97012,0.96759,0.96759,0.00046999999999997044
2004-08-06,0.96759,0.96759,0.95329,0.95329,0.0006899999999999684
2004-08-09,0.95329,0.95329,0.95211,0.95211,0.0007249999999999757
2004-08-10,0.95211,0.95575,0.95211,0.95575,0.0005449999999999622
2004-08-11,0.95575,0.95575,0.95256,0.95256,0.0005449999999999622
2004-08-12,0.95256,0.95256,0.94366,0.94366,0.000490000000000046
2004-08-13,0.94366,0.94625,0.94366,0.94625,0.0006650000000000822
2004-08-16,0.94625,0.94958,0.94625,0.94958,0.0007150000000000212
2004-08-17,0.94958,0.9512,0.94958,0.9512,0.0005400000000000404
2004-08-18,0.9512,0.95447,0.9512,0.95447,0.00045000000000006146
2004-08-19,0.95447,0.95877,0.95447,0.95877,0.00041000000000002146
2004-08-20,0.95877,0.96376,0.95877,0.96376,0.0006950000000000012
2004-08-23,0.96376,0.97144,0.96376,0.97144,0.0006999999999999784
2004-08-24,0.97144,0.97409,0.97144,0.97409,0.0004250000000000087
2004-08-25,0.97409,0.97599,0.97409,0.97599,0.00038000000000004697
2004-08-26,0.97599,0.97599,0.9738,0.9738,0.00047000000000002595
2004-08-27,0.9738,0.97704,0.9738,0.97704,0.0007550000000000057
2004-08-30,0.97704,0.97704,0.97144,0.97144,0.0006649999999999712
2004-08-31,0.97144,0.97144,0.96488,0.96488,0.0003749999999999587
2004-09-01,0.96488,0.96488,0.96413,0.96413,0.0004149999999999987
2004-09-02,0.96413,0.97087,0.96413,0.97087,0.0004149999999999987
2004-09-03,0.97087,0.97819,0.97087,0.97819,0.0006649999999999712
2004-09-06,0.97819,0.97895,0.97819,0.97895,0.0007199999999999984
2004-09-07,0.97895,0.98474,0.97895,0.98474,0.0004850000000000132
2004-09-08,0.98474,0.98474,0.97714,0.97714,0.0004850000000000132
2004-09-09,0.97714,0.97934,0.97714,0.97934,0.00048000000000003595
2004-09-10,0.97934,0.97934,0.97485,0.97485,0.0007150000000000212
2004-09-13,0.97485,0.97485,0.96731,0.96731,0.0006650000000000267
2004-09-14,0.96731,0.97343,0.96731,0.97343,0.00038000000000004697
2004-09-15,0.97343,0.97982,0.97343,0.97982,0.0003850000000000242
2004-09-16,0.97982,0.98348,0.97982,0.98348,0.00043999999999999595
2004-09-17,0.98348,0.98348,0.97771,0.97771,0.0007249999999999757
2004-09-20,0.97771,0.98241,0.97771,0.98241,0.0006700000000000039
2004-09-21,0.98241,0.98241,0.9739,0.9739,0.00037999999999999146
2004-09-22,0.9739,0.9828,0.9739,0.9828,0.0003849999999999687
2004-09-23,0.9828,0.98503,0.9828,0.98503,0.00039000000000000146
2004-09-24,0.98503,0.99049,0.98503,0.99049,0.0006849999999999912
2004-09-27,0.99049,0.99128,0.99049,0.99128,0.0006900000000000239
2004-09-28,0.99128,0.99128,0.9902,0.9902,0.0003950000000000342
2004-09-29,0.9902,0.99098,0.9902,0.99098,0.00039000000000000146
2004-09-30,0.99098,0.99098,0.98814,0.98814,0.00039000000000000146
2004-10-01,0.98814,0.99108,0.98814,0.99108,0.0006849999999999912
2004-10-04,0.99108,0.99453,0.99108,0.99453,0.0006900000000000239
