Date,Open,High,Low,Close,Spread
2004-05-31,80.46,80.46,80.46,80.46,0.05999999999998806
2004-06-01,80.46,80.86,80.46,80.86,0.04999999999999716
2004-06-02,80.86,80.86,80.74,80.74,0.03999999999999915
2004-06-03,80.74,81.32,80.74,81.32,0.03999999999999204
2004-06-04,81.32,82.3,81.32,82.3,0.06999999999999318
2004-06-07,82.3,82.3,81.36,81.36,0.07000000000000028
2004-06-08,81.36,81.36,81.27,81.27,0.03999999999999915
2004-06-09,81.27,81.27,81.24,81.24,0.03999999999999204
2004-06-10,81.24,81.24,80.39,80.39,0.03999999999999915
2004-06-11,80.39,80.77,80.39,80.77,0.07000000000000028
2004-06-14,80.77,80.77,80.77,80.77,0.06999999999999318
2004-06-15,80.77,80.77,80.05,80.05,0.03999999999999204
2004-06-16,80.05,80.2,80.05,80.2,0.03999999999999915
2004-06-17,80.2,80.2,79.97,79.97,0.03999999999999915
2004-06-18,79.97,79.97,79.94,79.94,0.06999999999999318
2004-06-21,79.94,79.94,79.8,79.8,0.06999999999999318
2004-06-22,79.8,80.5,79.8,80.5,0.03999999999999915
2004-06-23,80.5,80.5,79.8,79.8,0.03999999999999915
2004-06-24,79.8,79.8,79.68,79.68,0.03999999999999915
2004-06-25,79.68,79.74,79.68,79.74,0.07000000000000028
2004-06-28,79.74,80.06,79.74,80.06,0.07000000000000028
2004-06-29,80.06,80.51,80.06,80.51,0.04000000000000625
2004-06-30,80.51,81.64,80.51,81.64,0.05000000000000426
2004-07-01,81.64,81.64,81.35,81.35,0.04999999999999716
2004-07-02,81.35,81.86,81.35,81.86,0.06999999999999318
2004-07-05,81.86,82.28,81.86,82.28,0.07000000000000028
2004-07-06,82.28,82.46,82.28,82.46,0.03999999999999915
2004-07-07,82.46,82.46,82.3,82.3,0.03999999999999204
2004-07-08,82.3,82.7,82.3,82.7,0.03999999999999915
2004-07-09,82.7,82.7,82.11,82.11,0.07000000000000028
2004-07-12,82.11,82.2,82.11,82.2,0.07000000000000028
2004-07-13,82.2,82.44,82.2,82.44,0.03999999999999915
2004-07-14,82.44,82.57,82.44,82.57,0.03999999999999204
2004-07-15,82.57,82.98,82.57,82.98,0.03999999999999915
2004-07-16,82.98,82.98,82.93,82.93,0.07000000000000739
2004-07-19,82.93,82.93,82.79,82.79,0.07000000000000739
2004-07-20,82.79,82.79,82.75,82.75,0.04000000000000625
2004-07-21,82.75,83.12,82.75,83.12,0.04000000000000625
2004-07-22,83.12,83.37,83.12,83.37,0.05000000000000426
2004-07-23,83.37,83.45,83.37,83.45,0.0800000000000054
2004-07-26,83.45,83.45,82.51,82.51,0.07000000000000739
2004-07-27,82.51,83.33,82.51,83.33,0.03999999999999915
2004-07-28,83.33,84.07,83.33,84.07,0.03999999999999204
2004-07-29,84.07,84.58,84.07,84.58,0.03999999999999204
2004-07-30,84.58,84.58,83.69,83.69,0.06999999999999318
2004-08-02,83.69,83.69,83.13,83.13,0.06999999999999318
2004-08-03,83.13,83.94,83.13,83.94,0.03999999999999204
2004-08-04,83.94,84.46,83.94,84.46,0.03999999999999204
2004-08-05,84.46,84.82,84.46,84.82,0.03999999999999204
2004-08-06,84.82,84.82,84.22,84.22,0.06999999999999318
2004-08-09,84.22,84.22,83.98,83.98,0.07000000000000028
2004-08-10,83.98,84.3,83.98,84.3,0.045000000000001705
2004-08-11,84.3,84.3,83.76,83.76,0.045000000000001705
2004-08-12,83.76,83.76,83.32,83.32,0.03999999999999915
2004-08-13,83.32,84.61,83.32,84.61,0.06999999999999318
2004-08-16,84.61,84.61,84.57,84.57,0.06999999999999318
2004-08-17,84.57,84.57,84.19,84.19,0.03999999999999204
2004-08-18,84.19,84.19,83.87,83.87,0.03999999999999915
2004-08-19,83.87,84.33,83.87,84.33,0.03999999999999915
2004-08-20,84.33,84.33,84.1,84.1,0.06999999999999318
2004-08-23,84.1,84.1,84.04,84.04,0.07000000000000028
2004-08-24,84.04,84.04,83.91,83.91,0.03999999999999915
2004-08-25,83.91,84.46,83.91,84.46,0.03999999999999204
2004-08-26,84.46,84.46,83.91,83.91,0.03999999999999204
2004-08-27,83.91,83.91,83.58,83.58,0.06999999999999318
2004-08-30,83.58,83.58,83.38,83.38,0.06999999999999318
2004-08-31,83.38,83.38,83.18,83.18,0.03999999999999915
2004-09-01,83.18,83.8,83.18,83.8,0.03999999999999915
2004-09-02,83.8,84.26,83.8,84.26,0.03999999999999915
2004-09-03,84.26,85.02,84.26,85.02,0.07000000000000028
2004-09-06,85.02,85.02,84.84,84.84,0.07000000000000028
2004-09-07,84.84,84.97,84.84,84.97,0.03999999999999915
2004-09-08,84.97,84.97,84.78,84.78,0.03999999999999915
2004-09-09,84.78,85.13,84.78,85.13,0.03999999999999915
2004-09-10,85.13,85.13,84.97,84.97,0.06999999999999318
2004-09-13,84.97,84.97,84.58,84.58,0.06999999999999318
2004-09-14,84.58,84.81,84.58,84.81,0.03999999999999915
2004-09-15,84.81,84.89,84.81,84.89,0.04000000000000625
2004-09-16,84.89,84.93,84.89,84.93,0.04000000000000625
2004-09-17,84.93,84.93,84.68,84.68,0.07000000000000739
2004-09-20,84.68,84.91,84.68,84.91,0.07000000000000028
2004-09-21,84.91,85.2,84.91,85.2,0.03999999999999915
2004-09-22,85.2,86.3,85.2,86.3,0.03999999999999915
2004-09-23,86.3,86.59,86.3,86.59,0.03999999999999915
2004-09-24,86.59,86.88,86.59,86.88,0.07000000000000028
2004-09-27,86.88,87.47,86.88,87.47,0.06999999999999318
2004-09-28,87.47,87.61,87.47,87.61,0.03999999999999915
2004-09-29,87.61,87.61,87.28,87.28,0.04000000000000625
2004-09-30,87.28,87.28,87.28,87.28,0.04000000000000625
2004-10-01,87.28,87.68,87.28,87.68,0.07000000000000739
2004-10-04,87.68,87.68,87.29,87.29,0.07000000000000739
2004-10-05,87.29,88.15,87.29,88.15,0.04000000000000625
2004-10-06,88.15,88.47,88.15,88.47,0.03999999999999915
2004-10-07,88.47,88.47,88.24,88.24,0.03999999999999204
2004-10-08,88.24,88.24,87.55,87.55,0.06999999999999318
2004-10-11,87.55,87.55,87.14,87.14,0.07000000000000028
2004-10-12,87.14,87.41,87.14,87.41,0.03999999999999915
2004-10-13,87.41,87.41,87.4,87.4,0.03999999999999915
2004-10-14,87.4,87.4,87.27,87.27,0.03999999999999915
2004-10-15,87.27,87.3,87.27,87.3,0.06999999999999318
2004-10-18,87.3,87.3,86.94,86.94,0.06999999999999318
2004-10-19,86.94,86.94,86.13,86.13,0.03999999999999204
2004-10-20,86.13,86.95,86.13,86.95,0.03999999999999915
2004-10-21,86.95,86.95,86.44,86.44,0.03999999999999915
2004-10-22,86.44,86.98,86.44,86.98,0.07000000000000028
2004-10-25,86.98,87.42,86.98,87.42,0.07000000000000739
2004-10-26,87.42,87.42,87.13,87.13,0.03999999999999915
2004-10-27,87.13,87.13,86.87,86.87,0.03999999999999915
2004-10-28,86.87,86.93,86.87,86.93,0.04000000000000625
2004-10-29,86.93,86.94,86.93,86.94,0.07000000000000028
2004-11-01,86.94,87.1,86.94,87.1,0.06999999999999318
2004-11-02,87.1,87.1,86.75,86.75,0.03999999999999915
2004-11-03,86.75,87.9,86.75,87.9,0.04000000000000625
2004-11-04,87.9,87.9,87.84,87.84,0.04000000000000625
2004-11-05,87.84,88.21,87.84,88.21,0.07000000000000028
2004-11-08,88.21,88.45,88.21,88.45,0.07000000000000028
2004-11-09,88.45,88.45,88.13,88.13,0.03999999999999915
2004-11-10,88.13,89.77,88.13,89.77,0.0449999999999946
2004-11-11,89.77,89.77,89.17,89.17,0.045000000000001705
2004-11-12,89.17,89.17,88.53,88.53,0.07000000000000028
2004-11-15,88.53,88.53,87.74,87.74,0.06999999999999318
2004-11-16,87.74,88.14,87.74,88.14,0.03999999999999915
2004-11-17,88.14,88.14,87.19,87.19,0.03999999999999915
