Date,Open,High,Low,Close,Spread
2004-05-31,1.7044,1.7044,1.7044,1.7044,0.0009999999999998899
2004-06-01,1.7044,1.7313,1.7044,1.7313,0.0010000000000000009
2004-06-02,1.7313,1.7554,1.7313,1.7554,0.001000000000000112
2004-06-03,1.7554,1.7757,1.7554,1.7757,0.001000000000000112
2004-06-04,1.7757,1.7757,1.7674,1.7674,0.002000000000000113
2004-06-07,1.7674,1.7674,1.7429,1.7429,0.0020000000000000018
2004-06-08,1.7429,1.7512,1.7429,1.7512,0.0010000000000000009
2004-06-09,1.7512,1.7512,1.7464,1.7464,0.0010000000000000009
2004-06-10,1.7464,1.7464,1.7367,1.7367,0.0009999999999998899
2004-06-11,1.7367,1.7367,1.7366,1.7366,0.0019999999999998908
2004-06-14,1.7366,1.7545,1.7366,1.7545,0.0019999999999998908
2004-06-15,1.7545,1.7545,1.7442,1.7442,0.0009999999999998899
2004-06-16,1.7442,1.7442,1.7428,1.7428,0.0009999999999998899
2004-06-17,1.7428,1.7675,1.7428,1.7675,0.0010499999999999954
2004-06-18,1.7675,1.7675,1.7637,1.7637,0.0020500000000001073
2004-06-21,1.7637,1.7637,1.7558,1.7558,0.002000000000000113
2004-06-22,1.7558,1.7611,1.7558,1.7611,0.001000000000000112
2004-06-23,1.7611,1.7611,1.7583,1.7583,0.0010000000000000009
2004-06-24,1.7583,1.7583,1.7398,1.7398,0.0010499999999999954
2004-06-25,1.7398,1.7398,1.7396,1.7396,0.0020500000000001073
2004-06-28,1.7396,1.7425,1.7396,1.7425,0.0020000000000000018
2004-06-29,1.7425,1.7511,1.7425,1.7511,0.0010499999999999954
2004-06-30,1.7511,1.7511,1.745,1.745,0.0010500000000001064
2004-07-01,1.745,1.745,1.7254,1.7254,0.001000000000000112
2004-07-02,1.7254,1.7279,1.7254,1.7279,0.0020000000000000018
2004-07-05,1.7279,1.7279,1.7273,1.7273,0.0020000000000000018
2004-07-06,1.7273,1.7273,1.723,1.723,0.001000000000000112
2004-07-07,1.723,1.723,1.7115,1.7115,0.0011500000000000954
2004-07-08,1.7115,1.7209,1.7115,1.7209,0.0012000000000000899
2004-07-09,1.7209,1.7209,1.7208,1.7208,0.0020500000000001073
2004-07-12,1.7208,1.7208,1.7062,1.7062,0.0020000000000000018
2004-07-13,1.7062,1.7062,1.701,1.701,0.0010499999999999954
2004-07-14,1.701,1.7113,1.701,1.7113,0.0010500000000001064
2004-07-15,1.7113,1.7113,1.71,1.71,0.0010999999999999899
2004-07-16,1.71,1.71,1.702,1.702,0.0020999999999998797
2004-07-19,1.702,1.702,1.7003,1.7003,0.0019999999999998908
2004-07-20,1.7003,1.7003,1.695,1.695,0.0010000000000000009
2004-07-21,1.695,1.7145,1.695,1.7145,0.0010499999999999954
2004-07-22,1.7145,1.7151,1.7145,1.7151,0.0010499999999999954
2004-07-23,1.7151,1.7151,1.7061,1.7061,0.0020000000000000018
2004-07-26,1.7061,1.7124,1.7061,1.7124,0.0019999999999998908
2004-07-27,1.7124,1.7247,1.7124,1.7247,0.0009999999999998899
2004-07-28,1.7247,1.7247,1.7232,1.7232,0.0010000000000000009
2004-07-29,1.7232,1.7232,1.7225,1.7225,0.0010000000000000009
2004-07-30,1.7225,1.7225,1.7117,1.7117,0.0019999999999998908
2004-08-02,1.7117,1.7117,1.7103,1.7103,0.0020499999999998852
2004-08-03,1.7103,1.7103,1.7063,1.7063,0.0010999999999998789
2004-08-04,1.7063,1.7125,1.7063,1.7125,0.0010999999999998789
2004-08-05,1.7125,1.7138,1.7125,1.7138,0.0010499999999998844
2004-08-06,1.7138,1.7222,1.7138,1.7222,0.0019999999999998908
2004-08-09,1.7222,1.7222,1.716,1.716,0.0020499999999998852
2004-08-10,1.716,1.7164,1.716,1.7164,0.0010999999999998789
2004-08-11,1.7164,1.7164,1.709,1.709,0.0010999999999999899
2004-08-12,1.709,1.7149,1.709,1.7149,0.001100000000000101
2004-08-13,1.7149,1.7274,1.7149,1.7274,0.0020500000000001073
2004-08-16,1.7274,1.7274,1.7219,1.7219,0.0020499999999999963
2004-08-17,1.7219,1.7272,1.7219,1.7272,0.0010999999999999899
2004-08-18,1.7272,1.7272,1.7237,1.7237,0.001100000000000101
2004-08-19,1.7237,1.7237,1.7066,1.7066,0.0010999999999999899
2004-08-20,1.7066,1.7066,1.7036,1.7036,0.0020499999999999963
2004-08-23,1.7036,1.7036,1.7023,1.7023,0.0020999999999999908
2004-08-24,1.7023,1.715,1.7023,1.715,0.0010999999999999899
2004-08-25,1.715,1.715,1.7125,1.7125,0.0010999999999999899
2004-08-26,1.7125,1.7206,1.7125,1.7206,0.0010999999999998789
2004-08-27,1.7206,1.7206,1.7113,1.7113,0.0020000000000000018
2004-08-30,1.7113,1.722,1.7113,1.722,0.0020000000000000018
2004-08-31,1.722,1.7306,1.722,1.7306,0.0009999999999998899
2004-09-01,1.7306,1.7334,1.7306,1.7334,0.0010999999999999899
2004-09-02,1.7334,1.746,1.7334,1.746,0.0012000000000000899
2004-09-03,1.746,1.746,1.7459,1.7459,0.002100000000000102
2004-09-06,1.7459,1.7459,1.7428,1.7428,0.0020999999999999908
2004-09-07,1.7428,1.7437,1.7428,1.7437,0.0011999999999999789
2004-09-08,1.7437,1.7498,1.7437,1.7498,0.0012000000000000899
2004-09-09,1.7498,1.7745,1.7498,1.7745,0.0011999999999999789
2004-09-10,1.7745,1.7745,1.765,1.765,0.0020999999999998797
2004-09-13,1.765,1.765,1.7613,1.7613,0.0020499999999999963
2004-09-14,1.7613,1.7613,1.7461,1.7461,0.0010999999999999899
2004-09-15,1.7461,1.7478,1.7461,1.7478,0.0011499999999999844
2004-09-16,1.7478,1.7478,1.7433,1.7433,0.001100000000000101
2004-09-17,1.7433,1.7476,1.7433,1.7476,0.002000000000000113
2004-09-20,1.7476,1.7476,1.7373,1.7373,0.0020500000000001073
2004-09-21,1.7373,1.7542,1.7373,1.7542,0.0011500000000000954
2004-09-22,1.7542,1.7542,1.7364,1.7364,0.0010999999999999899
2004-09-23,1.7364,1.7364,1.7205,1.7205,0.0010499999999998844
2004-09-24,1.7205,1.7205,1.7194,1.7194,0.0020499999999999963
2004-09-27,1.7194,1.7231,1.7194,1.7231,0.002000000000000113
2004-09-28,1.7231,1.7231,1.7176,1.7176,0.001000000000000112
2004-09-29,1.7176,1.7204,1.7176,1.7204,0.0010999999999999899
2004-09-30,1.7204,1.7204,1.7095,1.7095,0.0011499999999999844
2004-10-01,1.7095,1.7115,1.7095,1.7115,0.0020500000000001073
2004-10-04,1.7115,1.7115,1.7032,1.7032,0.002000000000000113
2004-10-05,1.7032,1.7032,1.7,1.7,0.0010000000000000009
2004-10-06,1.7,1.7,1.6977,1.6977,0.0010499999999998844
2004-10-07,1.6977,1.6977,1.6878,1.6878,0.0011499999999998733
2004-10-08,1.6878,1.69,1.6878,1.69,0.0020999999999998797
2004-10-11,1.69,1.6908,1.69,1.6908,0.0020999999999999908
2004-10-12,1.6908,1.6908,1.6878,1.6878,0.0010999999999999899
2004-10-13,1.6878,1.7008,1.6878,1.7008,0.0010499999999999954
2004-10-14,1.7008,1.7011,1.7008,1.7011,0.001100000000000101
2004-10-15,1.7011,1.7062,1.7011,1.7062,0.0020499999999999963
2004-10-18,1.7062,1.7231,1.7062,1.7231,0.0020000000000000018
2004-10-19,1.7231,1.7231,1.7217,1.7217,0.001000000000000112
2004-10-20,1.7217,1.7217,1.7137,1.7137,0.001000000000000112
2004-10-21,1.7137,1.7137,1.7116,1.7116,0.0010500000000001064
2004-10-25,1.7116,1.7156,1.7116,1.7156,0.0010500000000001064
2004-10-26,1.7156,1.7156,1.7112,1.7112,0.001000000000000112
2004-10-27,1.7112,1.7112,1.7076,1.7076,0.0010500000000001064
2004-10-28,1.7076,1.7076,1.7073,1.7073,0.001100000000000101
2004-11-01,1.7073,1.7083,1.7073,1.7083,0.0010499999999999954
2004-11-02,1.7083,1.7083,1.7034,1.7034,0.0010000000000000009
2004-11-03,1.7034,1.7034,1.6974,1.6974,0.001000000000000112
2004-11-04,1.6974,1.7001,1.6974,1.7001,0.0010499999999999954
2004-11-05,1.7001,1.7013,1.7001,1.7013,0.0020499999999999963
2004-11-08,1.7013,1.7062,1.7013,1.7062,0.0020000000000000018
2004-11-09,1.7062,1.7062,1.6946,1.6946,0.0010000000000000009
2004-11-10,1.6946,1.6978,1.6946,1.6978,0.0010000000000000009
2004-11-11,1.6978,1.6978,1.6882,1.6882,0.0009999999999998899
2004-11-12,1.6882,1.6882,1.6878,1.6878,0.0019999999999998908
2004-11-15,1.6878,1.6878,1.6742,1.6742,0.0019999999999998908
2004-11-16,1.6742,1.6774,1.6742,1.6774,0.0010000000000000009
2004-11-17,1.6774,1.6774,1.6675,1.6675,0.0010000000000000009
2004-11-18,1.6675,1.6675,1.666,1.666,0.0010499999999998844
2004-11-19,1.666,1.666,1.6638,1.6638,0.0020499999999998852
2004-11-22,1.6638,1.6672,1.6638,1.6672,0.0020000000000000018
2004-11-23,1.6672,1.6672,1.6653,1.6653,0.001000000000000112
2004-11-24,1.6653,1.6725,1.6653,1.6725,0.0010500000000001064
2004-11-25,1.6725,1.6747,1.6725,1.6747,0.0011500000000000954
2004-11-26,1.6747,1.6829,1.6747,1.6829,0.002100000000000102
2004-11-29,1.6829,1.6933,1.6829,1.6933,0.002000000000000113
2004-11-30,1.6933,1.7226,1.6933,1.7226,0.0010000000000000009
2004-12-01,1.7226,1.7226,1.7154,1.7154,0.0010000000000000009
2004-12-02,1.7154,1.7154,1.7136,1.7136,0.001000000000000112
2004-12-03,1.7136,1.723,1.7136,1.723,0.002000000000000113
2004-12-06,1.723,1.7339,1.723,1.7339,0.0020000000000000018
2004-12-07,1.7339,1.7339,1.7339,1.7339,0.0009999999999998899
2004-12-08,1.7339,1.7599,1.7339,1.7599,0.0010000000000000009
2004-12-09,1.7599,1.766,1.7599,1.766,0.001100000000000101
2004-12-10,1.766,1.766,1.7623,1.7623,0.0020999999999999908
2004-12-13,1.7623,1.7623,1.7545,1.7545,0.0020499999999998852
2004-12-14,1.7545,1.7589,1.7545,1.7589,0.0010999999999998789
2004-12-15,1.7589,1.7589,1.7554,1.7554,0.0010499999999999954
2004-12-16,1.7554,1.7554,1.7499,1.7499,0.001100000000000101
2004-12-17,1.7499,1.7499,1.7411,1.7411,0.002100000000000102
2004-12-20,1.7411,1.7535,1.7411,1.7535,0.002000000000000113
2004-12-21,1.7535,1.7535,1.7492,1.7492,0.001000000000000112
2004-12-22,1.7492,1.7536,1.7492,1.7536,0.001000000000000112
2004-12-23,1.7536,1.7624,1.7536,1.7624,0.0010000000000000009
2004-12-24,1.7624,1.7624,1.7614,1.7614,0.0020000000000000018
2004-12-27,1.7614,1.7614,1.7512,1.7512,0.002000000000000113
