Date,Open,High,Low,Close,Spread
2004-05-31,1.6599,1.6599,1.6599,1.6599,0.0005999999999999339
2004-06-01,1.6599,1.6761,1.6599,1.6761,0.0004999999999999449
2004-06-02,1.6761,1.6761,1.6633,1.6633,0.00044999999999995044
2004-06-03,1.6633,1.6666,1.6633,1.6666,0.00045000000000006146
2004-06-04,1.6666,1.6666,1.6601,1.6601,0.0009500000000000064
2004-06-07,1.6601,1.6601,1.6597,1.6597,0.0009999999999998899
2004-06-08,1.6597,1.6597,1.6559,1.6559,0.00044999999999995044
2004-06-09,1.6559,1.6559,1.6385,1.6385,0.00040000000000006697
2004-06-10,1.6385,1.647,1.6385,1.647,0.00040000000000006697
2004-06-11,1.647,1.647,1.638,1.638,0.0009499999999998954
2004-06-14,1.638,1.6583,1.638,1.6583,0.0009500000000000064
2004-06-15,1.6583,1.6646,1.6583,1.6646,0.000400000000000178
2004-06-16,1.6646,1.6646,1.6494,1.6494,0.00040000000000006697
2004-06-17,1.6494,1.6526,1.6494,1.6526,0.00040000000000006697
2004-06-18,1.6526,1.6549,1.6526,1.6549,0.0009500000000001174
2004-06-21,1.6549,1.6549,1.6542,1.6542,0.0009500000000000064
2004-06-22,1.6542,1.6542,1.6441,1.6441,0.00039999999999995595
2004-06-23,1.6441,1.645,1.6441,1.645,0.00039999999999995595
2004-06-24,1.645,1.645,1.6372,1.6372,0.00039999999999995595
2004-06-25,1.6372,1.6443,1.6372,1.6443,0.0009500000000000064
2004-06-28,1.6443,1.6443,1.6435,1.6435,0.0009500000000000064
2004-06-29,1.6435,1.6435,1.6245,1.6245,0.00039999999999995595
2004-06-30,1.6245,1.6261,1.6245,1.6261,0.00045000000000006146
2004-07-01,1.6261,1.6261,1.6208,1.6208,0.00045000000000006146
2004-07-02,1.6208,1.6314,1.6208,1.6314,0.0009500000000000064
2004-07-05,1.6314,1.6314,1.63,1.63,0.0010000000000000009
2004-07-06,1.63,1.6315,1.63,1.6315,0.00044999999999995044
2004-07-07,1.6315,1.6337,1.6315,1.6337,0.00039999999999995595
