Date,Open,High,Low,Close,Spread
2004-05-31,134.77,134.77,133.5,133.5,0.07500000000001705
2004-06-01,133.5,135.49,133.5,135.49,0.04000000000000625
2004-06-02,135.49,135.49,134.25,134.25,0.030000000000001137
2004-06-03,134.25,135.49,134.25,135.49,0.030000000000001137
2004-06-04,135.49,136.58,135.49,136.58,0.06500000000001194
2004-06-07,136.58,136.58,134.99,134.99,0.06500000000001194
2004-06-08,134.99,134.99,134.54,134.54,0.030000000000001137
2004-06-09,134.54,134.54,133.05,133.05,0.030000000000001137
2004-06-10,133.05,133.05,132.37,132.37,0.030000000000001137
2004-06-11,132.37,132.37,132.21,132.21,0.06499999999999773
2004-06-14,132.21,133.89,132.21,133.89,0.06499999999998352
2004-06-15,133.89,133.89,133.2,133.2,0.029999999999986926
2004-06-16,133.2,133.2,132.23,132.23,0.030000000000001137
2004-06-17,132.23,132.23,132.16,132.16,0.030000000000001137
2004-06-18,132.16,132.2,132.16,132.2,0.06499999999999773
2004-06-21,132.2,132.2,131.97,131.97,0.06499999999999773
2004-06-22,131.97,132.32,131.97,132.32,0.030000000000001137
2004-06-23,132.32,132.32,131.23,131.23,0.030000000000001137
2004-06-24,131.23,131.23,130.39,130.39,0.029999999999986926
2004-06-25,130.39,131.03,130.39,131.03,0.06499999999998352
2004-06-28,131.03,131.53,131.03,131.53,0.06499999999999773
2004-06-29,131.53,131.53,130.77,130.77,0.030000000000001137
2004-06-30,130.77,132.69,130.77,132.69,0.030000000000001137
2004-07-01,132.69,132.69,131.83,131.83,0.030000000000001137
2004-07-02,131.83,133.45,131.83,133.45,0.06499999999999773
2004-07-05,133.45,134.07,133.45,134.07,0.07499999999998863
2004-07-06,134.07,134.5,134.07,134.5,0.03999999999999204
2004-07-07,134.5,134.5,134.41,134.41,0.030000000000001137
2004-07-08,134.41,135.01,134.41,135.01,0.030000000000001137
2004-07-09,135.01,135.01,134.35,134.35,0.06499999999999773
2004-07-12,134.35,134.35,134.35,134.35,0.06499999999999773
2004-07-13,134.35,134.35,133.96,133.96,0.030000000000001137
2004-07-14,133.96,135.17,133.96,135.17,0.030000000000001137
2004-07-15,135.17,135.66,135.17,135.66,0.030000000000001137
2004-07-16,135.66,135.66,135.37,135.37,0.06499999999999773
2004-07-19,135.37,135.37,134.7,134.7,0.06499999999999773
2004-07-20,134.7,134.7,134.02,134.02,0.030000000000001137
2004-07-21,134.02,134.61,134.02,134.61,0.030000000000001137
2004-07-22,134.61,134.61,134.57,134.57,0.030000000000001137
2004-07-23,134.57,134.57,133.27,133.27,0.06500000000001194
2004-07-26,133.27,133.52,133.27,133.52,0.06500000000001194
2004-07-27,133.52,133.78,133.52,133.78,0.03499999999999659
