Date,Open,High,Low,Close,Spread
2004-05-31,1.9284,1.9284,1.9284,1.9284,0.0009999999999998899
2004-06-01,1.9284,1.9488,1.9284,1.9488,0.0010000000000000009
2004-06-02,1.9488,1.9663,1.9488,1.9663,0.0012499999999999734
2004-06-03,1.9663,1.9806,1.9663,1.9806,0.0012999999999998568
2004-06-04,1.9806,1.9806,1.9755,1.9755,0.0017999999999999128
2004-06-07,1.9755,1.9755,1.9442,1.9442,0.0017499999999999183
2004-06-08,1.9442,1.9553,1.9442,1.9553,0.0010000000000000009
2004-06-09,1.9553,1.9553,1.9505,1.9505,0.0010499999999999954
2004-06-10,1.9505,1.9505,1.9118,1.9118,0.0010499999999998844
2004-06-11,1.9118,1.9118,1.9104,1.9104,0.0017500000000000293
2004-06-14,1.9104,1.9321,1.9104,1.9321,0.0017500000000000293
2004-06-15,1.9321,1.9321,1.9066,1.9066,0.0010000000000000009
2004-06-16,1.9066,1.9104,1.9066,1.9104,0.001000000000000112
2004-06-17,1.9104,1.9381,1.9104,1.9381,0.0012499999999999734
2004-06-18,1.9381,1.9381,1.9379,1.9379,0.0019999999999998908
2004-06-21,1.9379,1.9379,1.9276,1.9276,0.0017499999999999183
2004-06-22,1.9276,1.9281,1.9276,1.9281,0.0009999999999998899
2004-06-23,1.9281,1.9377,1.9281,1.9377,0.0009999999999998899
2004-06-24,1.9377,1.9377,1.9175,1.9175,0.0009999999999998899
2004-06-25,1.9175,1.9175,1.9168,1.9168,0.0017500000000000293
2004-06-28,1.9168,1.9168,1.9014,1.9014,0.0017500000000000293
2004-06-29,1.9014,1.9154,1.9014,1.9154,0.0009999999999998899
2004-06-30,1.9154,1.9177,1.9154,1.9177,0.0009999999999998899
2004-07-01,1.9177,1.9177,1.8979,1.8979,0.0009999999999998899
2004-07-02,1.8979,1.9039,1.8979,1.9039,0.0017499999999999183
2004-07-05,1.9039,1.9039,1.8993,1.8993,0.0017499999999999183
2004-07-06,1.8993,1.8993,1.8921,1.8921,0.0009999999999998899
2004-07-07,1.8921,1.8921,1.8846,1.8846,0.0009500000000000064
2004-07-08,1.8846,1.8883,1.8846,1.8883,0.0009500000000001174
2004-07-09,1.8883,1.8907,1.8883,1.8907,0.0017500000000000293
2004-07-12,1.8907,1.8907,1.8781,1.8781,0.0017500000000000293
2004-07-13,1.8781,1.8781,1.8772,1.8772,0.0010000000000000009
2004-07-14,1.8772,1.8985,1.8772,1.8985,0.0010000000000000009
2004-07-15,1.8985,1.8994,1.8985,1.8994,0.0010000000000000009
2004-07-16,1.8994,1.8994,1.8901,1.8901,0.0017499999999999183
2004-07-19,1.8901,1.898,1.8901,1.898,0.0017499999999999183
2004-07-20,1.898,1.898,1.8854,1.8854,0.0009999999999998899
2004-07-21,1.8854,1.9156,1.8854,1.9156,0.0009999999999998899
2004-07-22,1.9156,1.9156,1.9101,1.9101,0.0009999999999998899
2004-07-23,1.9101,1.9101,1.904,1.904,0.0017499999999999183
2004-07-26,1.904,1.9095,1.904,1.9095,0.0017499999999999183
2004-07-27,1.9095,1.9222,1.9095,1.9222,0.0009999999999998899
2004-07-28,1.9222,1.9222,1.9173,1.9173,0.0010000000000000009
2004-07-29,1.9173,1.9173,1.9017,1.9017,0.0010000000000000009
2004-07-30,1.9017,1.9017,1.8884,1.8884,0.0017500000000000293
2004-08-02,1.8884,1.8884,1.8797,1.8797,0.0017500000000000293
2004-08-03,1.8797,1.8797,1.8648,1.8648,0.0010000000000000009
2004-08-04,1.8648,1.8684,1.8648,1.8684,0.001000000000000112
2004-08-05,1.8684,1.8728,1.8684,1.8728,0.001000000000000112
2004-08-06,1.8728,1.8844,1.8728,1.8844,0.0017500000000001403
2004-08-09,1.8844,1.8844,1.8804,1.8804,0.0017500000000001403
2004-08-10,1.8804,1.8804,1.8755,1.8755,0.0010000000000000009
2004-08-11,1.8755,1.8755,1.8661,1.8661,0.0010000000000000009
2004-08-12,1.8661,1.8661,1.8614,1.8614,0.0010000000000000009
2004-08-13,1.8614,1.8614,1.8581,1.8581,0.0017500000000000293
2004-08-16,1.8581,1.8599,1.8581,1.8599,0.0017500000000001403
2004-08-17,1.8599,1.8615,1.8599,1.8615,0.0010000000000000009
2004-08-18,1.8615,1.8615,1.8574,1.8574,0.0009999999999998899
2004-08-19,1.8574,1.8574,1.8413,1.8413,0.0009999999999998899
