Date,Open,High,Low,Close,Spread
2004-05-31,2.5618,2.5618,2.5618,2.5618,0.0007999999999999119
2004-06-01,2.5618,2.5998,2.5618,2.5998,0.0006999999999999229
2004-06-02,2.5998,2.6362,2.5998,2.6362,0.0006500000000000394
2004-06-03,2.6362,2.6726,2.6362,2.6726,0.000600000000000156
2004-06-04,2.6726,2.6726,2.6463,2.6463,0.0012500000000001954
2004-06-07,2.6463,2.6463,2.6039,2.6039,0.0013000000000000789
2004-06-08,2.6039,2.6201,2.6039,2.6201,0.0006499999999998174
2004-06-09,2.6201,2.6523,2.6201,2.6523,0.0006999999999997009
2004-06-10,2.6523,2.6523,2.6439,2.6439,0.0007999999999999119
2004-06-11,2.6439,2.6439,2.6302,2.6302,0.0017000000000000348
2004-06-14,2.6302,2.635,2.6302,2.635,0.0016499999999999293
2004-06-15,2.635,2.635,2.627,2.627,0.0007499999999998064
2004-06-16,2.627,2.6508,2.627,2.6508,0.0006999999999997009
2004-06-17,2.6508,2.6901,2.6508,2.6901,0.0007500000000000284
2004-06-18,2.6901,2.6901,2.6701,2.6701,0.0016500000000001513
2004-06-21,2.6701,2.6701,2.6539,2.6539,0.0015499999999999403
2004-06-22,2.6539,2.6539,2.6478,2.6478,0.0005999999999999339
2004-06-23,2.6478,2.6478,2.6404,2.6404,0.0005999999999999339
2004-06-24,2.6404,2.6404,2.6084,2.6084,0.0005999999999999339
2004-06-25,2.6084,2.6084,2.608,2.608,0.0013000000000000789
2004-06-28,2.608,2.6167,2.608,2.6167,0.0013000000000000789
2004-06-29,2.6167,2.6188,2.6167,2.6188,0.0005999999999999339
2004-06-30,2.6188,2.6188,2.6035,2.6035,0.0005999999999999339
2004-07-01,2.6035,2.6035,2.5814,2.5814,0.0005999999999999339
2004-07-02,2.5814,2.5814,2.5672,2.5672,0.0013000000000000789
2004-07-05,2.5672,2.5706,2.5672,2.5706,0.00140000000000029
2004-07-06,2.5706,2.5828,2.5706,2.5828,0.000700000000000367
2004-07-07,2.5828,2.5828,2.5665,2.5665,0.0006500000000002615
2004-07-08,2.5665,2.5696,2.5665,2.5696,0.0006500000000000394
2004-07-09,2.5696,2.5759,2.5696,2.5759,0.0012999999999998568
2004-07-12,2.5759,2.5759,2.5604,2.5604,0.0012999999999998568
2004-07-13,2.5604,2.5618,2.5604,2.5618,0.0006499999999998174
2004-07-14,2.5618,2.5649,2.5618,2.5649,0.0006500000000000394
2004-07-15,2.5649,2.5649,2.5643,2.5643,0.000600000000000156
2004-07-16,2.5643,2.5643,2.5592,2.5592,0.0013000000000000789
2004-07-19,2.5592,2.5592,2.5513,2.5513,0.0012499999999999734
2004-07-20,2.5513,2.5513,2.5469,2.5469,0.0005499999999998284
2004-07-21,2.5469,2.5743,2.5469,2.5743,0.0005999999999999339
2004-07-22,2.5743,2.5793,2.5743,2.5793,0.0005999999999999339
2004-07-23,2.5793,2.5828,2.5793,2.5828,0.0013000000000000789
2004-07-26,2.5828,2.5954,2.5828,2.5954,0.0013000000000000789
2004-07-27,2.5954,2.6047,2.5954,2.6047,0.0006999999999999229
2004-07-28,2.6047,2.6079,2.6047,2.6079,0.0007499999999998064
2004-07-29,2.6079,2.6079,2.5977,2.5977,0.0006499999999998174
2004-07-30,2.5977,2.5977,2.5901,2.5901,0.0013000000000000789
2004-08-02,2.5901,2.598,2.5901,2.598,0.0014000000000000679
2004-08-03,2.598,2.598,2.5835,2.5835,0.0007999999999999119
2004-08-04,2.5835,2.5932,2.5835,2.5932,0.0006999999999999229
2004-08-05,2.5932,2.5932,2.5925,2.5925,0.0005499999999998284
2004-08-06,2.5925,2.5925,2.5808,2.5808,0.0012499999999997513
2004-08-09,2.5808,2.5808,2.574,2.574,0.0013999999999998458
2004-08-10,2.574,2.574,2.5621,2.5621,0.0007999999999999119
2004-08-11,2.5621,2.5621,2.559,2.559,0.0008000000000001339
2004-08-12,2.559,2.559,2.5499,2.5499,0.0006500000000002615
2004-08-13,2.5499,2.5719,2.5499,2.5719,0.0012499999999999734
2004-08-16,2.5719,2.5719,2.5625,2.5625,0.0013999999999998458
2004-08-17,2.5625,2.5625,2.5552,2.5552,0.0008000000000001339
2004-08-18,2.5552,2.5552,2.5481,2.5481,0.000700000000000145
2004-08-19,2.5481,2.5481,2.5291,2.5291,0.0006500000000000394
2004-08-20,2.5291,2.5291,2.5152,2.5152,0.0013500000000001844
2004-08-23,2.5152,2.5346,2.5152,2.5346,0.0013500000000001844
2004-08-24,2.5346,2.544,2.5346,2.544,0.0006500000000000394
2004-08-25,2.544,2.5455,2.544,2.5455,0.0005999999999999339
2004-08-26,2.5455,2.5537,2.5455,2.5537,0.0005999999999999339
2004-08-27,2.5537,2.5537,2.5495,2.5495,0.0013000000000000789
2004-08-30,2.5495,2.5663,2.5495,2.5663,0.0013000000000000789
2004-08-31,2.5663,2.5663,2.5599,2.5599,0.0005999999999999339
2004-09-01,2.5599,2.5599,2.5492,2.5492,0.0006999999999999229
2004-09-02,2.5492,2.5676,2.5492,2.5676,0.0007999999999999119
2004-09-03,2.5676,2.5712,2.5676,2.5712,0.0016499999999999293
2004-09-06,2.5712,2.5718,2.5712,2.5718,0.0015499999999999403
2004-09-07,2.5718,2.5718,2.5531,2.5531,0.0005999999999999339
2004-09-08,2.5531,2.5647,2.5531,2.5647,0.000600000000000156
2004-09-09,2.5647,2.5948,2.5647,2.5948,0.0006500000000002615
2004-09-10,2.5948,2.5948,2.5848,2.5848,0.0013499999999999623
2004-09-13,2.5848,2.5848,2.5803,2.5803,0.0012999999999998568
2004-09-14,2.5803,2.5803,2.5614,2.5614,0.0005999999999999339
2004-09-15,2.5614,2.5614,2.5552,2.5552,0.0005999999999999339
2004-09-16,2.5552,2.5651,2.5552,2.5651,0.0006500000000000394
2004-09-17,2.5651,2.5701,2.5651,2.5701,0.0013500000000001844
2004-09-20,2.5701,2.5701,2.5478,2.5478,0.0013000000000000789
2004-09-21,2.5478,2.5545,2.5478,2.5545,0.0005999999999999339
2004-09-22,2.5545,2.5545,2.5378,2.5378,0.0005999999999999339
2004-09-23,2.5378,2.5378,2.518,2.518,0.0005999999999999339
2004-09-24,2.518,2.5284,2.518,2.5284,0.0012999999999998568
2004-09-27,2.5284,2.5352,2.5284,2.5352,0.0012999999999998568
2004-09-28,2.5352,2.5352,2.5259,2.5259,0.0005999999999999339
2004-09-29,2.5259,2.5259,2.5096,2.5096,0.0005999999999999339
2004-09-30,2.5096,2.5096,2.4898,2.4898,0.0005999999999999339
2004-10-01,2.4898,2.4898,2.4783,2.4783,0.0012999999999998568
2004-10-04,2.4783,2.4783,2.4729,2.4729,0.0012999999999998568
2004-10-05,2.4729,2.4729,2.4605,2.4605,0.0005999999999999339
2004-10-06,2.4605,2.4605,2.458,2.458,0.000600000000000156
2004-10-07,2.458,2.458,2.4479,2.4479,0.0005500000000002725
2004-10-08,2.4479,2.4479,2.4428,2.4428,0.0012500000000001954
2004-10-11,2.4428,2.4541,2.4428,2.4541,0.0013500000000001844
2004-10-12,2.4541,2.4541,2.4526,2.4526,0.0005999999999999339
2004-10-13,2.4526,2.4715,2.4526,2.4715,0.0005499999999998284
2004-10-14,2.4715,2.4715,2.4664,2.4664,0.0006500000000000394
2004-10-15,2.4664,2.468,2.4664,2.468,0.0013499999999999623
2004-10-18,2.468,2.4794,2.468,2.4794,0.0012999999999998568
2004-10-19,2.4794,2.4813,2.4794,2.4813,0.0005999999999999339
2004-10-20,2.4813,2.4813,2.4742,2.4742,0.0005500000000000504
2004-10-21,2.4742,2.4789,2.4742,2.4789,0.0005500000000000504
2004-10-22,2.4789,2.4789,2.4706,2.4706,0.0013000000000000789
2004-10-25,2.4706,2.4706,2.4659,2.4659,0.0012500000000001954
2004-10-26,2.4659,2.4659,2.4584,2.4584,0.000500000000000167
2004-10-27,2.4584,2.4584,2.4545,2.4545,0.0004999999999999449
2004-10-28,2.4545,2.4545,2.4509,2.4509,0.0004999999999997229
2004-10-29,2.4509,2.4558,2.4509,2.4558,0.0012499999999997513
2004-11-01,2.4558,2.4558,2.4553,2.4553,0.0012499999999997513
2004-11-02,2.4553,2.4619,2.4553,2.4615,0.0004999999999999449
2004-11-03,2.4615,2.4615,2.4465,2.4465,0.0004999999999999449
2004-11-04,2.4465,2.4465,2.435,2.435,0.0004999999999999449
2004-11-05,2.435,2.435,2.4345,2.4345,0.0012499999999999734
2004-11-08,2.4345,2.4509,2.4345,2.4509,0.0012499999999997513
2004-11-09,2.4509,2.4509,2.4398,2.4398,0.0004999999999999449
2004-11-10,2.4398,2.4398,2.4317,2.4317,0.000500000000000167
