Date,Open,High,Low,Close,Spread
2004-05-31,2.4951,2.4951,2.4951,2.4951,0.0006999999999997009
2004-06-01,2.4951,2.5173,2.4951,2.5173,0.0006499999999998174
2004-06-02,2.5173,2.5173,2.4982,2.4982,0.000600000000000156
2004-06-03,2.4982,2.5086,2.4982,2.5086,0.0005500000000000504
2004-06-04,2.5086,2.5086,2.4873,2.4873,0.0009999999999998899
2004-06-07,2.4873,2.4873,2.4803,2.4803,0.0010500000000002174
2004-06-08,2.4803,2.4803,2.4778,2.4778,0.0005500000000000504
2004-06-09,2.4778,2.4888,2.4778,2.4888,0.0004999999999997229
2004-06-10,2.4888,2.5075,2.4888,2.5075,0.0005499999999998284
2004-06-11,2.5075,2.5075,2.4815,2.4815,0.0010499999999999954
2004-06-14,2.4815,2.491,2.4815,2.491,0.0010499999999999954
2004-06-15,2.491,2.5081,2.491,2.5081,0.000600000000000156
2004-06-16,2.5081,2.5096,2.5081,2.5096,0.000600000000000156
2004-06-17,2.5096,2.5156,2.5096,2.5156,0.0005999999999999339
2004-06-18,2.5156,2.5156,2.5062,2.5062,0.0010499999999999954
2004-06-21,2.5062,2.5062,2.501,2.501,0.0010499999999999954
2004-06-22,2.501,2.501,2.4726,2.4726,0.0005999999999999339
2004-06-23,2.4726,2.4726,2.4708,2.4708,0.0005999999999999339
2004-06-24,2.4708,2.4708,2.455,2.455,0.0005999999999999339
2004-06-25,2.455,2.4662,2.455,2.4662,0.0010499999999999954
2004-06-28,2.4662,2.4685,2.4662,2.4685,0.0010499999999999954
2004-06-29,2.4685,2.4685,2.4302,2.4302,0.0005999999999999339
2004-06-30,2.4302,2.4302,2.4264,2.4264,0.0005999999999999339
2004-07-01,2.4264,2.4264,2.425,2.425,0.0005999999999999339
2004-07-02,2.425,2.425,2.4246,2.4246,0.0010499999999999954
2004-07-05,2.4246,2.4262,2.4246,2.4262,0.001100000000000101
2004-07-06,2.4262,2.4461,2.4262,2.4461,0.0006500000000000394
2004-07-07,2.4461,2.4506,2.4461,2.4506,0.0005999999999999339
2004-07-08,2.4506,2.4506,2.4384,2.4384,0.0005999999999999339
2004-07-09,2.4384,2.4515,2.4384,2.4515,0.0010499999999997733
2004-07-12,2.4515,2.4539,2.4515,2.4539,0.0010499999999997733
2004-07-13,2.4539,2.4539,2.4488,2.4488,0.0005999999999999339
2004-07-14,2.4488,2.4547,2.4488,2.4547,0.0005999999999999339
2004-07-15,2.4547,2.4547,2.4527,2.4527,0.0005999999999999339
2004-07-16,2.4527,2.4571,2.4527,2.4571,0.0010499999999999954
2004-07-19,2.4571,2.4571,2.4426,2.4426,0.0010499999999999954
2004-07-20,2.4426,2.4426,2.4346,2.4346,0.0005999999999999339
2004-07-21,2.4346,2.4346,2.4333,2.4333,0.0005999999999999339
2004-07-22,2.4333,2.4333,2.4289,2.4289,0.0005999999999999339
2004-07-23,2.4289,2.4289,2.4203,2.4203,0.0010499999999999954
2004-07-26,2.4203,2.454,2.4203,2.454,0.0010500000000002174
2004-07-27,2.454,2.454,2.4258,2.4258,0.0006500000000002615
2004-07-28,2.4258,2.4258,2.4247,2.4247,0.0006500000000000394
