Date,Open,High,Low,Close,Spread
2004-05-31,2.8989,2.8989,2.8989,2.8989,0.0014999999999996128
2004-06-01,2.8989,2.9267,2.8989,2.9267,0.0012999999999996348
2004-06-02,2.9267,2.953,2.9267,2.953,0.0012999999999998568
2004-06-03,2.953,2.981,2.953,2.981,0.0012999999999998568
2004-06-04,2.981,2.981,2.9596,2.9596,0.0017999999999998018
2004-06-07,2.9596,2.9596,2.9053,2.9053,0.0018000000000000238
2004-06-08,2.9053,2.9256,2.9053,2.9256,0.001100000000000101
2004-06-09,2.9256,2.9626,2.9256,2.9626,0.001100000000000101
2004-06-10,2.9626,2.9626,2.9107,2.9107,0.0013000000000000789
2004-06-11,2.9107,2.9107,2.8941,2.8941,0.0020000000000000018
2004-06-14,2.8941,2.902,2.8941,2.902,0.0017500000000001403
2004-06-15,2.902,2.902,2.8725,2.8725,0.001000000000000112
2004-06-16,2.8725,2.9065,2.8725,2.9065,0.0012499999999999734
2004-06-17,2.9065,2.9496,2.9065,2.9496,0.0015000000000000568
2004-06-18,2.9496,2.9496,2.9346,2.9346,0.0020000000000000018
2004-06-21,2.9346,2.9346,2.9142,2.9142,0.0018000000000000238
2004-06-22,2.9142,2.9142,2.8997,2.8997,0.0013000000000000789
2004-06-23,2.8997,2.9105,2.8997,2.9105,0.0015000000000000568
2004-06-24,2.9105,2.9105,2.8753,2.8753,0.0015000000000000568
2004-06-25,2.8753,2.8753,2.8748,2.8748,0.0020000000000000018
2004-06-28,2.8748,2.8748,2.8558,2.8558,0.0018000000000000238
2004-06-29,2.8558,2.8652,2.8558,2.8652,0.001100000000000101
2004-06-30,2.8652,2.8652,2.8615,2.8615,0.001100000000000101
2004-07-01,2.8615,2.8615,2.8394,2.8394,0.001100000000000101
2004-07-02,2.8394,2.8394,2.8295,2.8295,0.0018000000000000238
2004-07-05,2.8295,2.8295,2.8268,2.8268,0.0017499999999999183
2004-07-06,2.8268,2.8366,2.8268,2.8366,0.0009999999999998899
2004-07-07,2.8366,2.8366,2.8268,2.8268,0.0009999999999998899
2004-07-08,2.8268,2.8268,2.8195,2.8195,0.001000000000000112
2004-07-09,2.8195,2.8312,2.8195,2.8312,0.0017500000000001403
2004-07-12,2.8312,2.8312,2.8184,2.8184,0.0017499999999999183
2004-07-13,2.8184,2.8275,2.8184,2.8275,0.001000000000000112
2004-07-14,2.8275,2.8458,2.8275,2.8458,0.001000000000000112
2004-07-15,2.8458,2.8486,2.8458,2.8486,0.0009999999999998899
2004-07-16,2.8486,2.8486,2.8427,2.8427,0.0017499999999999183
2004-07-19,2.8427,2.8485,2.8427,2.8485,0.0017499999999999183
2004-07-20,2.8485,2.8485,2.833,2.833,0.001000000000000112
2004-07-21,2.833,2.8767,2.833,2.8767,0.001000000000000112
2004-07-22,2.8767,2.8767,2.8728,2.8728,0.0009999999999998899
2004-07-23,2.8728,2.8837,2.8728,2.8837,0.0017499999999999183
2004-07-26,2.8837,2.8945,2.8837,2.8945,0.0017499999999999183
2004-07-27,2.8945,2.9039,2.8945,2.9039,0.0012499999999999734
2004-07-28,2.9039,2.9039,2.9023,2.9023,0.0015000000000000568
2004-07-29,2.9023,2.9023,2.8681,2.8681,0.0013000000000000789
2004-07-30,2.8681,2.8681,2.8582,2.8582,0.0018000000000000238
2004-08-02,2.8582,2.8582,2.8561,2.8561,0.0020000000000000018
2004-08-03,2.8561,2.8561,2.824,2.824,0.0012499999999999734
2004-08-04,2.824,2.8297,2.824,2.8297,0.0009999999999998899
2004-08-05,2.8297,2.8334,2.8297,2.8334,0.001000000000000112
2004-08-06,2.8334,2.8334,2.8247,2.8247,0.0017500000000001403
2004-08-09,2.8247,2.8247,2.8208,2.8208,0.0017500000000001403
2004-08-10,2.8208,2.8208,2.8001,2.8001,0.001000000000000112
2004-08-11,2.8001,2.8001,2.7942,2.7942,0.0009999999999998899
