Date,Open,High,Low,Close,Spread
2004-05-31,1.8335,1.8335,1.8323,1.8323,0.0007499999999999174
2004-06-01,1.8323,1.8396,1.8323,1.8396,0.00044999999999995044
2004-06-02,1.8396,1.8396,1.8349,1.8349,0.00039999999999995595
2004-06-03,1.8349,1.8406,1.8349,1.8406,0.00034999999999996145
2004-06-04,1.8406,1.8406,1.8406,1.8406,0.0006500000000000394
2004-06-07,1.8406,1.8415,1.8406,1.8415,0.0007000000000000339
2004-06-08,1.8415,1.8415,1.8362,1.8362,0.00034999999999996145
2004-06-09,1.8362,1.8362,1.8304,1.8304,0.00029999999999996696
2004-06-10,1.8304,1.8432,1.8304,1.8432,0.00034999999999996145
2004-06-11,1.8432,1.8432,1.8195,1.8195,0.0006999999999999229
2004-06-14,1.8195,1.8195,1.8116,1.8116,0.0007000000000000339
2004-06-15,1.8116,1.8327,1.8116,1.8327,0.00040000000000006697
2004-06-16,1.8327,1.8327,1.8278,1.8278,0.00040000000000006697
2004-06-17,1.8278,1.8347,1.8278,1.8347,0.00040000000000006697
2004-06-18,1.8347,1.8388,1.8347,1.8388,0.0006999999999999229
2004-06-21,1.8388,1.8388,1.8317,1.8317,0.0007000000000000339
2004-06-22,1.8317,1.8317,1.8209,1.8209,0.00040000000000006697
2004-06-23,1.8209,1.8209,1.8166,1.8166,0.00039999999999995595
2004-06-24,1.8166,1.8251,1.8166,1.8251,0.00039999999999995595
2004-06-25,1.8251,1.8272,1.8251,1.8272,0.0006999999999999229
2004-06-28,1.8272,1.8304,1.8272,1.8304,0.0006999999999999229
2004-06-29,1.8304,1.8304,1.8075,1.8075,0.00040000000000006697
2004-06-30,1.8075,1.8206,1.8075,1.8206,0.00040000000000006697
2004-07-01,1.8206,1.8206,1.8196,1.8196,0.00040000000000006697
2004-07-02,1.8196,1.8312,1.8196,1.8312,0.0007000000000000339
2004-07-05,1.8312,1.8312,1.8296,1.8296,0.0007499999999999174
2004-07-06,1.8296,1.8418,1.8296,1.8418,0.00045000000000006146
2004-07-07,1.8418,1.8562,1.8418,1.8562,0.000400000000000178
2004-07-08,1.8562,1.8562,1.8496,1.8496,0.00040000000000006697
2004-07-09,1.8496,1.8598,1.8496,1.8598,0.0006999999999999229
2004-07-12,1.8598,1.8624,1.8598,1.8624,0.0006999999999999229
2004-07-13,1.8624,1.8624,1.8571,1.8571,0.00039999999999995595
2004-07-14,1.8571,1.8571,1.8562,1.8562,0.00040000000000006697
2004-07-15,1.8562,1.8562,1.8532,1.8532,0.00040000000000006697
2004-07-16,1.8532,1.8736,1.8532,1.8736,0.0006999999999999229
2004-07-19,1.8736,1.8736,1.8678,1.8678,0.0006999999999999229
2004-07-20,1.8678,1.8678,1.8531,1.8531,0.00039999999999995595
2004-07-21,1.8531,1.8531,1.8414,1.8414,0.00039999999999995595
2004-07-22,1.8414,1.8439,1.8414,1.8439,0.00040000000000006697
2004-07-23,1.8439,1.8439,1.832,1.832,0.000700000000000145
2004-07-26,1.832,1.8409,1.832,1.8409,0.0007000000000000339
2004-07-27,1.8409,1.8409,1.8218,1.8218,0.00045000000000006146
2004-07-28,1.8218,1.8251,1.8218,1.8251,0.00045000000000006146
2004-07-29,1.8251,1.8251,1.8171,1.8171,0.00039999999999995595
2004-07-30,1.8171,1.8201,1.8171,1.8201,0.0007000000000000339
2004-08-02,1.8201,1.8275,1.8201,1.8275,0.0007500000000000284
2004-08-03,1.8275,1.8275,1.8269,1.8269,0.0004999999999999449
2004-08-04,1.8269,1.8269,1.8256,1.8256,0.00044999999999995044
2004-08-05,1.8256,1.8256,1.8238,1.8238,0.0003500000000000725
2004-08-06,1.8238,1.8417,1.8238,1.8417,0.0006500000000000394
2004-08-09,1.8417,1.8417,1.8415,1.8415,0.0007499999999999174
2004-08-10,1.8415,1.8415,1.8274,1.8274,0.0004999999999999449
2004-08-11,1.8274,1.83,1.8274,1.83,0.000500000000000056
2004-08-12,1.83,1.83,1.8224,1.8224,0.00040000000000006697
2004-08-13,1.8224,1.8438,1.8224,1.8438,0.0006500000000000394
2004-08-16,1.8438,1.8438,1.8405,1.8405,0.0007500000000000284
2004-08-17,1.8405,1.8405,1.8286,1.8286,0.0004999999999999449
2004-08-18,1.8286,1.8286,1.8239,1.8239,0.00045000000000006146
2004-08-19,1.8239,1.8329,1.8239,1.8329,0.00040000000000006697
2004-08-20,1.8329,1.8329,1.8205,1.8205,0.0007000000000000339
2004-08-23,1.8205,1.8205,1.8085,1.8085,0.0007000000000000339
2004-08-24,1.8085,1.8085,1.7925,1.7925,0.00039999999999995595
2004-08-25,1.7925,1.7966,1.7925,1.7966,0.00039999999999995595
2004-08-26,1.7966,1.7968,1.7966,1.7968,0.00039999999999995595
2004-08-27,1.7968,1.7968,1.7913,1.7913,0.0006999999999999229
2004-08-30,1.7913,1.7956,1.7913,1.7956,0.0007000000000000339
2004-08-31,1.7956,1.8027,1.7956,1.8027,0.00040000000000006697
2004-09-01,1.8027,1.8027,1.7932,1.7932,0.00044999999999995044
2004-09-02,1.7932,1.7932,1.791,1.791,0.0004999999999999449
2004-09-03,1.791,1.791,1.7771,1.7771,0.0007499999999999174
2004-09-06,1.7771,1.7807,1.7771,1.7807,0.0006999999999999229
2004-09-07,1.7807,1.7807,1.7734,1.7734,0.00040000000000006697
2004-09-08,1.7734,1.7863,1.7734,1.7863,0.00040000000000006697
2004-09-09,1.7863,1.7863,1.7863,1.7863,0.00044999999999995044
2004-09-10,1.7863,1.797,1.7863,1.797,0.0007499999999999174
2004-09-13,1.797,1.797,1.7969,1.7969,0.0006999999999999229
2004-09-14,1.7969,1.7981,1.7969,1.7981,0.00039999999999995595
2004-09-15,1.7981,1.7981,1.7772,1.7772,0.00044999999999995044
2004-09-16,1.7772,1.7931,1.7772,1.7931,0.00044999999999995044
2004-09-17,1.7931,1.7937,1.7931,1.7937,0.0007000000000000339
2004-09-20,1.7937,1.7937,1.7865,1.7865,0.0007000000000000339
2004-09-21,1.7865,1.7968,1.7865,1.7968,0.00039999999999995595
2004-09-22,1.7968,1.7968,1.7937,1.7937,0.00040000000000006697
2004-09-23,1.7937,1.7966,1.7937,1.7966,0.00040000000000006697
2004-09-24,1.7966,1.8063,1.7966,1.8063,0.0007000000000000339
2004-09-27,1.8063,1.8091,1.8063,1.8091,0.0007000000000000339
2004-09-28,1.8091,1.8131,1.8091,1.8131,0.00039999999999995595
2004-09-29,1.8131,1.8131,1.7994,1.7994,0.00040000000000006697
2004-09-30,1.7994,1.8118,1.7994,1.8118,0.000400000000000178
2004-10-01,1.8118,1.8118,1.799,1.799,0.0007000000000000339
2004-10-04,1.799,1.799,1.7844,1.7844,0.0006999999999999229
2004-10-05,1.7844,1.7844,1.7824,1.7824,0.00039999999999995595
2004-10-06,1.7824,1.7824,1.7796,1.7796,0.00040000000000006697
2004-10-07,1.7796,1.7823,1.7796,1.7823,0.00040000000000006697
