Date,Open,High,Low,Close,Spread
2004-05-31,69.27,69.27,69.27,69.27,0.06999999999999318
2004-06-01,69.27,69.56,69.27,69.56,0.05999999999999517
2004-06-02,69.56,69.56,68.32,68.32,0.05499999999999261
2004-06-03,68.32,68.45,68.32,68.45,0.05499999999999261
2004-06-04,68.45,69.21,68.45,69.21,0.09999999999999432
2004-06-07,69.21,69.47,69.21,69.47,0.09999999999999432
2004-06-08,69.47,69.47,68.85,68.85,0.04999999999999716
2004-06-09,68.85,68.85,68.26,68.26,0.05000000000000426
2004-06-10,68.26,69.28,68.26,69.28,0.05500000000000682
2004-06-11,69.28,69.29,69.28,69.29,0.10500000000000398
2004-06-14,69.29,69.34,69.29,69.34,0.10000000000000142
2004-06-15,69.34,69.91,69.34,69.91,0.054999999999999716
2004-06-16,69.91,69.91,69.27,69.27,0.060000000000002274
2004-06-17,69.27,69.27,68.23,68.23,0.06500000000000483
2004-06-18,68.23,68.31,68.23,68.31,0.11000000000000654
2004-06-21,68.31,68.5,68.31,68.5,0.10000000000000142
2004-06-22,68.5,68.67,68.5,68.67,0.054999999999999716
2004-06-23,68.67,68.67,67.76,67.76,0.060000000000002274
2004-06-24,67.76,68.06,67.76,68.06,0.060000000000002274
2004-06-25,68.06,68.45,68.06,68.45,0.10500000000000398
2004-06-28,68.45,69.22,68.45,69.22,0.10000000000000142
2004-06-29,69.22,69.22,68.3,68.3,0.04999999999999716
2004-06-30,68.3,69.24,68.3,69.24,0.05499999999999261
2004-07-01,69.24,69.5,69.24,69.5,0.05499999999999261
2004-07-02,69.5,70.19,69.5,70.19,0.09999999999999432
2004-07-05,70.19,70.63,70.19,70.63,0.10499999999999687
2004-07-06,70.63,71.12,70.63,71.12,0.060000000000002274
2004-07-07,71.12,71.36,71.12,71.36,0.054999999999999716
2004-07-08,71.36,71.54,71.36,71.54,0.054999999999999716
2004-07-09,71.54,71.54,71.14,71.14,0.10500000000000398
2004-07-12,71.14,71.58,71.14,71.58,0.10500000000000398
2004-07-13,71.58,71.58,71.41,71.41,0.060000000000002274
2004-07-14,71.41,71.41,71.23,71.23,0.054999999999999716
2004-07-15,71.23,71.46,71.23,71.46,0.04999999999999716
2004-07-16,71.46,71.72,71.46,71.72,0.10000000000000142
2004-07-19,71.72,71.72,71.01,71.01,0.10500000000000398
2004-07-20,71.01,71.13,71.01,71.13,0.060000000000002274
2004-07-21,71.13,71.13,70.32,70.32,0.05999999999999517
