Date,Open,High,Low,Close,Spread
2004-05-31,0.6329,0.6329,0.6324,0.6324,0.0007499999999999729
2004-06-01,0.6324,0.6324,0.6288,0.6288,0.00045000000000000595
2004-06-02,0.6288,0.6288,0.6217,0.6217,0.00045000000000006146
2004-06-03,0.6217,0.6217,0.6177,0.6177,0.00045000000000006146
2004-06-04,0.6177,0.6225,0.6177,0.6225,0.0007000000000000339
2004-06-07,0.6225,0.6341,0.6225,0.6341,0.0006999999999999784
2004-06-08,0.6341,0.6341,0.6279,0.6279,0.00040000000000001146
2004-06-09,0.6279,0.6279,0.6181,0.6181,0.00040000000000001146
2004-06-10,0.6181,0.6336,0.6181,0.6336,0.00045000000000000595
2004-06-11,0.6336,0.6336,0.6293,0.6293,0.0007500000000000284
2004-06-14,0.6293,0.6293,0.6245,0.6245,0.0007000000000000339
2004-06-15,0.6245,0.6383,0.6245,0.6383,0.00045000000000000595
2004-06-16,0.6383,0.6383,0.6292,0.6292,0.0004999999999999449
2004-06-17,0.6292,0.6292,0.6224,0.6224,0.0005499999999999394
2004-06-18,0.6224,0.6272,0.6224,0.6272,0.0007999999999999674
2004-06-21,0.6272,0.6288,0.6272,0.6288,0.0007000000000000339
2004-06-22,0.6288,0.6288,0.6283,0.6283,0.00045000000000000595
2004-06-23,0.6283,0.6283,0.6245,0.6245,0.0005000000000000004
2004-06-24,0.6245,0.6351,0.6245,0.6351,0.0005000000000000004
2004-06-25,0.6351,0.6362,0.6351,0.6362,0.0007499999999999729
2004-06-28,0.6362,0.6412,0.6362,0.6412,0.0006999999999999784
2004-06-29,0.6412,0.6412,0.6311,0.6311,0.00039999999999995595
2004-06-30,0.6311,0.6365,0.6311,0.6365,0.00039999999999995595
2004-07-01,0.6365,0.6411,0.6365,0.6411,0.00039999999999995595
2004-07-02,0.6411,0.6478,0.6411,0.6478,0.0006999999999999784
2004-07-05,0.6478,0.6478,0.6475,0.6475,0.0007499999999999729
2004-07-06,0.6475,0.6496,0.6475,0.6496,0.0004999999999999449
2004-07-07,0.6496,0.6569,0.6496,0.6569,0.00045000000000000595
2004-07-08,0.6569,0.6569,0.6563,0.6563,0.00045000000000000595
2004-07-09,0.6563,0.6575,0.6563,0.6575,0.0007499999999999729
2004-07-12,0.6575,0.6611,0.6575,0.6611,0.0007500000000000284
2004-07-13,0.6611,0.6611,0.6571,0.6571,0.000500000000000056
2004-07-14,0.6571,0.6571,0.6525,0.6525,0.00045000000000000595
2004-07-15,0.6525,0.6525,0.6508,0.6508,0.00040000000000001146
2004-07-16,0.6508,0.6597,0.6508,0.6597,0.0007000000000000339
2004-07-19,0.6597,0.6597,0.656,0.656,0.0007500000000000284
2004-07-20,0.656,0.656,0.6544,0.6544,0.0005000000000000004
2004-07-21,0.6544,0.6544,0.6404,0.6404,0.0004999999999999449
2004-07-22,0.6404,0.6421,0.6404,0.6421,0.00044999999999995044
2004-07-23,0.6421,0.6421,0.6359,0.6359,0.0006999999999999784
2004-07-26,0.6359,0.6363,0.6359,0.6363,0.0007499999999999729
2004-07-27,0.6363,0.6363,0.6277,0.6277,0.0005000000000000004
2004-07-28,0.6277,0.6292,0.6277,0.6292,0.0005000000000000004
2004-07-29,0.6292,0.6338,0.6292,0.6338,0.00045000000000000595
2004-07-30,0.6338,0.6374,0.6338,0.6374,0.0007000000000000339
2004-08-02,0.6374,0.6402,0.6374,0.6402,0.0007499999999999729
2004-08-03,0.6402,0.6472,0.6402,0.6472,0.0004999999999999449
2004-08-04,0.6472,0.6472,0.6454,0.6454,0.00044999999999995044
2004-08-05,0.6454,0.6454,0.644,0.644,0.00045000000000000595
2004-08-06,0.644,0.6526,0.644,0.6526,0.0007500000000000284
2004-08-09,0.6526,0.6531,0.6526,0.6531,0.0007500000000000284
2004-08-10,0.6531,0.6531,0.6529,0.6529,0.000500000000000056
2004-08-11,0.6529,0.6552,0.6529,0.6552,0.000500000000000056
2004-08-12,0.6552,0.6586,0.6552,0.6586,0.0005000000000000004
2004-08-13,0.6586,0.6669,0.6586,0.6669,0.0007499999999999729
2004-08-16,0.6669,0.6669,0.6651,0.6651,0.0007500000000000284
2004-08-17,0.6651,0.6651,0.6641,0.6641,0.000500000000000056
2004-08-18,0.6641,0.6646,0.6641,0.6646,0.0005000000000000004
2004-08-19,0.6646,0.6719,0.6646,0.6719,0.0005000000000000004
2004-08-20,0.6719,0.673,0.6719,0.673,0.0007500000000000284
2004-08-23,0.673,0.673,0.6619,0.6619,0.0007500000000000284
2004-08-24,0.6619,0.6619,0.6481,0.6481,0.000500000000000056
2004-08-25,0.6481,0.6496,0.6481,0.6496,0.0005000000000000004
2004-08-26,0.6496,0.6517,0.6496,0.6517,0.00044999999999995044
2004-08-27,0.6517,0.6537,0.6517,0.6537,0.0006999999999999784
2004-08-30,0.6537,0.6537,0.6507,0.6507,0.0007499999999999729
2004-08-31,0.6507,0.6556,0.6507,0.6556,0.00044999999999995044
2004-09-01,0.6556,0.6558,0.6556,0.6558,0.00045000000000000595
2004-09-02,0.6558,0.6558,0.6489,0.6489,0.00045000000000006146
2004-09-03,0.6489,0.6489,0.6465,0.6465,0.0007000000000000339
2004-09-06,0.6465,0.6498,0.6465,0.6498,0.0007500000000000284
2004-09-07,0.6498,0.6498,0.6477,0.6477,0.000500000000000056
2004-09-08,0.6477,0.6499,0.6477,0.6499,0.000500000000000056
2004-09-09,0.6499,0.6528,0.6499,0.6528,0.000500000000000056
2004-09-10,0.6528,0.6553,0.6528,0.6553,0.0007500000000000284
2004-09-13,0.6553,0.6574,0.6553,0.6574,0.0007499999999999729
2004-09-14,0.6574,0.6621,0.6574,0.6621,0.0005000000000000004
