Date,Open,High,Low,Close,Spread
2004-05-31,1.2527,1.2543,1.2527,1.2543,0.0007499999999999174
2004-06-01,1.2543,1.2543,1.2465,1.2465,0.00039999999999995595
2004-06-02,1.2465,1.2503,1.2465,1.2503,0.00029999999999996696
2004-06-03,1.2503,1.2503,1.2502,1.2502,0.00029999999999996696
2004-06-04,1.2502,1.2502,1.24,1.24,0.0006499999999999284
2004-06-07,1.24,1.24,1.2372,1.2372,0.0006499999999999284
2004-06-08,1.2372,1.238,1.2372,1.238,0.00029999999999996696
2004-06-09,1.238,1.2545,1.238,1.2545,0.00029999999999996696
2004-06-10,1.2545,1.2545,1.2457,1.2457,0.00034999999999996145
2004-06-11,1.2457,1.2603,1.2457,1.2603,0.0006999999999999229
2004-06-14,1.2603,1.2603,1.2564,1.2564,0.0006499999999999284
2004-06-15,1.2564,1.2564,1.2497,1.2497,0.00029999999999996696
2004-06-16,1.2497,1.2666,1.2497,1.2666,0.00029999999999996696
2004-06-17,1.2666,1.2666,1.2526,1.2526,0.00034999999999996145
2004-06-18,1.2526,1.2526,1.2453,1.2453,0.0007000000000000339
2004-06-21,1.2453,1.2464,1.2453,1.2464,0.0006500000000000394
2004-06-22,1.2464,1.25,1.2464,1.25,0.00029999999999996696
2004-06-23,1.25,1.2532,1.25,1.2532,0.000300000000000078
2004-06-24,1.2532,1.2532,1.2449,1.2449,0.000300000000000078
2004-06-25,1.2449,1.2472,1.2449,1.2472,0.0006500000000000394
2004-06-28,1.2472,1.2495,1.2472,1.2495,0.0006500000000000394
2004-06-29,1.2495,1.2663,1.2495,1.2663,0.00034999999999996145
2004-06-30,1.2663,1.2663,1.2487,1.2487,0.00034999999999996145
2004-07-01,1.2487,1.2493,1.2487,1.2493,0.00029999999999996696
2004-07-02,1.2493,1.2493,1.2338,1.2338,0.0006500000000000394
2004-07-05,1.2338,1.2363,1.2338,1.2363,0.0007000000000000339
2004-07-06,1.2363,1.2371,1.2363,1.2371,0.0003500000000000725
2004-07-07,1.2371,1.2371,1.2269,1.2269,0.000300000000000189
2004-07-08,1.2269,1.2269,1.2258,1.2258,0.000300000000000078
2004-07-09,1.2258,1.2258,1.2234,1.2234,0.0006500000000000394
2004-07-12,1.2234,1.225,1.2234,1.225,0.0006500000000001505
2004-07-13,1.225,1.2363,1.225,1.2363,0.000300000000000078
2004-07-14,1.2363,1.2363,1.2297,1.2297,0.00034999999999996145
2004-07-15,1.2297,1.2367,1.2297,1.2367,0.00039999999999995595
2004-07-16,1.2367,1.2367,1.2257,1.2257,0.0007000000000000339
2004-07-19,1.2257,1.2279,1.2257,1.2279,0.0006500000000000394
2004-07-20,1.2279,1.2445,1.2279,1.2445,0.00029999999999996696
2004-07-21,1.2445,1.25,1.2445,1.25,0.00029999999999996696
2004-07-22,1.25,1.25,1.2487,1.2487,0.00029999999999996696
2004-07-23,1.2487,1.2679,1.2487,1.2679,0.0006500000000000394
2004-07-26,1.2679,1.2679,1.2649,1.2649,0.0006500000000000394
2004-07-27,1.2649,1.2758,1.2649,1.2758,0.00034999999999996145
2004-07-28,1.2758,1.2758,1.2754,1.2754,0.0003500000000000725
2004-07-29,1.2754,1.2804,1.2754,1.2804,0.000300000000000078
2004-07-30,1.2804,1.2823,1.2804,1.2823,0.0006499999999999284
2004-08-02,1.2823,1.2823,1.2795,1.2795,0.0007000000000000339
2004-08-03,1.2795,1.2795,1.2782,1.2782,0.00040000000000006697
2004-08-04,1.2782,1.2782,1.2765,1.2765,0.00039999999999995595
2004-08-05,1.2765,1.2765,1.2759,1.2759,0.00034999999999996145
2004-08-06,1.2759,1.2759,1.2512,1.2512,0.0006500000000000394
2004-08-09,1.2512,1.2543,1.2512,1.2543,0.0007000000000000339
2004-08-10,1.2543,1.2622,1.2543,1.2622,0.00039999999999995595
2004-08-11,1.2622,1.2622,1.2617,1.2617,0.00039999999999995595
2004-08-12,1.2617,1.2617,1.2563,1.2563,0.00034999999999996145
2004-08-13,1.2563,1.2563,1.2389,1.2389,0.0006499999999999284
2004-08-16,1.2389,1.2407,1.2389,1.2407,0.0006999999999999229
2004-08-17,1.2407,1.2437,1.2407,1.2437,0.00039999999999995595
2004-08-18,1.2437,1.2445,1.2437,1.2445,0.00034999999999996145
2004-08-19,1.2445,1.2445,1.2436,1.2436,0.00034999999999996145
2004-08-20,1.2436,1.2509,1.2436,1.2509,0.0006999999999999229
