Date,Open,High,Low,Close,Spread
2004-05-31,0.7141,0.7151,0.7141,0.7151,0.0006500000000000394
2004-06-01,0.7151,0.7151,0.7075,0.7075,0.000250000000000028
2004-06-02,0.7075,0.7075,0.6959,0.6959,0.000250000000000028
2004-06-03,0.6959,0.6959,0.6886,0.6886,0.000250000000000028
2004-06-04,0.6886,0.6951,0.6886,0.6951,0.0005999999999999894
2004-06-07,0.6951,0.7071,0.6951,0.7071,0.0006000000000000449
2004-06-08,0.7071,0.7071,0.7007,0.7007,0.000250000000000028
2004-06-09,0.7007,0.7007,0.69,0.69,0.00030000000000002247
2004-06-10,0.69,0.697,0.69,0.697,0.0003500000000000725
2004-06-11,0.697,0.697,0.6914,0.6914,0.0007000000000000339
2004-06-14,0.6914,0.6914,0.6874,0.6874,0.0006499999999999839
2004-06-15,0.6874,0.6975,0.6874,0.6975,0.00029999999999996696
2004-06-16,0.6975,0.6975,0.6894,0.6894,0.00029999999999996696
2004-06-17,0.6894,0.6894,0.6819,0.6819,0.00030000000000002247
2004-06-18,0.6819,0.6883,0.6819,0.6883,0.0006500000000000394
2004-06-21,0.6883,0.6901,0.6883,0.6901,0.0005999999999999894
2004-06-22,0.6901,0.6901,0.6876,0.6876,0.00019999999999997797
2004-06-23,0.6876,0.6879,0.6876,0.6879,0.00020000000000003348
2004-06-24,0.6879,0.6996,0.6879,0.6996,0.00020000000000003348
2004-06-25,0.6996,0.7002,0.6996,0.7002,0.0005999999999999894
2004-06-28,0.7002,0.7002,0.6994,0.6994,0.0005999999999999894
2004-06-29,0.6994,0.6994,0.6901,0.6901,0.00019999999999997797
2004-06-30,0.6901,0.6992,0.6901,0.6992,0.00019999999999997797
2004-07-01,0.6992,0.7048,0.6992,0.7048,0.00019999999999997797
2004-07-02,0.7048,0.7129,0.7048,0.7129,0.0005999999999999894
2004-07-05,0.7129,0.7129,0.7116,0.7116,0.0006499999999999839
2004-07-06,0.7116,0.713,0.7116,0.713,0.00024999999999997247
2004-07-07,0.713,0.7231,0.713,0.7231,0.000250000000000028
2004-07-08,0.7231,0.7231,0.7197,0.7197,0.000250000000000028
2004-07-09,0.7197,0.7216,0.7197,0.7216,0.0005999999999999894
2004-07-12,0.7216,0.7273,0.7216,0.7273,0.0006000000000000449
2004-07-13,0.7273,0.7273,0.7248,0.7248,0.000250000000000028
2004-07-14,0.7248,0.7248,0.7236,0.7236,0.00024999999999997247
2004-07-15,0.7236,0.7236,0.7226,0.7226,0.00019999999999997797
2004-07-16,0.7226,0.7317,0.7226,0.7317,0.0005999999999999894
2004-07-19,0.7317,0.732,0.7317,0.732,0.0005999999999999894
2004-07-20,0.732,0.732,0.7275,0.7275,0.00019999999999997797
2004-07-21,0.7275,0.7275,0.7152,0.7152,0.00020000000000003348
2004-07-22,0.7152,0.7152,0.7148,0.7148,0.00020000000000003348
2004-07-23,0.7148,0.7148,0.7089,0.7089,0.0005999999999999894
2004-07-26,0.7089,0.7092,0.7089,0.7092,0.0005999999999999894
2004-07-27,0.7092,0.7092,0.6993,0.6993,0.00024999999999997247
2004-07-28,0.6993,0.6997,0.6993,0.6997,0.00029999999999996696
2004-07-29,0.6997,0.6997,0.6994,0.6994,0.00024999999999997247
2004-07-30,0.6994,0.7023,0.6994,0.7023,0.0005999999999999894
2004-08-02,0.7023,0.7033,0.7023,0.7033,0.0006499999999999839
2004-08-03,0.7033,0.707,0.7033,0.707,0.00030000000000002247
2004-08-04,0.707,0.707,0.7039,0.7039,0.000250000000000028
2004-08-05,0.7039,0.7039,0.7034,0.7034,0.00019999999999997797
2004-08-06,0.7034,0.7132,0.7034,0.7132,0.0005999999999999894
2004-08-09,0.7132,0.7153,0.7132,0.7153,0.0006499999999999839
2004-08-10,0.7153,0.7153,0.7131,0.7131,0.00030000000000002247
2004-08-11,0.7131,0.715,0.7131,0.715,0.000300000000000078
2004-08-12,0.715,0.715,0.7146,0.7146,0.000250000000000028
2004-08-13,0.7146,0.7165,0.7146,0.7165,0.0005999999999999894
2004-08-16,0.7165,0.7181,0.7165,0.7181,0.0006500000000000394
2004-08-17,0.7181,0.7181,0.7155,0.7155,0.00030000000000002247
2004-08-18,0.7155,0.7157,0.7155,0.7157,0.00024999999999997247
2004-08-19,0.7157,0.7246,0.7157,0.7246,0.00024999999999997247
2004-08-20,0.7246,0.7246,0.7234,0.7234,0.0006499999999999839
2004-08-23,0.7234,0.7234,0.7134,0.7134,0.0006499999999999839
2004-08-24,0.7134,0.7134,0.7045,0.7045,0.00024999999999997247
2004-08-25,0.7045,0.7057,0.7045,0.7057,0.00019999999999997797
2004-08-26,0.7057,0.7057,0.7035,0.7035,0.00019999999999997797
2004-08-27,0.7035,0.7035,0.7022,0.7022,0.0005999999999999894
2004-08-30,0.7022,0.7022,0.6996,0.6996,0.0005999999999999894
2004-08-31,0.6996,0.7041,0.6996,0.7041,0.00020000000000003348
2004-09-01,0.7041,0.7041,0.7033,0.7033,0.000250000000000028
2004-09-02,0.7033,0.7033,0.6974,0.6974,0.00029999999999996696
2004-09-03,0.6974,0.6974,0.6908,0.6908,0.0006499999999999839
2004-09-06,0.6908,0.6923,0.6908,0.6923,0.0005999999999999894
2004-09-07,0.6923,0.6945,0.6923,0.6945,0.00019999999999997797
2004-09-08,0.6945,0.6964,0.6945,0.6964,0.00019999999999997797
2004-09-09,0.6964,0.6964,0.6883,0.6883,0.00019999999999997797
2004-09-10,0.6883,0.6948,0.6883,0.6948,0.0005999999999999894
2004-09-13,0.6948,0.6963,0.6948,0.6963,0.0005999999999999894
2004-09-14,0.6963,0.7019,0.6963,0.7019,0.00019999999999997797
2004-09-15,0.7019,0.7019,0.6954,0.6954,0.00019999999999997797
2004-09-16,0.6954,0.6989,0.6954,0.6989,0.000250000000000028
2004-09-17,0.6989,0.6989,0.6975,0.6975,0.0006500000000000394
2004-09-20,0.6975,0.7011,0.6975,0.7011,0.0006000000000000449
2004-09-21,0.7011,0.7033,0.7011,0.7033,0.00020000000000003348
2004-09-22,0.7033,0.7067,0.7033,0.7067,0.00019999999999997797
2004-09-23,0.7067,0.7134,0.7067,0.7134,0.00019999999999997797
2004-09-24,0.7134,0.714,0.7134,0.714,0.0005999999999999894
2004-09-27,0.714,0.714,0.7135,0.7135,0.0005999999999999894
2004-09-28,0.7135,0.7177,0.7135,0.7177,0.00019999999999997797
2004-09-29,0.7177,0.7177,0.7169,0.7169,0.00019999999999997797
2004-09-30,0.7169,0.7276,0.7169,0.7276,0.00019999999999997797
2004-10-01,0.7276,0.7276,0.7255,0.7255,0.0005999999999999894
2004-10-04,0.7255,0.7255,0.7215,0.7215,0.0005999999999999894
2004-10-05,0.7215,0.7243,0.7215,0.7243,0.00019999999999997797
2004-10-06,0.7243,0.7243,0.7239,0.7239,0.00019999999999997797
2004-10-07,0.7239,0.728,0.7239,0.728,0.00019999999999997797
2004-10-08,0.728,0.7344,0.728,0.7344,0.0005999999999999894
2004-10-11,0.7344,0.7344,0.7328,0.7328,0.0006499999999999839
2004-10-12,0.7328,0.7328,0.7306,0.7306,0.00024999999999997247
2004-10-13,0.7306,0.7306,0.726,0.726,0.00019999999999997797
2004-10-14,0.726,0.7285,0.726,0.7285,0.00024999999999997247
2004-10-15,0.7285,0.7308,0.7285,0.7308,0.0006499999999999839
2004-10-18,0.7308,0.7308,0.7252,0.7252,0.0006000000000000449
2004-10-19,0.7252,0.7269,0.7252,0.7269,0.00020000000000003348
2004-10-20,0.7269,0.7348,0.7269,0.7348,0.00019999999999997797
2004-10-21,0.7348,0.7372,0.7348,0.7372,0.00020000000000003348
2004-10-25,0.7372,0.7466,0.7372,0.7466,0.00020000000000003348
2004-10-26,0.7466,0.7466,0.7463,0.7463,0.00020000000000003348
2004-10-27,0.7463,0.7463,0.7448,0.7448,0.00020000000000003348
2004-10-28,0.7448,0.7466,0.7448,0.7466,0.00019999999999997797
2004-11-01,0.7466,0.7467,0.7466,0.7467,0.00019999999999997797
2004-11-02,0.7467,0.7473,0.7467,0.7473,0.00020000000000003348
2004-11-03,0.7473,0.7555,0.7473,0.7555,0.000200000000000089
2004-11-04,0.7555,0.7573,0.7555,0.7573,0.00020000000000003348
2004-11-05,0.7573,0.7622,0.7573,0.7622,0.0005999999999999894
2004-11-08,0.7622,0.7622,0.7572,0.7572,0.0005999999999999894
2004-11-09,0.7572,0.7612,0.7572,0.7612,0.00019999999999997797
2004-11-10,0.7612,0.7612,0.7595,0.7595,0.00020000000000003348
2004-11-11,0.7595,0.7646,0.7595,0.7646,0.000200000000000089
2004-11-12,0.7646,0.7692,0.7646,0.7692,0.0006000000000000449
2004-11-15,0.7692,0.7733,0.7692,0.7733,0.0005999999999999894
2004-11-16,0.7733,0.7733,0.7725,0.7725,0.00020000000000003348
2004-11-17,0.7725,0.7817,0.7725,0.7817,0.000200000000000089
2004-11-18,0.7817,0.7817,0.7781,0.7781,0.00020000000000003348
2004-11-19,0.7781,0.7831,0.7781,0.7831,0.0005999999999999894
2004-11-22,0.7831,0.7831,0.7825,0.7825,0.0005999999999999894
2004-11-23,0.7825,0.7856,0.7825,0.7856,0.00020000000000003348
2004-11-24,0.7856,0.788,0.7856,0.788,0.00020000000000003348
2004-11-25,0.788,0.7912,0.788,0.7912,0.00024999999999997247
2004-11-26,0.7912,0.7912,0.7902,0.7902,0.0006499999999999839
2004-11-29,0.7902,0.7902,0.784,0.784,0.0005999999999999894
2004-11-30,0.784,0.784,0.772,0.772,0.00019999999999997797
2004-12-01,0.772,0.7769,0.772,0.7769,0.00019999999999997797
2004-12-02,0.7769,0.7769,0.7749,0.7749,0.00019999999999997797
2004-12-03,0.7749,0.7811,0.7749,0.7811,0.0005999999999999894
2004-12-06,0.7811,0.7811,0.7729,0.7729,0.0005999999999999894
2004-12-07,0.7729,0.7745,0.7729,0.7745,0.000250000000000028
2004-12-08,0.7745,0.7745,0.7577,0.7577,0.000250000000000028
2004-12-09,0.7577,0.7577,0.7542,0.7542,0.00019999999999997797
