Date,Open,High,Low,Close,Spread
2004-05-31,80.4,80.4,80.4,80.4,0.05999999999998806
2004-06-01,80.4,80.82,80.4,80.82,0.04999999999999716
2004-06-02,80.82,80.82,80.7,80.7,0.03999999999999915
2004-06-03,80.7,81.28,80.7,81.28,0.03999999999999204
2004-06-04,81.28,82.2,81.28,82.2,0.06999999999999318
2004-06-07,82.2,82.2,81.32,81.32,0.07000000000000028
2004-06-08,81.32,81.32,81.23,81.23,0.03999999999999915
2004-06-09,81.23,81.23,81.2,81.2,0.03999999999999204
2004-06-10,81.2,81.2,80.35,80.35,0.03999999999999915
2004-06-11,80.35,80.67,80.35,80.67,0.07000000000000028
2004-06-14,80.67,80.73,80.67,80.73,0.06999999999999318
2004-06-15,80.73,80.73,80.01,80.01,0.03999999999999204
2004-06-16,80.01,80.16,80.01,80.16,0.03999999999999915
2004-06-17,80.16,80.16,79.93,79.93,0.03999999999999915
2004-06-18,79.93,79.93,79.84,79.84,0.06999999999999318
2004-06-21,79.84,79.84,79.76,79.76,0.06999999999999318
2004-06-22,79.76,80.46,79.76,80.46,0.03999999999999915
2004-06-23,80.46,80.46,79.76,79.76,0.03999999999999915
2004-06-24,79.76,79.76,79.64,79.64,0.03999999999999915
2004-06-25,79.64,79.64,79.64,79.64,0.07000000000000028
2004-06-28,79.64,80.02,79.64,80.02,0.07000000000000028
2004-06-29,80.02,80.47,80.02,80.47,0.04000000000000625
2004-06-30,80.47,81.58,80.47,81.58,0.05000000000000426
2004-07-01,81.58,81.58,81.31,81.31,0.04999999999999716
2004-07-02,81.31,81.76,81.31,81.76,0.06999999999999318
2004-07-05,81.76,82.24,81.76,82.24,0.07000000000000028
2004-07-06,82.24,82.42,82.24,82.42,0.03999999999999915
2004-07-07,82.42,82.42,82.26,82.26,0.03999999999999204
2004-07-08,82.26,82.66,82.26,82.66,0.03999999999999915
2004-07-09,82.66,82.66,82.01,82.01,0.07000000000000028
2004-07-12,82.01,82.16,82.01,82.16,0.07000000000000028
2004-07-13,82.16,82.4,82.16,82.4,0.03999999999999915
2004-07-14,82.4,82.53,82.4,82.53,0.03999999999999204
2004-07-15,82.53,82.94,82.53,82.94,0.03999999999999915
2004-07-16,82.94,82.94,82.83,82.83,0.07000000000000739
2004-07-19,82.83,82.83,82.75,82.75,0.07000000000000739
2004-07-20,82.75,82.75,82.71,82.71,0.04000000000000625
2004-07-21,82.71,83.08,82.71,83.08,0.04000000000000625
2004-07-22,83.08,83.31,83.08,83.31,0.05000000000000426
2004-07-23,83.31,83.35,83.31,83.35,0.0800000000000054
2004-07-26,83.35,83.35,82.47,82.47,0.07000000000000739
2004-07-27,82.47,83.29,82.47,83.29,0.03999999999999915
2004-07-28,83.29,84.03,83.29,84.03,0.03999999999999204
2004-07-29,84.03,84.54,84.03,84.54,0.03999999999999204
2004-07-30,84.54,84.54,83.59,83.59,0.06999999999999318
2004-08-02,83.59,83.59,83.09,83.09,0.06999999999999318
2004-08-03,83.09,83.9,83.09,83.9,0.03999999999999204
2004-08-04,83.9,84.42,83.9,84.42,0.03999999999999204
2004-08-05,84.42,84.78,84.42,84.78,0.03999999999999204
2004-08-06,84.78,84.78,84.12,84.12,0.06999999999999318
2004-08-09,84.12,84.12,83.94,83.94,0.07000000000000028
2004-08-10,83.94,84.25,83.94,84.25,0.045000000000001705
2004-08-11,84.25,84.25,83.72,83.72,0.045000000000001705
2004-08-12,83.72,83.72,83.28,83.28,0.03999999999999915
2004-08-13,83.28,84.51,83.28,84.51,0.06999999999999318
2004-08-16,84.51,84.53,84.51,84.53,0.06999999999999318
2004-08-17,84.53,84.53,84.15,84.15,0.03999999999999204
2004-08-18,84.15,84.15,83.83,83.83,0.03999999999999915
2004-08-19,83.83,84.29,83.83,84.29,0.03999999999999915
2004-08-20,84.29,84.29,84.0,84.0,0.06999999999999318
2004-08-23,84.0,84.0,84.0,84.0,0.07000000000000028
2004-08-24,84.0,84.0,83.87,83.87,0.03999999999999915
2004-08-25,83.87,84.42,83.87,84.42,0.03999999999999204
2004-08-26,84.42,84.42,83.87,83.87,0.03999999999999204
2004-08-27,83.87,83.87,83.48,83.48,0.06999999999999318
2004-08-30,83.48,83.48,83.34,83.34,0.06999999999999318
2004-08-31,83.34,83.34,83.14,83.14,0.03999999999999915
2004-09-01,83.14,83.76,83.14,83.76,0.03999999999999915
2004-09-02,83.76,84.22,83.76,84.22,0.03999999999999915
2004-09-03,84.22,84.92,84.22,84.92,0.07000000000000028
2004-09-06,84.92,84.92,84.8,84.8,0.07000000000000028
2004-09-07,84.8,84.93,84.8,84.93,0.03999999999999915
2004-09-08,84.93,84.93,84.74,84.74,0.03999999999999915
2004-09-09,84.74,85.09,84.74,85.09,0.03999999999999915
2004-09-10,85.09,85.09,84.87,84.87,0.06999999999999318
2004-09-13,84.87,84.87,84.54,84.54,0.06999999999999318
2004-09-14,84.54,84.77,84.54,84.77,0.03999999999999915
2004-09-15,84.77,84.85,84.77,84.85,0.04000000000000625
2004-09-16,84.85,84.89,84.85,84.89,0.04000000000000625
2004-09-17,84.89,84.89,84.58,84.58,0.07000000000000739
2004-09-20,84.58,84.87,84.58,84.87,0.07000000000000028
2004-09-21,84.87,85.16,84.87,85.16,0.03999999999999915
2004-09-22,85.16,86.26,85.16,86.26,0.03999999999999915
2004-09-23,86.26,86.55,86.26,86.55,0.03999999999999915
2004-09-24,86.55,86.78,86.55,86.78,0.07000000000000028
2004-09-27,86.78,87.43,86.78,87.43,0.06999999999999318
2004-09-28,87.43,87.57,87.43,87.57,0.03999999999999915
2004-09-29,87.57,87.57,87.24,87.24,0.04000000000000625
2004-09-30,87.24,87.24,87.24,87.24,0.04000000000000625
