Date,Open,High,Low,Close,Spread
2004-05-31,1.7034,1.7034,1.7034,1.7034,0.0009999999999998899
2004-06-01,1.7034,1.7303,1.7034,1.7303,0.0010000000000000009
2004-06-02,1.7303,1.7544,1.7303,1.7544,0.001000000000000112
2004-06-03,1.7544,1.7747,1.7544,1.7747,0.001000000000000112
2004-06-04,1.7747,1.7747,1.7644,1.7644,0.002000000000000113
2004-06-07,1.7644,1.7644,1.7419,1.7419,0.0020000000000000018
2004-06-08,1.7419,1.7502,1.7419,1.7502,0.0010000000000000009
2004-06-09,1.7502,1.7502,1.7454,1.7454,0.0010000000000000009
2004-06-10,1.7454,1.7454,1.7357,1.7357,0.0009999999999998899
2004-06-11,1.7357,1.7357,1.7336,1.7336,0.0019999999999998908
2004-06-14,1.7336,1.7535,1.7336,1.7535,0.0019999999999998908
2004-06-15,1.7535,1.7535,1.7432,1.7432,0.0009999999999998899
2004-06-16,1.7432,1.7432,1.7418,1.7418,0.0009999999999998899
2004-06-17,1.7418,1.7664,1.7418,1.7664,0.0010499999999999954
2004-06-18,1.7664,1.7664,1.7607,1.7607,0.0020500000000001073
2004-06-21,1.7607,1.7607,1.7548,1.7548,0.002000000000000113
2004-06-22,1.7548,1.7601,1.7548,1.7601,0.001000000000000112
2004-06-23,1.7601,1.7601,1.7573,1.7573,0.0010000000000000009
2004-06-24,1.7573,1.7573,1.7387,1.7387,0.0010499999999999954
2004-06-25,1.7387,1.7387,1.7366,1.7366,0.0020500000000001073
2004-06-28,1.7366,1.7415,1.7366,1.7415,0.0020000000000000018
2004-06-29,1.7415,1.75,1.7415,1.75,0.0010499999999999954
2004-06-30,1.75,1.75,1.744,1.744,0.0010500000000001064
2004-07-01,1.744,1.744,1.7244,1.7244,0.001000000000000112
2004-07-02,1.7244,1.7249,1.7244,1.7249,0.0020000000000000018
2004-07-05,1.7249,1.7263,1.7249,1.7263,0.0020000000000000018
2004-07-06,1.7263,1.7263,1.722,1.722,0.001000000000000112
2004-07-07,1.722,1.722,1.7102,1.7102,0.0011500000000000954
2004-07-08,1.7102,1.7198,1.7102,1.7198,0.0012000000000000899
2004-07-09,1.7198,1.7198,1.7178,1.7178,0.0020500000000001073
2004-07-12,1.7178,1.7178,1.7052,1.7052,0.0020000000000000018
2004-07-13,1.7052,1.7052,1.6999,1.6999,0.0010499999999999954
2004-07-14,1.6999,1.7103,1.6999,1.7103,0.0010500000000001064
2004-07-15,1.7103,1.7103,1.7088,1.7088,0.0010999999999999899
2004-07-16,1.7088,1.7088,1.699,1.699,0.0020999999999998797
2004-07-19,1.699,1.6993,1.699,1.6993,0.0019999999999998908
2004-07-20,1.6993,1.6993,1.694,1.694,0.0010000000000000009
2004-07-21,1.694,1.7134,1.694,1.7134,0.0010499999999999954
2004-07-22,1.7134,1.7141,1.7134,1.7141,0.0010499999999999954
2004-07-23,1.7141,1.7141,1.7031,1.7031,0.0020000000000000018
2004-07-26,1.7031,1.7114,1.7031,1.7114,0.0019999999999998908
2004-07-27,1.7114,1.7237,1.7114,1.7237,0.0009999999999998899
2004-07-28,1.7237,1.7237,1.7222,1.7222,0.0010000000000000009
2004-07-29,1.7222,1.7222,1.7215,1.7215,0.0010000000000000009
2004-07-30,1.7215,1.7215,1.7087,1.7087,0.0019999999999998908
2004-08-02,1.7087,1.7092,1.7087,1.7092,0.0020499999999998852
2004-08-03,1.7092,1.7092,1.7052,1.7052,0.0010999999999998789
2004-08-04,1.7052,1.7114,1.7052,1.7114,0.0010999999999998789
2004-08-05,1.7114,1.7128,1.7114,1.7128,0.0010499999999998844
2004-08-06,1.7128,1.7192,1.7128,1.7192,0.0019999999999998908
2004-08-09,1.7192,1.7192,1.7149,1.7149,0.0020499999999998852
2004-08-10,1.7149,1.7153,1.7149,1.7153,0.0010999999999998789
2004-08-11,1.7153,1.7153,1.7079,1.7079,0.0010999999999999899
2004-08-12,1.7079,1.7138,1.7079,1.7138,0.001100000000000101
2004-08-13,1.7138,1.7244,1.7138,1.7244,0.0020500000000001073
2004-08-16,1.7244,1.7244,1.7208,1.7208,0.0020499999999999963
2004-08-17,1.7208,1.7261,1.7208,1.7261,0.0010999999999999899
2004-08-18,1.7261,1.7261,1.7226,1.7226,0.001100000000000101
2004-08-19,1.7226,1.7226,1.7055,1.7055,0.0010999999999999899
2004-08-20,1.7055,1.7055,1.7006,1.7006,0.0020499999999999963
2004-08-23,1.7006,1.7011,1.7006,1.7011,0.0020999999999999908
2004-08-24,1.7011,1.714,1.7011,1.714,0.0010999999999999899
2004-08-25,1.714,1.714,1.7113,1.7113,0.0010999999999999899
2004-08-26,1.7113,1.7196,1.7113,1.7196,0.0010999999999998789
2004-08-27,1.7196,1.7196,1.7083,1.7083,0.0020000000000000018
2004-08-30,1.7083,1.721,1.7083,1.721,0.0020000000000000018
2004-08-31,1.721,1.7296,1.721,1.7296,0.0009999999999998899
2004-09-01,1.7296,1.7322,1.7296,1.7322,0.0010999999999999899
2004-09-02,1.7322,1.7448,1.7322,1.7448,0.0012000000000000899
2004-09-03,1.7448,1.7448,1.7429,1.7429,0.002100000000000102
2004-09-06,1.7429,1.7429,1.7416,1.7416,0.0020999999999999908
2004-09-07,1.7416,1.7425,1.7416,1.7425,0.0011999999999999789
2004-09-08,1.7425,1.7486,1.7425,1.7486,0.0012000000000000899
2004-09-09,1.7486,1.7733,1.7486,1.7733,0.0011999999999999789
2004-09-10,1.7733,1.7733,1.762,1.762,0.0020999999999998797
2004-09-13,1.762,1.762,1.7602,1.7602,0.0020499999999999963
2004-09-14,1.7602,1.7602,1.745,1.745,0.0010999999999999899
2004-09-15,1.745,1.7466,1.745,1.7466,0.0011499999999999844
2004-09-16,1.7466,1.7466,1.7423,1.7423,0.001100000000000101
2004-09-17,1.7423,1.7446,1.7423,1.7446,0.002000000000000113
2004-09-20,1.7446,1.7446,1.7362,1.7362,0.0020500000000001073
2004-09-21,1.7362,1.753,1.7362,1.753,0.0011500000000000954
2004-09-22,1.753,1.753,1.7354,1.7354,0.0010999999999999899
2004-09-23,1.7354,1.7354,1.7194,1.7194,0.0010499999999998844
2004-09-24,1.7194,1.7194,1.7164,1.7164,0.0020499999999999963
2004-09-27,1.7164,1.7221,1.7164,1.7221,0.002000000000000113
2004-09-28,1.7221,1.7221,1.7166,1.7166,0.001000000000000112
2004-09-29,1.7166,1.7192,1.7166,1.7192,0.0010999999999999899
2004-09-30,1.7192,1.7192,1.7084,1.7084,0.0011499999999999844
2004-10-01,1.7084,1.7085,1.7084,1.7085,0.0020500000000001073
2004-10-04,1.7085,1.7085,1.7022,1.7022,0.002000000000000113
2004-10-05,1.7022,1.7022,1.699,1.699,0.0010000000000000009
2004-10-06,1.699,1.699,1.6966,1.6966,0.0010499999999998844
2004-10-07,1.6966,1.6966,1.6866,1.6866,0.0011499999999998733
2004-10-08,1.6866,1.687,1.6866,1.687,0.0020999999999998797
2004-10-11,1.687,1.6896,1.687,1.6896,0.0020999999999999908
2004-10-12,1.6896,1.6896,1.6868,1.6868,0.0010999999999999899
2004-10-13,1.6868,1.6997,1.6868,1.6997,0.0010499999999999954
2004-10-14,1.6997,1.7,1.6997,1.7,0.001100000000000101
2004-10-15,1.7,1.7032,1.7,1.7032,0.0020499999999999963
2004-10-18,1.7032,1.7221,1.7032,1.7221,0.0020000000000000018
2004-10-19,1.7221,1.7221,1.7207,1.7207,0.001000000000000112
2004-10-20,1.7207,1.7207,1.7127,1.7127,0.001000000000000112
2004-10-21,1.7127,1.7127,1.7105,1.7105,0.0010500000000001064
2004-10-25,1.7105,1.7146,1.7105,1.7146,0.0010500000000001064
2004-10-26,1.7146,1.7146,1.7102,1.7102,0.001000000000000112
2004-10-27,1.7102,1.7102,1.7065,1.7065,0.0010500000000001064
2004-10-28,1.7065,1.7065,1.7062,1.7062,0.001100000000000101
2004-11-01,1.7062,1.7073,1.7062,1.7073,0.0010499999999999954
2004-11-02,1.7073,1.7073,1.7024,1.7024,0.0010000000000000009
2004-11-03,1.7024,1.7024,1.6964,1.6964,0.001000000000000112
2004-11-04,1.6964,1.699,1.6964,1.699,0.0010499999999999954
2004-11-05,1.699,1.699,1.6983,1.6983,0.0020499999999999963
2004-11-08,1.6983,1.7052,1.6983,1.7052,0.0020000000000000018
2004-11-09,1.7052,1.7052,1.6936,1.6936,0.0010000000000000009
2004-11-10,1.6936,1.6968,1.6936,1.6968,0.0010000000000000009
2004-11-11,1.6968,1.6968,1.6872,1.6872,0.0009999999999998899
2004-11-12,1.6872,1.6872,1.6848,1.6848,0.0019999999999998908
2004-11-15,1.6848,1.6848,1.6732,1.6732,0.0019999999999998908
2004-11-16,1.6732,1.6764,1.6732,1.6764,0.0010000000000000009
2004-11-17,1.6764,1.6764,1.6665,1.6665,0.0010000000000000009
2004-11-18,1.6665,1.6665,1.6649,1.6649,0.0010499999999998844
2004-11-19,1.6649,1.6649,1.6608,1.6608,0.0020499999999998852
2004-11-22,1.6608,1.6662,1.6608,1.6662,0.0020000000000000018
2004-11-23,1.6662,1.6662,1.6643,1.6643,0.001000000000000112
2004-11-24,1.6643,1.6714,1.6643,1.6714,0.0010500000000001064
2004-11-25,1.6714,1.6735,1.6714,1.6735,0.0011500000000000954
2004-11-26,1.6735,1.6799,1.6735,1.6799,0.002100000000000102
2004-11-29,1.6799,1.6923,1.6799,1.6923,0.002000000000000113
2004-11-30,1.6923,1.7216,1.6923,1.7216,0.0010000000000000009
2004-12-01,1.7216,1.7216,1.7144,1.7144,0.0010000000000000009
2004-12-02,1.7144,1.7144,1.7126,1.7126,0.001000000000000112
2004-12-03,1.7126,1.72,1.7126,1.72,0.002000000000000113
2004-12-06,1.72,1.7329,1.72,1.7329,0.0020000000000000018
2004-12-07,1.7329,1.7329,1.7329,1.7329,0.0009999999999998899
2004-12-08,1.7329,1.7589,1.7329,1.7589,0.0010000000000000009
2004-12-09,1.7589,1.7648,1.7589,1.7648,0.001100000000000101
2004-12-10,1.7648,1.7648,1.7593,1.7593,0.0020999999999999908
2004-12-13,1.7593,1.7593,1.7534,1.7534,0.0020499999999998852
2004-12-14,1.7534,1.7578,1.7534,1.7578,0.0010999999999998789
2004-12-15,1.7578,1.7578,1.7544,1.7544,0.0010499999999999954
