Date,Open,High,Low,Close,Spread
2004-05-31,1.6593,1.6593,1.6593,1.6593,0.0005999999999999339
2004-06-01,1.6593,1.6757,1.6593,1.6757,0.0004999999999999449
2004-06-02,1.6757,1.6757,1.6628,1.6628,0.00044999999999995044
2004-06-03,1.6628,1.6662,1.6628,1.6662,0.00045000000000006146
2004-06-04,1.6662,1.6662,1.6586,1.6586,0.0009500000000000064
2004-06-07,1.6586,1.6592,1.6586,1.6592,0.0009999999999998899
2004-06-08,1.6592,1.6592,1.6555,1.6555,0.00044999999999995044
2004-06-09,1.6555,1.6555,1.6381,1.6381,0.00040000000000006697
2004-06-10,1.6381,1.6466,1.6381,1.6466,0.00040000000000006697
2004-06-11,1.6466,1.6466,1.6365,1.6365,0.0009499999999998954
2004-06-14,1.6365,1.6579,1.6365,1.6579,0.0009500000000000064
2004-06-15,1.6579,1.6642,1.6579,1.6642,0.000400000000000178
2004-06-16,1.6642,1.6642,1.649,1.649,0.00040000000000006697
2004-06-17,1.649,1.6522,1.649,1.6522,0.00040000000000006697
2004-06-18,1.6522,1.6534,1.6522,1.6534,0.0009500000000001174
2004-06-21,1.6534,1.6538,1.6534,1.6538,0.0009500000000000064
2004-06-22,1.6538,1.6538,1.6437,1.6437,0.00039999999999995595
2004-06-23,1.6437,1.6446,1.6437,1.6446,0.00039999999999995595
2004-06-24,1.6446,1.6446,1.6368,1.6368,0.00039999999999995595
2004-06-25,1.6368,1.6428,1.6368,1.6428,0.0009500000000000064
2004-06-28,1.6428,1.6431,1.6428,1.6431,0.0009500000000000064
2004-06-29,1.6431,1.6431,1.6241,1.6241,0.00039999999999995595
2004-06-30,1.6241,1.6256,1.6241,1.6256,0.00045000000000006146
2004-07-01,1.6256,1.6256,1.6204,1.6204,0.00045000000000006146
2004-07-02,1.6204,1.6299,1.6204,1.6299,0.0009500000000000064
2004-07-05,1.6299,1.6299,1.6295,1.6295,0.0010000000000000009
2004-07-06,1.6295,1.6311,1.6295,1.6311,0.00044999999999995044
2004-07-07,1.6311,1.6333,1.6311,1.6333,0.00039999999999995595
2004-07-08,1.6333,1.6333,1.6325,1.6325,0.00039999999999995595
2004-07-09,1.6325,1.6355,1.6325,1.6355,0.0009500000000000064
2004-07-12,1.6355,1.6355,1.6347,1.6347,0.0009500000000000064
