Date,Open,High,Low,Close,Spread
2004-05-31,1.5298,1.5298,1.5283,1.5283,0.0006999999999999229
2004-06-01,1.5283,1.5283,1.5264,1.5264,0.00029999999999996696
2004-06-02,1.5264,1.5269,1.5264,1.5269,0.00019999999999997797
2004-06-03,1.5269,1.5283,1.5269,1.5283,0.00019999999999997797
2004-06-04,1.5283,1.5283,1.5219,1.5219,0.0005999999999999339
2004-06-07,1.5219,1.5241,1.5219,1.5241,0.0005999999999999339
2004-06-08,1.5241,1.5241,1.5187,1.5187,0.00019999999999997797
2004-06-09,1.5187,1.5187,1.5115,1.5115,0.00019999999999997797
2004-06-10,1.5115,1.5115,1.5075,1.5075,0.00019999999999997797
2004-06-11,1.5075,1.512,1.5075,1.512,0.0005999999999999339
2004-06-14,1.512,1.5148,1.512,1.5148,0.0005999999999999339
2004-06-15,1.5148,1.5193,1.5148,1.5193,0.00024999999999997247
2004-06-16,1.5193,1.5209,1.5193,1.5209,0.000300000000000078
2004-06-17,1.5209,1.5209,1.5096,1.5096,0.0002500000000000835
2004-06-18,1.5096,1.5102,1.5096,1.5102,0.0006000000000000449
2004-06-21,1.5102,1.5102,1.5096,1.5096,0.0006500000000000394
2004-06-22,1.5096,1.5129,1.5096,1.5129,0.000300000000000078
2004-06-23,1.5129,1.5154,1.5129,1.5154,0.0002500000000000835
2004-06-24,1.5154,1.5154,1.5148,1.5148,0.00019999999999997797
2004-06-25,1.5148,1.5177,1.5148,1.5177,0.0005999999999999339
2004-06-28,1.5177,1.5221,1.5177,1.5221,0.0005999999999999339
2004-06-29,1.5221,1.5296,1.5221,1.5296,0.00024999999999997247
2004-06-30,1.5296,1.5296,1.5229,1.5229,0.000300000000000078
2004-07-01,1.5229,1.5229,1.5187,1.5187,0.000300000000000078
2004-07-02,1.5187,1.5187,1.5184,1.5184,0.0006500000000000394
2004-07-05,1.5184,1.5191,1.5184,1.5191,0.000700000000000145
2004-07-06,1.5191,1.5195,1.5191,1.5195,0.000300000000000078
2004-07-07,1.5195,1.5195,1.5179,1.5179,0.00024999999999997247
2004-07-08,1.5179,1.518,1.5179,1.518,0.00024999999999997247
2004-07-09,1.518,1.518,1.5175,1.5175,0.0005999999999999339
2004-07-12,1.5175,1.5197,1.5175,1.5197,0.0006499999999999284
2004-07-13,1.5197,1.5237,1.5197,1.5237,0.00029999999999996696
2004-07-14,1.5237,1.5237,1.5221,1.5221,0.00024999999999997247
2004-07-15,1.5221,1.5274,1.5221,1.5274,0.00029999999999996696
2004-07-16,1.5274,1.5274,1.5249,1.5249,0.0007000000000000339
2004-07-19,1.5249,1.5277,1.5249,1.5277,0.0006500000000000394
2004-07-20,1.5277,1.5341,1.5277,1.5341,0.00029999999999996696
2004-07-21,1.5341,1.5341,1.5321,1.5321,0.00034999999999996145
2004-07-22,1.5321,1.5321,1.5302,1.5302,0.00029999999999996696
2004-07-23,1.5302,1.532,1.5302,1.532,0.0005999999999999339
2004-07-26,1.532,1.5354,1.532,1.5354,0.0006499999999999284
2004-07-27,1.5354,1.538,1.5354,1.538,0.00029999999999996696
2004-07-28,1.538,1.538,1.5374,1.5374,0.00024999999999997247
2004-07-29,1.5374,1.5419,1.5374,1.5419,0.00024999999999997247
2004-07-30,1.5419,1.5419,1.54,1.54,0.0006499999999999284
2004-08-02,1.54,1.54,1.5383,1.5383,0.0006999999999999229
2004-08-03,1.5383,1.5413,1.5383,1.5413,0.0003500000000000725
2004-08-04,1.5413,1.5413,1.538,1.538,0.000300000000000078
2004-08-05,1.538,1.538,1.5375,1.5375,0.00024999999999997247
2004-08-06,1.5375,1.5375,1.5353,1.5353,0.0005999999999999339
2004-08-09,1.5353,1.5389,1.5353,1.5389,0.0006999999999999229
2004-08-10,1.5389,1.5443,1.5389,1.5443,0.00034999999999996145
2004-08-11,1.5443,1.5443,1.5412,1.5412,0.0002500000000000835
2004-08-12,1.5412,1.5412,1.5391,1.5391,0.000200000000000089
2004-08-13,1.5391,1.5391,1.5318,1.5318,0.0005999999999999339
2004-08-16,1.5318,1.5334,1.5318,1.5334,0.0006499999999999284
