Date,Open,High,Low,Close,Spread
2004-05-31,1.9274,1.9274,1.9274,1.9274,0.0009999999999998899
2004-06-01,1.9274,1.9478,1.9274,1.9478,0.0010000000000000009
2004-06-02,1.9478,1.9648,1.9478,1.9648,0.0012499999999999734
2004-06-03,1.9648,1.9795,1.9648,1.9795,0.0012999999999998568
2004-06-04,1.9795,1.9795,1.973,1.973,0.0017999999999999128
2004-06-07,1.973,1.973,1.9432,1.9432,0.0017499999999999183
2004-06-08,1.9432,1.9543,1.9432,1.9543,0.0010000000000000009
2004-06-09,1.9543,1.9543,1.9494,1.9494,0.0010499999999999954
2004-06-10,1.9494,1.9494,1.9108,1.9108,0.0010499999999998844
2004-06-11,1.9108,1.9108,1.9079,1.9079,0.0017500000000000293
2004-06-14,1.9079,1.9311,1.9079,1.9311,0.0017500000000000293
2004-06-15,1.9311,1.9311,1.9056,1.9056,0.0010000000000000009
2004-06-16,1.9056,1.9094,1.9056,1.9094,0.001000000000000112
2004-06-17,1.9094,1.9366,1.9094,1.9366,0.0012499999999999734
2004-06-18,1.9366,1.9366,1.9354,1.9354,0.0019999999999998908
2004-06-21,1.9354,1.9354,1.9266,1.9266,0.0017499999999999183
2004-06-22,1.9266,1.9271,1.9266,1.9271,0.0009999999999998899
2004-06-23,1.9271,1.9367,1.9271,1.9367,0.0009999999999998899
2004-06-24,1.9367,1.9367,1.9165,1.9165,0.0009999999999998899
2004-06-25,1.9165,1.9165,1.9143,1.9143,0.0017500000000000293
2004-06-28,1.9143,1.9143,1.9004,1.9004,0.0017500000000000293
2004-06-29,1.9004,1.9144,1.9004,1.9144,0.0009999999999998899
2004-06-30,1.9144,1.9167,1.9144,1.9167,0.0009999999999998899
2004-07-01,1.9167,1.9167,1.8969,1.8969,0.0009999999999998899
2004-07-02,1.8969,1.9014,1.8969,1.9014,0.0017499999999999183
2004-07-05,1.9014,1.9014,1.8983,1.8983,0.0017499999999999183
2004-07-06,1.8983,1.8983,1.8911,1.8911,0.0009999999999998899
2004-07-07,1.8911,1.8911,1.8837,1.8837,0.0009500000000000064
2004-07-08,1.8837,1.8873,1.8837,1.8873,0.0009500000000001174
2004-07-09,1.8873,1.8882,1.8873,1.8882,0.0017500000000000293
2004-07-12,1.8882,1.8882,1.8771,1.8771,0.0017500000000000293
2004-07-13,1.8771,1.8771,1.8762,1.8762,0.0010000000000000009
2004-07-14,1.8762,1.8975,1.8762,1.8975,0.0010000000000000009
2004-07-15,1.8975,1.8984,1.8975,1.8984,0.0010000000000000009
2004-07-16,1.8984,1.8984,1.8876,1.8876,0.0017499999999999183
2004-07-19,1.8876,1.897,1.8876,1.897,0.0017499999999999183
2004-07-20,1.897,1.897,1.8844,1.8844,0.0009999999999998899
2004-07-21,1.8844,1.9146,1.8844,1.9146,0.0009999999999998899
2004-07-22,1.9146,1.9146,1.9091,1.9091,0.0009999999999998899
2004-07-23,1.9091,1.9091,1.9015,1.9015,0.0017499999999999183
2004-07-26,1.9015,1.9085,1.9015,1.9085,0.0017499999999999183
2004-07-27,1.9085,1.9212,1.9085,1.9212,0.0009999999999998899
2004-07-28,1.9212,1.9212,1.9163,1.9163,0.0010000000000000009
2004-07-29,1.9163,1.9163,1.9007,1.9007,0.0010000000000000009
2004-07-30,1.9007,1.9007,1.8859,1.8859,0.0017500000000000293
2004-08-02,1.8859,1.8859,1.8787,1.8787,0.0017500000000000293
2004-08-03,1.8787,1.8787,1.8638,1.8638,0.0010000000000000009
2004-08-04,1.8638,1.8674,1.8638,1.8674,0.001000000000000112
2004-08-05,1.8674,1.8718,1.8674,1.8718,0.001000000000000112
2004-08-06,1.8718,1.8819,1.8718,1.8819,0.0017500000000001403
2004-08-09,1.8819,1.8819,1.8794,1.8794,0.0017500000000001403
2004-08-10,1.8794,1.8794,1.8745,1.8745,0.0010000000000000009
2004-08-11,1.8745,1.8745,1.8651,1.8651,0.0010000000000000009
2004-08-12,1.8651,1.8651,1.8604,1.8604,0.0010000000000000009
2004-08-13,1.8604,1.8604,1.8556,1.8556,0.0017500000000000293
2004-08-16,1.8556,1.8589,1.8556,1.8589,0.0017500000000001403
2004-08-17,1.8589,1.8605,1.8589,1.8605,0.0010000000000000009
2004-08-18,1.8605,1.8605,1.8564,1.8564,0.0009999999999998899
2004-08-19,1.8564,1.8564,1.8403,1.8403,0.0009999999999998899
2004-08-20,1.8403,1.8403,1.8307,1.8307,0.0017499999999999183
2004-08-23,1.8307,1.8348,1.8307,1.8348,0.0017500000000000293
2004-08-24,1.8348,1.8644,1.8348,1.8644,0.0010000000000000009
2004-08-25,1.8644,1.8644,1.8602,1.8602,0.0009999999999998899
2004-08-26,1.8602,1.8602,1.8571,1.8571,0.0010000000000000009
2004-08-27,1.8571,1.8571,1.8379,1.8379,0.0017500000000000293
2004-08-30,1.8379,1.8517,1.8379,1.8517,0.0017500000000000293
2004-08-31,1.8517,1.8584,1.8517,1.8584,0.0009500000000000064
2004-09-01,1.8584,1.8589,1.8584,1.8589,0.0009500000000000064
2004-09-02,1.8589,1.8763,1.8589,1.8763,0.0010000000000000009
2004-09-03,1.8763,1.8763,1.8655,1.8655,0.0017500000000000293
2004-09-06,1.8655,1.8655,1.8568,1.8568,0.0017500000000000293
2004-09-07,1.8568,1.8697,1.8568,1.8697,0.0010000000000000009
2004-09-08,1.8697,1.8748,1.8697,1.8748,0.0010000000000000009
2004-09-09,1.8748,1.8748,1.871,1.871,0.0010000000000000009
2004-09-10,1.871,1.8715,1.871,1.8715,0.0017500000000001403
2004-09-13,1.8715,1.8715,1.8654,1.8654,0.0017500000000001403
2004-09-14,1.8654,1.8654,1.8511,1.8511,0.001000000000000112
2004-09-15,1.8511,1.8511,1.8489,1.8489,0.0009500000000001174
2004-09-16,1.8489,1.8489,1.8448,1.8448,0.0009500000000001174
2004-09-17,1.8448,1.8448,1.8437,1.8437,0.0017500000000001403
