Date,Open,High,Low,Close,Spread
2004-05-31,1.2216,1.2216,1.2186,1.2186,0.0006500000000000394
2004-06-01,1.2186,1.2246,1.2186,1.2246,0.0002500000000001945
2004-06-02,1.2246,1.2246,1.2214,1.2214,0.000200000000000089
2004-06-03,1.2214,1.2226,1.2214,1.2226,0.000200000000000089
2004-06-04,1.2226,1.2275,1.2226,1.2275,0.0006000000000000449
2004-06-07,1.2275,1.232,1.2275,1.232,0.0005999999999999339
2004-06-08,1.232,1.232,1.2269,1.2269,0.00019999999999997797
2004-06-09,1.2269,1.2269,1.2048,1.2048,0.00019999999999997797
2004-06-10,1.2048,1.2104,1.2048,1.2104,0.00019999999999997797
2004-06-11,1.2104,1.2104,1.2,1.2,0.0006000000000000449
2004-06-14,1.2,1.2058,1.2,1.2058,0.0006000000000000449
2004-06-15,1.2058,1.2161,1.2058,1.2161,0.00019999999999997797
2004-06-16,1.2161,1.2161,1.2011,1.2011,0.00019999999999997797
2004-06-17,1.2011,1.2051,1.2011,1.2051,0.00019999999999997797
2004-06-18,1.2051,1.2132,1.2051,1.2132,0.0005999999999999339
2004-06-21,1.2132,1.2132,1.2113,1.2113,0.0005999999999999339
2004-06-22,1.2113,1.2113,1.2105,1.2105,0.000200000000000089
2004-06-23,1.2105,1.2105,1.2092,1.2092,0.000200000000000089
2004-06-24,1.2092,1.2169,1.2092,1.2169,0.00019999999999997797
2004-06-25,1.2169,1.2172,1.2169,1.2172,0.0005999999999999339
2004-06-28,1.2172,1.2184,1.2172,1.2184,0.0005999999999999339
2004-06-29,1.2184,1.2184,1.208,1.208,0.00019999999999997797
2004-06-30,1.208,1.2198,1.208,1.2198,0.00019999999999997797
2004-07-01,1.2198,1.2198,1.216,1.216,0.00014999999999998348
2004-07-02,1.216,1.2311,1.216,1.2311,0.0005499999999999394
2004-07-05,1.2311,1.2311,1.2289,1.2289,0.0005999999999999339
2004-07-06,1.2289,1.2289,1.2282,1.2282,0.00019999999999997797
2004-07-07,1.2282,1.2372,1.2282,1.2372,0.00019999999999997797
2004-07-08,1.2372,1.2384,1.2372,1.2384,0.00019999999999997797
2004-07-09,1.2384,1.2409,1.2384,1.2409,0.0005500000000000504
2004-07-12,1.2409,1.2409,1.2407,1.2407,0.0005500000000000504
2004-07-13,1.2407,1.2407,1.2326,1.2326,0.00019999999999997797
2004-07-14,1.2326,1.23798,1.2326,1.23798,0.00018999999999991246
2004-07-15,1.23798,1.23798,1.2353,1.2353,0.00018999999999991246
2004-07-16,1.2353,1.2446,1.2353,1.2446,0.0006000000000000449
2004-07-19,1.2446,1.2446,1.2442,1.2442,0.0006000000000000449
2004-07-20,1.2442,1.2442,1.2329,1.2329,0.00019999999999997797
2004-07-21,1.2329,1.2329,1.22588,1.22588,0.00019999999999997797
2004-07-22,1.22588,1.22588,1.22565,1.22565,0.000200000000000089
2004-07-23,1.22565,1.22565,1.2085,1.2085,0.000600000000000156
2004-07-26,1.2085,1.2141,1.2085,1.2141,0.0006000000000000449
2004-07-27,1.2141,1.2141,1.20565,1.20565,0.00019999999999997797
2004-07-28,1.20565,1.20565,1.20549,1.20549,0.00019999999999997797
2004-07-29,1.20549,1.20549,1.2045,1.2045,0.000200000000000089
2004-07-30,1.2045,1.2045,1.20145,1.20145,0.000600000000000156
