Date,Open,High,Low,Close,Spread
2004-05-31,2.2942,2.2972,2.2942,2.2972,0.0013999999999998458
2004-06-01,2.2972,2.2972,2.2925,2.2925,0.0006999999999999229
2004-06-02,2.2925,2.2934,2.2925,2.2934,0.0006999999999999229
2004-06-03,2.2934,2.3003,2.2934,2.3003,0.0007500000000000284
2004-06-04,2.3003,2.3003,2.2802,2.2802,0.0013500000000001844
2004-06-07,2.2802,2.2802,2.2774,2.2774,0.0014000000000000679
2004-06-08,2.2774,2.2774,2.2723,2.2723,0.0007500000000000284
2004-06-09,2.2723,2.2953,2.2723,2.2953,0.0006999999999999229
2004-06-10,2.2953,2.2953,2.2947,2.2947,0.0006999999999997009
2004-06-11,2.2947,2.2947,2.2907,2.2907,0.0013499999999997403
2004-06-14,2.2907,2.2907,2.2754,2.2754,0.0013499999999999623
2004-06-15,2.2754,2.2895,2.2754,2.2895,0.000700000000000145
2004-06-16,2.2895,2.3141,2.2895,2.3141,0.0007500000000002505
2004-06-17,2.3141,2.3141,2.2973,2.2973,0.0007500000000002505
2004-06-18,2.2973,2.2973,2.2872,2.2872,0.0013500000000001844
2004-06-21,2.2872,2.2872,2.2822,2.2822,0.0013500000000001844
2004-06-22,2.2822,2.2822,2.2753,2.2753,0.0006999999999999229
2004-06-23,2.2753,2.2762,2.2753,2.2762,0.0006999999999999229
2004-06-24,2.2762,2.2762,2.2715,2.2715,0.000700000000000145
2004-06-25,2.2715,2.2762,2.2715,2.2762,0.0013500000000001844
2004-06-28,2.2762,2.286,2.2762,2.286,0.0014000000000000679
2004-06-29,2.286,2.2879,2.286,2.2879,0.0007999999999999119
2004-06-30,2.2879,2.2879,2.2725,2.2725,0.0006999999999999229
2004-07-01,2.2725,2.2725,2.2723,2.2723,0.0005999999999999339
2004-07-02,2.2723,2.2723,2.2567,2.2567,0.0013000000000000789
2004-07-05,2.2567,2.2609,2.2567,2.2609,0.0014000000000000679
2004-07-06,2.2609,2.278,2.2609,2.278,0.0007500000000000284
2004-07-07,2.278,2.278,2.2767,2.2767,0.000700000000000145
2004-07-08,2.2767,2.2767,2.2666,2.2666,0.000700000000000145
2004-07-09,2.2666,2.2724,2.2666,2.2724,0.0013499999999999623
2004-07-12,2.2724,2.28058,2.2724,2.28058,0.0013249999999997986
2004-07-13,2.28058,2.29503,2.28058,2.29503,0.0006999999999999229
2004-07-14,2.29503,2.29503,2.28138,2.28138,0.0006999999999999229
2004-07-15,2.28138,2.2907,2.28138,2.2907,0.0007249999999998646
2004-07-16,2.2907,2.2939,2.2907,2.2939,0.0014000000000000679
2004-07-19,2.2939,2.2939,2.29265,2.29265,0.0013500000000001844
2004-07-20,2.29265,2.30523,2.29265,2.30523,0.0007250000000000867
2004-07-21,2.30523,2.30523,2.30103,2.30103,0.0007500000000000284
2004-07-22,2.30103,2.30165,2.30103,2.30165,0.0007250000000000867
2004-07-23,2.30165,2.3204,2.30165,2.3204,0.0013500000000001844
2004-07-26,2.3204,2.32753,2.3204,2.32753,0.0013750000000001261
2004-07-27,2.32753,2.32753,2.32293,2.32293,0.0007500000000000284
2004-07-28,2.32293,2.32685,2.32293,2.32685,0.0007250000000000867
2004-07-29,2.32685,2.32685,2.32565,2.32565,0.000700000000000145
2004-07-30,2.32565,2.3312,2.32565,2.3312,0.0013500000000001844
2004-08-02,2.3312,2.33713,2.3312,2.33713,0.0013750000000001261
2004-08-03,2.33713,2.33713,2.33402,2.33402,0.0007549999999998391
2004-08-04,2.33402,2.33402,2.32925,2.32925,0.0007299999999998974
2004-08-05,2.32925,2.32925,2.32608,2.32608,0.0006749999999999812
2004-08-06,2.32608,2.32608,2.3015,2.3015,0.0013250000000000206
2004-08-09,2.3015,2.30851,2.3015,2.30851,0.0013900000000000023
2004-08-10,2.30851,2.30851,2.3054,2.3054,0.0007899999999998464
2004-08-11,2.3054,2.30773,2.3054,2.30773,0.0007749999999999702
2004-08-12,2.30773,2.30773,2.28895,2.28895,0.0007250000000000867
2004-08-13,2.28895,2.28895,2.2816,2.2816,0.0013499999999999623
2004-08-16,2.2816,2.28233,2.2816,2.28233,0.001374999999999904
2004-08-17,2.28233,2.28233,2.27303,2.27303,0.0007500000000000284
2004-08-18,2.27303,2.27303,2.26938,2.26938,0.000700000000000145
2004-08-19,2.26938,2.27838,2.26938,2.27838,0.0006500000000002615
2004-08-20,2.27838,2.27838,2.2745,2.2745,0.0013250000000000206
2004-08-23,2.2745,2.29575,2.2745,2.29575,0.0013499999999999623
2004-08-24,2.29575,2.29575,2.28065,2.28065,0.000700000000000145
2004-08-25,2.28065,2.28745,2.28065,2.28745,0.0006749999999999812
2004-08-26,2.28745,2.28745,2.28628,2.28628,0.0006499999999998174
2004-08-27,2.28628,2.2948,2.28628,2.2948,0.0013250000000000206
2004-08-30,2.2948,2.29785,2.2948,2.29785,0.0013500000000001844
2004-08-31,2.29785,2.29785,2.28218,2.28218,0.0006750000000002032
2004-09-01,2.28218,2.28218,2.25905,2.25905,0.0006750000000002032
2004-09-02,2.25905,2.25905,2.25835,2.25835,0.0006999999999999229
2004-09-03,2.25835,2.25835,2.2575,2.2575,0.0013499999999999623
2004-09-06,2.2575,2.2624,2.2575,2.2624,0.0013500000000001844
2004-09-07,2.2624,2.2624,2.24635,2.24635,0.000700000000000145
2004-09-08,2.24635,2.25085,2.24635,2.25085,0.000700000000000145
2004-09-09,2.25085,2.25302,2.25085,2.25302,0.000700000000000145
2004-09-10,2.25302,2.2597,2.25302,2.2597,0.0013499999999999623
2004-09-13,2.2597,2.26118,2.2597,2.26118,0.0013249999999997986
2004-09-14,2.26118,2.26248,2.26118,2.26248,0.0006499999999998174
2004-09-15,2.26248,2.26248,2.25608,2.25608,0.0006500000000000394
2004-09-16,2.25608,2.27461,2.25608,2.27461,0.0006500000000000394
2004-09-17,2.27461,2.27461,2.2727,2.2727,0.0013250000000000206
2004-09-20,2.2727,2.2727,2.27055,2.27055,0.0013500000000001844
2004-09-21,2.27055,2.27055,2.25173,2.25173,0.0007250000000000867
