Date,Open,High,Low,Close,Spread
2004-05-31,201.94,201.94,200.61,200.61,0.13999999999998636
2004-06-01,200.61,203.45,200.61,203.45,0.06999999999999318
2004-06-02,203.45,203.45,201.57,201.57,0.0799999999999983
2004-06-03,201.57,203.9,201.57,203.9,0.08499999999999375
2004-06-04,203.9,204.48,203.9,204.48,0.13500000000000512
2004-06-07,204.48,204.48,201.69,201.69,0.13500000000000512
2004-06-08,201.69,201.69,201.25,201.25,0.06999999999999318
2004-06-09,201.25,202.06,201.25,202.06,0.06999999999999318
2004-06-10,202.06,202.06,201.47,201.47,0.06999999999999318
2004-06-11,201.47,201.47,200.13,200.13,0.13500000000000512
2004-06-14,200.13,201.08,200.13,201.08,0.13500000000000512
2004-06-15,201.08,201.08,200.65,200.65,0.06999999999999318
2004-06-16,200.65,201.13,200.65,201.13,0.06999999999999318
2004-06-17,201.13,201.13,201.08,201.08,0.06999999999999318
2004-06-18,201.08,201.08,200.05,200.05,0.1349999999999909
2004-06-21,200.05,200.05,199.47,199.47,0.1349999999999909
2004-06-22,199.47,199.47,198.93,198.93,0.06999999999999318
2004-06-23,198.93,198.93,197.05,197.05,0.06999999999999318
2004-06-24,197.05,197.05,195.5,195.5,0.06999999999999318
2004-06-25,195.5,196.38,195.5,196.38,0.13500000000000512
2004-06-28,196.38,197.51,196.38,197.51,0.13500000000001933
2004-06-29,197.51,197.51,195.57,195.57,0.07000000000000739
2004-06-30,195.57,197.96,195.57,197.96,0.06999999999999318
2004-07-01,197.96,197.96,197.19,197.19,0.06999999999999318
2004-07-02,197.19,198.2,197.19,198.2,0.13500000000000512
2004-07-05,198.2,199.48,198.2,199.48,0.14500000000001023
2004-07-06,199.48,201.61,199.48,201.61,0.0799999999999983
2004-07-07,201.61,201.61,201.57,201.57,0.06999999999999318
2004-07-08,201.57,201.57,201.54,201.54,0.07000000000000739
2004-07-09,201.54,201.54,201.04,201.04,0.13500000000001933
2004-07-12,201.04,201.58,201.04,201.58,0.13500000000000512
2004-07-13,201.58,201.75,201.58,201.75,0.0799999999999983
2004-07-14,201.75,202.56,201.75,202.56,0.0799999999999983
2004-07-15,202.56,203.39,202.56,203.39,0.07000000000000739
2004-07-16,203.39,203.47,203.39,203.47,0.13500000000000512
2004-07-19,203.47,203.47,202.11,202.11,0.1349999999999909
2004-07-20,202.11,202.11,201.35,201.35,0.07500000000000284
2004-07-21,201.35,202.13,201.35,202.13,0.0800000000000125
2004-07-22,202.13,202.38,202.13,202.38,0.07500000000000284
2004-07-23,202.38,202.38,201.7,201.7,0.13500000000000512
2004-07-26,201.7,202.37,201.7,202.37,0.14000000000000057
2004-07-27,202.37,202.37,202.01,202.01,0.0799999999999983
2004-07-28,202.01,203.72,202.01,203.72,0.07500000000000284
2004-07-29,203.72,203.72,203.46,203.46,0.06999999999999318
2004-07-30,203.46,203.46,202.51,202.51,0.13500000000000512
2004-08-02,202.51,202.51,202.29,202.29,0.13500000000001933
2004-08-03,202.29,202.29,201.91,201.91,0.07000000000000739
2004-08-04,201.91,202.81,201.91,202.81,0.06999999999999318
2004-08-05,202.81,203.91,202.81,203.91,0.06999999999999318
2004-08-06,203.91,203.91,203.32,203.32,0.13500000000000512
2004-08-09,203.32,203.63,203.32,203.63,0.14000000000001478
2004-08-10,203.63,203.63,203.33,203.33,0.0799999999999983
2004-08-11,203.33,203.33,202.94,202.94,0.07499999999998863
2004-08-12,202.94,202.94,202.06,202.06,0.06999999999999318
2004-08-13,202.06,203.96,202.06,203.96,0.1349999999999909
2004-08-16,203.96,203.96,203.26,203.26,0.13500000000000512
2004-08-17,203.26,203.26,201.19,201.19,0.07500000000001705
2004-08-18,201.19,201.19,199.36,199.36,0.07500000000000284
2004-08-19,199.36,200.41,199.36,200.41,0.06999999999999318
2004-08-20,200.41,200.41,198.48,198.48,0.13500000000000512
2004-08-23,198.48,198.56,198.48,198.56,0.13500000000000512
2004-08-24,198.56,198.56,196.44,196.44,0.06999999999999318
2004-08-25,196.44,197.93,196.44,197.93,0.06999999999999318
2004-08-26,197.93,197.93,197.01,197.01,0.07000000000000739
2004-08-27,197.01,197.01,196.3,196.3,0.13500000000000512
2004-08-30,196.3,197.23,196.3,197.23,0.14000000000000057
2004-08-31,197.23,197.23,196.72,196.72,0.07500000000000284
2004-09-01,196.72,196.72,196.34,196.34,0.06999999999999318
2004-09-02,196.34,196.34,196.0,196.0,0.07500000000000284
2004-09-03,196.0,196.17,196.0,196.17,0.14000000000001478
2004-09-06,196.17,196.17,196.06,196.06,0.13500000000000512
2004-09-07,196.06,196.06,193.85,193.85,0.06999999999999318
2004-09-08,193.85,195.24,193.85,195.24,0.06999999999999318
2004-09-09,195.24,195.85,195.24,195.85,0.06999999999999318
2004-09-10,195.85,196.93,195.85,196.93,0.1349999999999909
2004-09-13,196.93,197.67,196.93,197.67,0.13500000000000512
2004-09-14,197.67,197.67,197.08,197.08,0.07000000000000739
2004-09-15,197.08,197.08,195.47,195.47,0.06999999999999318
2004-09-16,195.47,196.43,195.47,196.43,0.06999999999999318
2004-09-17,196.43,196.8,196.43,196.8,0.1349999999999909
2004-09-20,196.8,196.8,196.25,196.25,0.1349999999999909
2004-09-21,196.25,196.95,196.25,196.95,0.07000000000000739
2004-09-22,196.95,198.28,196.95,198.28,0.07000000000000739
2004-09-23,198.28,198.96,198.28,198.96,0.06999999999999318
2004-09-24,198.96,199.69,198.96,199.69,0.1349999999999909
2004-09-27,199.69,201.29,199.69,201.29,0.13500000000000512
2004-09-28,201.29,201.89,201.29,201.89,0.0700000000000216
2004-09-29,201.89,201.89,199.46,199.46,0.07000000000000739
2004-09-30,199.46,199.46,199.34,199.34,0.06999999999999318
2004-10-01,199.34,199.34,198.68,198.68,0.1349999999999909
2004-10-04,198.68,198.68,197.97,197.97,0.1349999999999909
2004-10-05,197.97,198.05,197.97,198.05,0.06999999999999318
2004-10-06,198.05,198.08,198.05,198.08,0.06999999999999318
2004-10-07,198.08,198.19,198.08,198.19,0.06999999999999318
2004-10-08,198.19,198.19,196.42,196.42,0.13500000000000512
2004-10-11,196.42,196.65,196.42,196.65,0.13500000000000512
2004-10-12,196.65,196.65,196.52,196.52,0.06999999999999318
2004-10-13,196.52,196.9,196.52,196.9,0.06999999999999318
2004-10-14,196.9,197.04,196.9,197.04,0.07000000000000739
2004-10-15,197.04,197.12,197.04,197.12,0.13500000000000512
2004-10-18,197.12,197.12,196.42,196.42,0.13500000000000512
2004-10-19,196.42,196.42,195.44,195.44,0.07000000000000739
2004-10-20,195.44,196.75,195.44,196.75,0.06999999999999318
2004-10-21,196.75,196.75,196.35,196.35,0.06999999999999318
2004-10-25,196.35,196.48,196.35,196.48,0.07000000000000739
2004-10-26,196.48,196.48,195.78,195.78,0.07000000000000739
2004-10-27,195.78,195.78,194.54,194.54,0.07000000000000739
2004-10-28,194.54,194.54,194.48,194.48,0.0700000000000216
2004-10-29,194.48,194.48,194.28,194.28,0.13500000000000512
2004-11-01,194.28,195.16,194.28,195.16,0.1349999999999909
2004-11-02,195.16,195.26,195.16,195.26,0.07000000000000739
2004-11-03,195.26,196.35,195.26,196.35,0.07000000000000739
2004-11-04,196.35,196.35,195.49,195.49,0.06999999999999318
2004-11-05,195.49,195.9,195.49,195.9,0.1349999999999909
2004-11-08,195.9,195.9,195.89,195.89,0.13500000000000512
2004-11-09,195.89,196.36,195.89,196.36,0.07000000000000739
2004-11-10,196.36,197.89,196.36,197.89,0.07000000000000739
2004-11-11,197.89,197.89,196.39,196.39,0.0700000000000216
2004-11-12,196.39,196.39,195.87,195.87,0.13500000000000512
2004-11-15,195.87,195.87,194.43,194.43,0.1349999999999909
2004-11-16,194.43,195.19,194.43,195.19,0.06999999999999318
2004-11-17,195.19,195.19,193.25,193.25,0.06999999999999318
2004-11-18,193.25,193.25,192.91,192.91,0.06999999999999318
2004-11-19,192.91,192.91,191.39,191.39,0.13500000000000512
2004-11-22,191.39,191.84,191.39,191.84,0.13500000000000512
2004-11-23,191.84,192.98,191.84,192.98,0.07000000000000739
2004-11-24,192.98,193.35,192.98,193.35,0.07000000000000739
2004-11-25,193.35,193.72,193.35,193.72,0.06999999999999318
2004-11-26,193.72,194.24,193.72,194.24,0.1349999999999909
2004-11-29,194.24,194.72,194.24,194.72,0.1349999999999909
2004-11-30,194.72,196.63,194.72,196.63,0.06999999999999318
2004-12-01,196.63,198.34,196.63,198.34,0.06999999999999318
2004-12-02,198.34,198.6,198.34,198.6,0.06999999999999318
2004-12-03,198.6,198.6,198.27,198.27,0.1349999999999909
2004-12-06,198.27,200.08,198.27,200.08,0.1349999999999909
2004-12-07,200.08,200.12,200.08,200.12,0.06999999999999318
2004-12-08,200.12,201.24,200.12,201.24,0.06999999999999318
2004-12-09,201.24,201.4,201.24,201.4,0.06999999999999318
2004-12-10,201.4,201.4,201.33,201.33,0.1349999999999909
2004-12-13,201.33,201.83,201.33,201.83,0.1349999999999909
2004-12-14,201.83,203.51,201.83,203.51,0.07000000000000739
2004-12-15,203.51,203.51,202.59,202.59,0.07000000000000739
2004-12-16,202.59,202.59,202.33,202.33,0.06999999999999318
2004-12-17,202.33,202.33,202.24,202.24,0.1349999999999909
2004-12-20,202.24,202.45,202.24,202.45,0.13500000000000512
2004-12-21,202.45,202.45,201.13,201.13,0.07000000000000739
2004-12-22,201.13,201.13,199.36,199.36,0.06999999999999318
2004-12-23,199.36,199.36,199.23,199.23,0.07000000000000739
2004-12-24,199.23,199.38,199.23,199.38,0.13500000000001933
2004-12-27,199.38,199.38,199.29,199.29,0.14000000000001478
2004-12-28,199.29,199.29,198.6,198.6,0.0800000000000125
2004-12-29,198.6,199.11,198.6,199.11,0.07500000000000284
2004-12-30,199.11,199.11,198.52,198.52,0.07499999999998863
2004-12-31,198.52,198.52,196.37,196.37,0.13999999999998636
2005-01-02,196.37,197.05,196.37,196.76,0.1799999999999926
2005-01-03,196.76,196.97,195.36,195.67,0.10000000000000142
2005-01-04,195.67,197.05,195.09,196.51,0.06500000000000483
2005-01-05,196.51,197.01,195.58,195.9,0.05999999999999517
2005-01-06,195.9,197.27,195.84,196.79,0.060000000000002274
2005-01-07,196.79,196.9,195.4,195.9,0.09999999999999432
2005-01-09,195.9,196.0,195.73,195.76,0.20000000000000284
2005-01-10,195.76,196.315,195.07,195.545,0.09500000000000597
2005-01-11,195.545,195.785,193.63,194.255,0.060000000000002274
2005-01-12,194.255,194.325,192.605,193.72,0.060000000000002274
2005-01-13,193.72,193.885,192.46,192.735,0.0625
2005-01-14,192.735,193.18,190.045,190.78,0.09749999999999659
2005-01-16,190.78,190.85,190.41,190.69,0.20000000000000284
2005-01-17,190.69,191.365,189.525,189.86,0.09499999999999176
2005-01-18,189.86,192.415,189.79,190.455,0.05999999999998806
2005-01-19,190.455,192.795,190.455,192.5,0.05999999999998806
2005-01-20,192.5,193.985,191.615,193.32,0.05999999999999517
2005-01-21,193.32,194.255,192.415,192.735,0.09499999999999886
2005-01-23,192.735,193.11,192.735,192.95,0.19999999999999574
2005-01-24,192.95,193.82,192.46,192.76,0.09500000000000597
2005-01-25,192.76,194.535,192.66,193.915,0.060000000000002274
2005-01-26,193.915,194.445,193.005,193.935,0.060000000000002274
2005-01-27,193.935,194.91,193.57,194.46,0.060000000000002274
2005-01-28,194.46,195.32,194.255,194.88,0.10000000000000853
2005-01-30,194.88,195.465,194.88,195.32,0.20000000000000995
2005-01-31,195.32,195.51,194.67,195.205,0.09499999999999886
2005-02-01,195.205,195.745,194.94,195.185,0.05999999999999517
2005-02-02,195.185,195.983,194.905,195.343,0.0625
2005-02-03,195.343,196.984,195.293,196.595,0.060000000000002274
2005-02-04,196.595,196.725,194.72,195.155,0.09749999999999659
2005-02-06,195.155,195.845,195.155,195.365,0.19999999999998863
2005-02-07,195.365,195.59,194.504,194.754,0.10250000000000625
2005-02-08,194.754,196.638,194.724,195.92,0.06750000000001677
2005-02-09,195.92,196.85,195.615,196.29,0.0625000000000071
2005-02-10,196.29,197.97,196.17,197.705,0.062499999999992895
2005-02-11,197.705,197.775,196.8,197.445,0.09499999999999886
2005-02-13,197.445,197.445,196.935,197.085,0.20000000000000284
2005-02-14,197.085,198.675,196.295,198.335,0.13250000000000028
2005-02-15,198.335,198.755,197.167,198.155,0.0625
2005-02-16,198.155,199.025,197.555,198.775,0.060000000000002274
2005-02-17,198.775,200.172,198.335,199.895,0.060000000000002274
2005-02-18,199.895,200.552,199.193,200.015,0.09499999999999886
2005-02-20,200.015,200.235,199.955,199.965,0.19999999999999574
2005-02-21,199.965,200.665,199.765,199.958,0.09499999999999886
2005-02-22,199.958,200.188,198.178,199.209,0.07000000000000028
2005-02-23,199.209,200.364,198.969,200.238,0.06499999999999773
