Date,Open,High,Low,Close,Spread
2004-05-31,0.79252,0.79252,0.79252,0.79252,0.00043999999999999595
2004-06-01,0.79252,0.79252,0.78333,0.78333,0.0003750000000000142
2004-06-02,0.78333,0.78333,0.7767,0.7767,0.0003650000000000597
2004-06-03,0.7767,0.7767,0.77172,0.77172,0.00039000000000005697
2004-06-04,0.77172,0.77172,0.77053,0.77053,0.0006299999999999639
2004-06-07,0.77053,0.78401,0.77053,0.78401,0.0005999999999999339
2004-06-08,0.78401,0.78401,0.77682,0.77682,0.00030000000000002247
2004-06-09,0.77682,0.77682,0.77489,0.77489,0.0003300000000000525
2004-06-10,0.77489,0.78864,0.77489,0.78864,0.00040000000000001146
2004-06-11,0.78864,0.7917,0.78864,0.7917,0.0006900000000000239
2004-06-14,0.7917,0.7917,0.78413,0.78413,0.0006250000000000422
2004-06-15,0.78413,0.79707,0.78413,0.79707,0.0003450000000000397
2004-06-16,0.79707,0.79707,0.79631,0.79631,0.00041000000000002146
2004-06-17,0.79631,0.79631,0.77888,0.77888,0.00046000000000001595
2004-06-18,0.77888,0.77967,0.77888,0.77967,0.0006950000000000567
2004-06-21,0.77967,0.78327,0.77967,0.78327,0.0006100000000000549
2004-06-22,0.78327,0.78474,0.78327,0.78474,0.0003750000000000142
2004-06-23,0.78474,0.78474,0.78198,0.78198,0.0004350000000000187
2004-06-24,0.78198,0.79001,0.78198,0.79001,0.0004050000000000442
2004-06-25,0.79001,0.79208,0.79001,0.79208,0.0006599999999999939
2004-06-28,0.79208,0.8007,0.79208,0.8007,0.0006349999999999967
2004-06-29,0.8007,0.8007,0.79859,0.79859,0.00036000000000002697
2004-06-30,0.79859,0.79859,0.79428,0.79428,0.0003549999999999942
2004-07-01,0.79428,0.80045,0.79428,0.80045,0.00031999999999998696
2004-07-02,0.80045,0.80045,0.79783,0.79783,0.0006399999999999739
2004-07-05,0.79783,0.79987,0.79783,0.79987,0.0007050000000000112
2004-07-06,0.79987,0.80302,0.79987,0.80302,0.00042000000000003146
2004-07-07,0.80302,0.80541,0.80302,0.80541,0.00036000000000002697
2004-07-08,0.80541,0.80541,0.80392,0.80392,0.00036000000000002697
2004-07-09,0.80392,0.80392,0.80295,0.80295,0.0006799999999999584
2004-07-12,0.80295,0.80926,0.80295,0.80926,0.0006799999999999584
2004-07-13,0.80926,0.81175,0.80926,0.81175,0.0003950000000000342
2004-07-14,0.81175,0.81175,0.80186,0.80186,0.00036000000000002697
2004-07-15,0.80186,0.80431,0.80186,0.80431,0.00031999999999998696
2004-07-16,0.80431,0.80717,0.80431,0.80717,0.0006499999999999839
2004-07-19,0.80717,0.80717,0.80489,0.80489,0.0006849999999999912
2004-07-20,0.80489,0.8138,0.80489,0.8138,0.0003950000000000342
2004-07-21,0.8138,0.8138,0.79987,0.79987,0.0003950000000000342
2004-07-22,0.79987,0.80128,0.79987,0.80128,0.0003549999999999942
2004-07-23,0.80128,0.80483,0.80128,0.80483,0.0006449999999999512
2004-07-26,0.80483,0.80483,0.80425,0.80425,0.0006749999999999257
2004-07-27,0.80425,0.80425,0.80013,0.80013,0.0004149999999999432
2004-07-28,0.80013,0.80186,0.80013,0.80186,0.00044999999999995044
2004-07-29,0.80186,0.81103,0.80186,0.81103,0.00038999999999994595
2004-07-30,0.81103,0.81586,0.81103,0.81586,0.0006649999999999712
2004-08-02,0.81586,0.81846,0.81586,0.81846,0.0007350000000000412
2004-08-03,0.81846,0.82658,0.81846,0.82658,0.00044000000000005146
2004-08-04,0.82658,0.82658,0.82332,0.82332,0.0003749999999999587
2004-08-05,0.82332,0.82332,0.82109,0.82109,0.00036999999999998145
2004-08-06,0.82109,0.82109,0.81506,0.81506,0.0007000000000000339
2004-08-09,0.81506,0.81853,0.81506,0.81853,0.0007000000000000339
2004-08-10,0.81853,0.82345,0.81853,0.82345,0.0004050000000000442
2004-08-11,0.82345,0.82604,0.82345,0.82604,0.00041000000000002146
2004-08-12,0.82604,0.82679,0.82604,0.82679,0.00041000000000002146
2004-08-13,0.82679,0.82679,0.82474,0.82474,0.0007150000000000212
2004-08-16,0.82474,0.82474,0.82454,0.82454,0.0007149999999999657
2004-08-17,0.82454,0.82529,0.82454,0.82529,0.00040999999999996595
2004-08-18,0.82529,0.82645,0.82529,0.82645,0.00041000000000002146
2004-08-19,0.82645,0.83493,0.82645,0.83493,0.0004150000000000542
2004-08-20,0.83493,0.84055,0.83493,0.84055,0.0005650000000000377
2004-08-23,0.84055,0.84055,0.83991,0.83991,0.0005699999999999594
2004-08-24,0.83991,0.83991,0.82427,0.82427,0.0004149999999999987
2004-08-25,0.82427,0.82665,0.82427,0.82665,0.0004050000000000442
2004-08-26,0.82665,0.82912,0.82665,0.82912,0.0003750000000000142
2004-08-27,0.82912,0.83703,0.82912,0.83703,0.0006950000000000012
2004-08-30,0.83703,0.83703,0.83243,0.83243,0.0007349999999999857
2004-08-31,0.83243,0.83243,0.82974,0.82974,0.00037999999999999146
2004-09-01,0.82974,0.82974,0.8259,0.8259,0.0003750000000000142
2004-09-02,0.8259,0.8259,0.81806,0.81806,0.0003750000000000142
2004-09-03,0.81806,0.82075,0.81806,0.82075,0.0006750000000000367
2004-09-06,0.82075,0.82529,0.82075,0.82529,0.0007100000000000439
2004-09-07,0.82529,0.82529,0.82021,0.82021,0.0004049999999999887
2004-09-08,0.82021,0.82021,0.81853,0.81853,0.00040000000000001146
2004-09-09,0.81853,0.82318,0.81853,0.82318,0.0004050000000000442
2004-09-10,0.82318,0.82352,0.82318,0.82352,0.0007150000000000212
2004-09-13,0.82352,0.82692,0.82352,0.82692,0.0007199999999999984
2004-09-14,0.82692,0.83278,0.82692,0.83278,0.0004149999999999987
2004-09-15,0.83278,0.8341,0.83278,0.8341,0.00038000000000004697
2004-09-16,0.8341,0.83759,0.8341,0.83759,0.0003850000000000797
2004-09-17,0.83759,0.83759,0.8371,0.8371,0.0007350000000000412
2004-09-20,0.8371,0.84041,0.8371,0.84041,0.0007349999999999857
2004-09-21,0.84041,0.84041,0.83181,0.83181,0.0004149999999999432
2004-09-22,0.83181,0.83472,0.83181,0.83472,0.0004149999999999432
2004-09-23,0.83472,0.83928,0.83472,0.83928,0.00041999999999997595
2004-09-24,0.83928,0.8431,0.83928,0.8431,0.0005649999999999822
2004-09-27,0.8431,0.8431,0.83935,0.83935,0.0005649999999999822
2004-09-28,0.83935,0.84246,0.83935,0.84246,0.0004250000000000087
2004-09-29,0.84246,0.84324,0.84246,0.84324,0.0004650000000000487
2004-09-30,0.84324,0.84431,0.84324,0.84431,0.00043000000000004146
2004-10-01,0.84431,0.84431,0.84274,0.84274,0.0005350000000000077
2004-10-04,0.84274,0.84638,0.84274,0.84638,0.0005699999999999594
2004-10-05,0.84638,0.85063,0.84638,0.85063,0.00042999999999998595
2004-10-06,0.85063,0.8539,0.85063,0.8539,0.0004350000000000187
2004-10-07,0.8539,0.85572,0.8539,0.85572,0.0004049999999999887
2004-10-08,0.85572,0.85697,0.85572,0.85697,0.0005549999999999722
2004-10-11,0.85697,0.85697,0.85201,0.85201,0.0005849999999999467
2004-10-12,0.85201,0.85208,0.85201,0.85208,0.0003949999999999787
2004-10-13,0.85208,0.85208,0.8466,0.8466,0.0003949999999999787
2004-10-14,0.8466,0.8471,0.8466,0.8471,0.0003949999999999787
2004-10-15,0.8471,0.8481,0.8471,0.8481,0.0005400000000000404
2004-10-18,0.8481,0.8481,0.84324,0.84324,0.0005750000000000477
2004-10-19,0.84324,0.84324,0.84253,0.84253,0.00043000000000004146
2004-10-20,0.84253,0.84317,0.84253,0.84317,0.00043000000000004146
2004-10-21,0.84317,0.8436,0.84317,0.8436,0.0004250000000000087
2004-10-25,0.8436,0.8436,0.83794,0.83794,0.00041999999999997595
2004-10-26,0.83794,0.83794,0.8371,0.8371,0.00042000000000003146
2004-10-27,0.8371,0.8371,0.82905,0.82905,0.00045000000000006146
2004-10-28,0.82905,0.82905,0.81994,0.81994,0.00041000000000002146
2004-11-01,0.81994,0.82129,0.81994,0.82129,0.00037000000000003697
2004-11-02,0.82129,0.82576,0.82129,0.82576,0.0004049999999999887
2004-11-03,0.82576,0.82576,0.82311,0.82311,0.0003749999999999587
2004-11-04,0.82311,0.82311,0.82014,0.82014,0.00034000000000000696
2004-11-05,0.82014,0.82014,0.81813,0.81813,0.0005049999999999777
2004-11-08,0.81813,0.81813,0.81679,0.81679,0.0005349999999999522
2004-11-09,0.81679,0.81679,0.81586,0.81586,0.00039999999999995595
2004-11-10,0.81586,0.81586,0.80704,0.80704,0.00035999999999997145
2004-11-11,0.80704,0.81004,0.80704,0.81004,0.0003250000000000197
2004-11-12,0.81004,0.81208,0.81004,0.81208,0.0004950000000000232
2004-11-15,0.81208,0.82597,0.81208,0.82597,0.0005350000000000077
2004-11-16,0.82597,0.82597,0.82298,0.82298,0.0004049999999999887
2004-11-17,0.82298,0.82298,0.82277,0.82277,0.00036999999999998145
2004-11-18,0.82277,0.82658,0.82277,0.82658,0.00034000000000000696
2004-11-19,0.82658,0.82658,0.82311,0.82311,0.0005100000000000104
2004-11-22,0.82311,0.82467,0.82311,0.82467,0.0005100000000000104
2004-11-23,0.82467,0.82481,0.82467,0.82481,0.00034000000000000696
2004-11-24,0.82481,0.82481,0.81433,0.81433,0.0003350000000000297
2004-11-25,0.81433,0.81633,0.81433,0.81633,0.0003300000000000525
2004-11-26,0.81633,0.81633,0.81626,0.81626,0.000500000000000056
2004-11-29,0.81626,0.81726,0.81626,0.81726,0.000500000000000056
2004-11-30,0.81726,0.81726,0.81473,0.81473,0.0003300000000000525
2004-12-01,0.81473,0.81893,0.81473,0.81893,0.0003350000000000297
2004-12-02,0.81893,0.82399,0.81893,0.82399,0.00034000000000000696
2004-12-03,0.82399,0.82399,0.8152,0.8152,0.0005000000000000004
2004-12-06,0.8152,0.82082,0.8152,0.82082,0.0004950000000000232
2004-12-07,0.82082,0.82082,0.81806,0.81806,0.0003350000000000297
2004-12-08,0.81806,0.82142,0.81806,0.82142,0.00034000000000000696
2004-12-09,0.82142,0.82142,0.81606,0.81606,0.0004049999999999887
2004-12-10,0.81606,0.81773,0.81606,0.81773,0.0005700000000000149
2004-12-13,0.81773,0.81873,0.81773,0.81873,0.0005050000000000332
2004-12-14,0.81873,0.81873,0.818,0.818,0.00037000000000003697
2004-12-15,0.818,0.81934,0.818,0.81934,0.0003650000000000597
2004-12-16,0.81934,0.82244,0.81934,0.82244,0.0003650000000000597
