Date,Open,High,Low,Close,Spread
2004-05-31,1.3616,1.3616,1.3615,1.3615,0.0007500000000001394
2004-06-01,1.3615,1.3682,1.3615,1.3682,0.00045000000000006146
2004-06-02,1.3682,1.3682,1.3612,1.3612,0.00044999999999995044
2004-06-03,1.3612,1.3627,1.3612,1.3627,0.00044999999999995044
2004-06-04,1.3627,1.3627,1.3508,1.3508,0.0006999999999999229
2004-06-07,1.3508,1.3508,1.3466,1.3466,0.0007499999999999174
2004-06-08,1.3466,1.3492,1.3466,1.3492,0.00044999999999995044
2004-06-09,1.3492,1.3595,1.3492,1.3595,0.00040000000000006697
2004-06-10,1.3595,1.3602,1.3595,1.3602,0.00040000000000006697
2004-06-11,1.3602,1.3633,1.3602,1.3633,0.0007000000000000339
2004-06-14,1.3633,1.3748,1.3633,1.3748,0.0007000000000000339
2004-06-15,1.3748,1.3748,1.3683,1.3683,0.00039999999999995595
2004-06-16,1.3683,1.3728,1.3683,1.3728,0.00039999999999995595
2004-06-17,1.3728,1.3728,1.3709,1.3709,0.00039999999999995595
2004-06-18,1.3709,1.3709,1.3624,1.3624,0.0006999999999999229
2004-06-21,1.3624,1.3652,1.3624,1.3652,0.0006999999999999229
2004-06-22,1.3652,1.3652,1.3577,1.3577,0.00040000000000006697
2004-06-23,1.3577,1.3599,1.3577,1.3599,0.00040000000000006697
2004-06-24,1.3599,1.3599,1.3449,1.3449,0.00039999999999995595
2004-06-25,1.3449,1.3492,1.3449,1.3492,0.0007000000000000339
2004-06-28,1.3492,1.3492,1.3484,1.3484,0.0007000000000000339
2004-06-29,1.3484,1.3484,1.3443,1.3443,0.00039999999999995595
2004-06-30,1.3443,1.3443,1.3325,1.3325,0.00044999999999995044
2004-07-01,1.3325,1.3325,1.3325,1.3325,0.00044999999999995044
2004-07-02,1.3325,1.3325,1.3235,1.3235,0.0007000000000000339
2004-07-05,1.3235,1.3258,1.3235,1.3258,0.0007500000000000284
2004-07-06,1.3258,1.3279,1.3258,1.3279,0.00044999999999995044
2004-07-07,1.3279,1.3279,1.32,1.32,0.00039999999999995595
2004-07-08,1.32,1.32,1.3181,1.3181,0.00039999999999995595
2004-07-09,1.3181,1.3181,1.3176,1.3176,0.0006999999999999229
2004-07-12,1.3176,1.3176,1.3174,1.3174,0.0007000000000000339
2004-07-13,1.3174,1.3184,1.3174,1.3184,0.00040000000000006697
2004-07-14,1.3184,1.3222,1.3184,1.3222,0.00039999999999995595
2004-07-15,1.3222,1.3232,1.3222,1.3232,0.00045000000000006146
2004-07-16,1.3232,1.3232,1.3109,1.3109,0.0007500000000001394
2004-07-19,1.3109,1.3109,1.3075,1.3075,0.0007000000000000339
2004-07-20,1.3075,1.3136,1.3075,1.3136,0.00039999999999995595
2004-07-21,1.3136,1.3212,1.3136,1.3212,0.00040000000000006697
2004-07-22,1.3212,1.3212,1.317,1.317,0.00045000000000006146
2004-07-23,1.317,1.3206,1.317,1.3206,0.0007500000000000284
2004-07-26,1.3206,1.3328,1.3206,1.3328,0.0007000000000000339
2004-07-27,1.3328,1.3328,1.3313,1.3313,0.00045000000000006146
2004-07-28,1.3313,1.3313,1.3283,1.3283,0.00045000000000006146
2004-07-29,1.3283,1.3283,1.3243,1.3243,0.00044999999999995044
2004-07-30,1.3243,1.3308,1.3243,1.3308,0.0007500000000000284
2004-08-02,1.3308,1.3321,1.3308,1.3321,0.0007500000000000284
2004-08-03,1.3321,1.3321,1.3173,1.3173,0.000500000000000056
2004-08-04,1.3173,1.3173,1.3157,1.3157,0.00045000000000006146
2004-08-05,1.3157,1.3185,1.3157,1.3185,0.00044999999999995044
2004-08-06,1.3185,1.3185,1.3121,1.3121,0.0007499999999999174
2004-08-09,1.3121,1.3173,1.3121,1.3173,0.0007500000000000284
2004-08-10,1.3173,1.3205,1.3173,1.3205,0.000500000000000056
2004-08-11,1.3205,1.3245,1.3205,1.3245,0.0004999999999999449
2004-08-12,1.3245,1.3312,1.3245,1.3312,0.000500000000000056
2004-08-13,1.3312,1.3312,1.3088,1.3088,0.0007500000000001394
2004-08-16,1.3088,1.3088,1.3065,1.3065,0.0007500000000000284
2004-08-17,1.3065,1.3074,1.3065,1.3074,0.000500000000000056
2004-08-18,1.3074,1.3074,1.3037,1.3037,0.00045000000000006146
2004-08-19,1.3037,1.3037,1.297,1.297,0.00040000000000006697
2004-08-20,1.297,1.2976,1.297,1.2976,0.0007000000000000339
2004-08-23,1.2976,1.3071,1.2976,1.3071,0.0007000000000000339
2004-08-24,1.3071,1.3071,1.3065,1.3065,0.00040000000000006697
2004-08-25,1.3065,1.3065,1.3047,1.3047,0.00039999999999995595
2004-08-26,1.3047,1.3073,1.3047,1.3073,0.00045000000000006146
2004-08-27,1.3073,1.3125,1.3073,1.3125,0.0007500000000000284
2004-08-30,1.3125,1.3178,1.3125,1.3178,0.0006999999999999229
2004-08-31,1.3178,1.3178,1.3124,1.3124,0.00039999999999995595
2004-09-01,1.3124,1.3124,1.3072,1.3072,0.00040000000000006697
2004-09-02,1.3072,1.3072,1.2993,1.2993,0.000400000000000178
2004-09-03,1.2993,1.2998,1.2993,1.2998,0.0007000000000000339
2004-09-06,1.2998,1.2998,1.2983,1.2983,0.0006999999999999229
2004-09-07,1.2983,1.2983,1.2869,1.2869,0.00040000000000006697
2004-09-08,1.2869,1.2899,1.2869,1.2899,0.00040000000000006697
2004-09-09,1.2899,1.2899,1.2885,1.2885,0.00039999999999995595
2004-09-10,1.2885,1.291,1.2885,1.291,0.0007000000000000339
2004-09-13,1.291,1.3012,1.291,1.3012,0.000700000000000145
2004-09-14,1.3012,1.3012,1.293,1.293,0.000400000000000178
2004-09-15,1.293,1.2961,1.293,1.2961,0.00040000000000006697
2004-09-16,1.2961,1.2961,1.2903,1.2903,0.00039999999999995595
