Date,Open,High,Low,Close,Spread
2004-05-31,1.2517,1.2538,1.2517,1.2538,0.0007499999999999174
2004-06-01,1.2538,1.2538,1.2462,1.2462,0.00039999999999995595
2004-06-02,1.2462,1.25,1.2462,1.25,0.00029999999999996696
2004-06-03,1.25,1.25,1.2499,1.2499,0.00029999999999996696
2004-06-04,1.2499,1.2499,1.239,1.239,0.0006499999999999284
2004-06-07,1.239,1.239,1.2369,1.2369,0.0006499999999999284
2004-06-08,1.2369,1.2377,1.2369,1.2377,0.00029999999999996696
2004-06-09,1.2377,1.2542,1.2377,1.2542,0.00029999999999996696
2004-06-10,1.2542,1.2542,1.2453,1.2453,0.00034999999999996145
2004-06-11,1.2453,1.2593,1.2453,1.2593,0.0006999999999999229
2004-06-14,1.2593,1.2593,1.2561,1.2561,0.0006499999999999284
2004-06-15,1.2561,1.2561,1.2494,1.2494,0.00029999999999996696
2004-06-16,1.2494,1.2663,1.2494,1.2663,0.00029999999999996696
2004-06-17,1.2663,1.2663,1.2522,1.2522,0.00034999999999996145
2004-06-18,1.2522,1.2522,1.2443,1.2443,0.0007000000000000339
2004-06-21,1.2443,1.2461,1.2443,1.2461,0.0006500000000000394
2004-06-22,1.2461,1.2497,1.2461,1.2497,0.00029999999999996696
2004-06-23,1.2497,1.2529,1.2497,1.2529,0.000300000000000078
2004-06-24,1.2529,1.2529,1.2446,1.2446,0.000300000000000078
2004-06-25,1.2446,1.2462,1.2446,1.2462,0.0006500000000000394
2004-06-28,1.2462,1.2492,1.2462,1.2492,0.0006500000000000394
2004-06-29,1.2492,1.2659,1.2492,1.2659,0.00034999999999996145
2004-06-30,1.2659,1.2659,1.2484,1.2484,0.00034999999999996145
2004-07-01,1.2484,1.249,1.2484,1.249,0.00029999999999996696
2004-07-02,1.249,1.249,1.2328,1.2328,0.0006500000000000394
2004-07-05,1.2328,1.2359,1.2328,1.2359,0.0007000000000000339
2004-07-06,1.2359,1.2368,1.2359,1.2368,0.0003500000000000725
2004-07-07,1.2368,1.2368,1.2266,1.2266,0.000300000000000189
2004-07-08,1.2266,1.2266,1.2255,1.2255,0.000300000000000078
2004-07-09,1.2255,1.2255,1.2224,1.2224,0.0006500000000000394
2004-07-12,1.2224,1.2247,1.2224,1.2247,0.0006500000000001505
2004-07-13,1.2247,1.236,1.2247,1.236,0.000300000000000078
2004-07-14,1.236,1.236,1.2293,1.2293,0.00034999999999996145
2004-07-15,1.2293,1.2363,1.2293,1.2363,0.00039999999999995595
2004-07-16,1.2363,1.2363,1.2247,1.2247,0.0007000000000000339
2004-07-19,1.2247,1.2276,1.2247,1.2276,0.0006500000000000394
2004-07-20,1.2276,1.2442,1.2276,1.2442,0.00029999999999996696
2004-07-21,1.2442,1.2497,1.2442,1.2497,0.00029999999999996696
2004-07-22,1.2497,1.2497,1.2484,1.2484,0.00029999999999996696
2004-07-23,1.2484,1.2669,1.2484,1.2669,0.0006500000000000394
2004-07-26,1.2669,1.2669,1.2646,1.2646,0.0006500000000000394
2004-07-27,1.2646,1.2754,1.2646,1.2754,0.00034999999999996145
2004-07-28,1.2754,1.2754,1.2751,1.2751,0.0003500000000000725
2004-07-29,1.2751,1.2801,1.2751,1.2801,0.000300000000000078
2004-07-30,1.2801,1.2813,1.2801,1.2813,0.0006499999999999284
2004-08-02,1.2813,1.2813,1.2791,1.2791,0.0007000000000000339
2004-08-03,1.2791,1.2791,1.2778,1.2778,0.00040000000000006697
2004-08-04,1.2778,1.2778,1.2761,1.2761,0.00039999999999995595
2004-08-05,1.2761,1.2761,1.2756,1.2756,0.00034999999999996145
2004-08-06,1.2756,1.2756,1.2502,1.2502,0.0006500000000000394
2004-08-09,1.2502,1.2539,1.2502,1.2539,0.0007000000000000339
2004-08-10,1.2539,1.2618,1.2539,1.2618,0.00039999999999995595
2004-08-11,1.2618,1.2618,1.2613,1.2613,0.00039999999999995595
2004-08-12,1.2613,1.2613,1.256,1.256,0.00034999999999996145
2004-08-13,1.256,1.256,1.2379,1.2379,0.0006499999999999284
2004-08-16,1.2379,1.2403,1.2379,1.2403,0.0006999999999999229
2004-08-17,1.2403,1.2433,1.2403,1.2433,0.00039999999999995595
2004-08-18,1.2433,1.2442,1.2433,1.2442,0.00034999999999996145
2004-08-19,1.2442,1.2442,1.2432,1.2432,0.00034999999999996145
2004-08-20,1.2432,1.2499,1.2432,1.2499,0.0006999999999999229
2004-08-23,1.2499,1.2695,1.2499,1.2695,0.0006999999999999229
2004-08-24,1.2695,1.2725,1.2695,1.2725,0.00034999999999996145
2004-08-25,1.2725,1.2732,1.2725,1.2732,0.00029999999999996696
2004-08-26,1.2732,1.2732,1.2727,1.2727,0.00034999999999996145
2004-08-27,1.2727,1.2817,1.2727,1.2817,0.0006999999999999229
2004-08-30,1.2817,1.2817,1.2799,1.2799,0.0006499999999999284
2004-08-31,1.2799,1.2799,1.2661,1.2661,0.00029999999999996696
2004-09-01,1.2661,1.2661,1.26,1.26,0.00034999999999996145
2004-09-02,1.26,1.2612,1.26,1.2612,0.00034999999999996145
2004-09-03,1.2612,1.2708,1.2612,1.2708,0.0006500000000000394
2004-09-06,1.2708,1.2708,1.2707,1.2707,0.0007000000000000339
2004-09-07,1.2707,1.2707,1.2669,1.2669,0.00040000000000006697
2004-09-08,1.2669,1.2669,1.2601,1.2601,0.00040000000000006697
2004-09-09,1.2601,1.2616,1.2601,1.2616,0.00039999999999995595
2004-09-10,1.2616,1.2616,1.2579,1.2579,0.0006999999999999229
2004-09-13,1.2579,1.2585,1.2579,1.2585,0.0006499999999999284
2004-09-14,1.2585,1.2585,1.2584,1.2584,0.00029999999999996696
2004-09-15,1.2584,1.2697,1.2584,1.2697,0.00029999999999996696
2004-09-16,1.2697,1.2697,1.2687,1.2687,0.00034999999999996145
2004-09-17,1.2687,1.2687,1.2675,1.2675,0.0006999999999999229
2004-09-20,1.2675,1.2713,1.2675,1.2713,0.0006499999999999284
2004-09-21,1.2713,1.2713,1.2534,1.2534,0.00029999999999996696
2004-09-22,1.2534,1.2595,1.2534,1.2595,0.00029999999999996696
2004-09-23,1.2595,1.2601,1.2595,1.2601,0.00029999999999996696
2004-09-24,1.2601,1.2608,1.2601,1.2608,0.0006500000000000394
2004-09-27,1.2608,1.2611,1.2608,1.2611,0.0006500000000000394
2004-09-28,1.2611,1.2611,1.2588,1.2588,0.000300000000000078
2004-09-29,1.2588,1.259,1.2588,1.259,0.000300000000000189
2004-09-30,1.259,1.259,1.246,1.246,0.000300000000000078
2004-10-01,1.246,1.2489,1.246,1.2489,0.0006500000000000394
2004-10-04,1.2489,1.2643,1.2489,1.2643,0.0006500000000000394
2004-10-05,1.2643,1.2643,1.2619,1.2619,0.00029999999999996696
2004-10-06,1.2619,1.2644,1.2619,1.2644,0.00029999999999996696
2004-10-07,1.2644,1.2644,1.2643,1.2643,0.00029999999999996696
2004-10-08,1.2643,1.2643,1.2505,1.2505,0.0006500000000000394
2004-10-11,1.2505,1.2506,1.2505,1.2506,0.0007000000000000339
2004-10-12,1.2506,1.2554,1.2506,1.2554,0.00034999999999996145
2004-10-13,1.2554,1.2554,1.2513,1.2513,0.00029999999999996696
2004-10-14,1.2513,1.2513,1.2448,1.2448,0.000300000000000078
2004-10-15,1.2448,1.2448,1.2336,1.2336,0.0006500000000000394
2004-10-18,1.2336,1.2336,1.2313,1.2313,0.0006499999999999284
2004-10-19,1.2313,1.2313,1.2293,1.2293,0.00029999999999996696
2004-10-20,1.2293,1.2293,1.2208,1.2208,0.00029999999999996696
2004-10-21,1.2208,1.2208,1.2174,1.2174,0.00029999999999996696
2004-10-25,1.2174,1.2174,1.1964,1.1964,0.000300000000000078
2004-10-26,1.1964,1.2009,1.1964,1.2009,0.000300000000000078
2004-10-27,1.2009,1.2063,1.2009,1.2063,0.00029999999999996696
2004-10-28,1.2063,1.2063,1.2,1.2,0.00034999999999996145
2004-11-01,1.2,1.2015,1.2,1.2015,0.00034999999999996145
2004-11-02,1.2015,1.204,1.2015,1.204,0.00029999999999996696
2004-11-03,1.204,1.204,1.1934,1.1934,0.00029999999999996696
2004-11-04,1.1934,1.1934,1.1875,1.1875,0.00029999999999996696
2004-11-05,1.1875,1.1875,1.177,1.177,0.0006499999999999284
2004-11-08,1.177,1.1816,1.177,1.1816,0.0006499999999999284
2004-11-09,1.1816,1.1833,1.1816,1.1833,0.00029999999999996696
2004-11-10,1.1833,1.1833,1.1806,1.1806,0.00034999999999996145
2004-11-11,1.1806,1.1806,1.178,1.178,0.00034999999999996145
2004-11-12,1.178,1.178,1.171,1.171,0.0006499999999999284
2004-11-15,1.171,1.1793,1.171,1.1793,0.0006499999999999284
2004-11-16,1.1793,1.1793,1.1766,1.1766,0.00029999999999996696
2004-11-17,1.1766,1.1766,1.1626,1.1626,0.00029999999999996696
