Date,Open,High,Low,Close,Spread
2004-05-31,110.16,110.16,109.5,109.5,0.07500000000000284
2004-06-01,109.5,110.6,109.5,110.6,0.03999999999999915
2004-06-02,110.6,110.6,109.88,109.88,0.030000000000001137
2004-06-03,109.88,110.79,109.88,110.79,0.02999999999999403
2004-06-04,110.79,111.1,110.79,111.1,0.06499999999999773
2004-06-07,111.1,111.1,109.54,109.54,0.06499999999999773
2004-06-08,109.54,109.63,109.54,109.63,0.02999999999999403
2004-06-09,109.63,110.42,109.63,110.42,0.030000000000001137
2004-06-10,110.42,110.42,109.32,109.32,0.030000000000001137
2004-06-11,109.32,110.03,109.32,110.03,0.06499999999999773
2004-06-14,110.03,111.01,110.03,111.01,0.06499999999999773
2004-06-15,111.01,111.01,109.5,109.5,0.030000000000001137
2004-06-16,109.5,110.07,109.5,110.07,0.030000000000001137
2004-06-17,110.07,110.07,109.61,109.61,0.030000000000001137
2004-06-18,109.61,109.61,108.83,108.83,0.06500000000000483
2004-06-21,108.83,108.92,108.83,108.92,0.06500000000000483
2004-06-22,108.92,109.27,108.92,109.27,0.030000000000001137
2004-06-23,109.27,109.27,108.49,108.49,0.030000000000001137
2004-06-24,108.49,108.49,107.14,107.14,0.030000000000001137
2004-06-25,107.14,107.51,107.14,107.51,0.06499999999999773
2004-06-28,107.51,107.93,107.51,107.93,0.06499999999999062
2004-06-29,107.93,108.21,107.93,108.21,0.02999999999999403
2004-06-30,108.21,108.74,108.21,108.74,0.04000000000000625
2004-07-01,108.74,108.74,108.38,108.38,0.04000000000000625
2004-07-02,108.38,108.38,108.27,108.27,0.06500000000000483
2004-07-05,108.27,109.06,108.27,109.06,0.06500000000000483
2004-07-06,109.06,109.47,109.06,109.47,0.030000000000001137
2004-07-07,109.47,109.47,108.61,108.61,0.030000000000001137
2004-07-08,108.61,108.98,108.61,108.98,0.030000000000001137
2004-07-09,108.98,108.98,108.11,108.11,0.06499999999999773
2004-07-12,108.11,108.26,108.11,108.26,0.06499999999999773
2004-07-13,108.26,108.66,108.26,108.66,0.030000000000001137
2004-07-14,108.66,109.15,108.66,109.15,0.030000000000001137
2004-07-15,109.15,109.78,109.15,109.78,0.030000000000001137
2004-07-16,109.78,109.78,108.64,108.64,0.06499999999999773
2004-07-19,108.64,108.64,108.22,108.22,0.06499999999999773
2004-07-20,108.22,108.67,108.22,108.67,0.030000000000001137
2004-07-21,108.67,109.79,108.67,109.79,0.02999999999999403
2004-07-22,109.79,109.79,109.76,109.76,0.03999999999999204
2004-07-23,109.76,110.13,109.76,110.13,0.07500000000000284
2004-07-26,110.13,110.13,109.95,109.95,0.06500000000000483
2004-07-27,109.95,110.92,109.95,110.92,0.030000000000001137
2004-07-28,110.92,111.65,110.92,111.65,0.030000000000001137
2004-07-29,111.65,111.99,111.65,111.99,0.030000000000001137
2004-07-30,111.99,111.99,111.3,111.3,0.06500000000000483
